Question	How can you make liquid water become solid?	question
Answer	Put the water in a very cold place.	answer
0	something in a cold place becomes cold	gold
1	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	gold
2	a state is a kind of place	nongold
3	an environment is a kind of place	nongold
4	if something required by something else is in a place then that something else may be in that place	nongold
5	colder; cooler means lower in temperature	nongold
6	become cold means get cold	nongold
7	cooling;colder means removing;reducing;decreasing heat;temperature	gold
8	cold means low in temperature	gold
9	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
10	water is a kind of liquid at room temperature	gold
11	to lower means to decrease	nongold
12	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
13	cool means cold	nongold
14	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
15	a solid is a kind of substance	nongold
16	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
17	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	gold
18	freezing causes a solid to form	nongold
19	cooler means colder	nongold
20	to reduce means to decrease	nongold
21	water is a kind of substance	nongold
22	temperature is a measure of heat energy	gold
23	heat means heat energy	nongold
24	being  on something; placed in something; placed over something means touching  that something	nongold
25	to add means to increase	nongold
26	a liquid is a kind of substance	gold
27	a liquid is a kind of fluid	nongold
28	place means area	nongold
29	liquid water cooling causes that liquid water to freeze	gold
30	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
31	freezing means cold temperatures	nongold
32	frozen means solid	nongold
33	ice is a kind of solid	nongold
34	place means space	nongold
35	becoming is similar to changing	nongold
36	to cause means to make	nongold
37	a decrease is a kind of change	nongold
38	an increase is a kind of change	nongold
39	if  something is placed in warm air then that something will become warm	nongold
40	to place in is similar to to move to	nongold
41	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
42	make means produce	nongold
43	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
44	a planet is a kind of place	nongold
45	warm means medium heat energy; temperature	nongold
46	if a living thing becomes too cold then that living thing will die	nongold
47	solid is a kind of state of matter	nongold
48	freezing is a kind of phase change	nongold
49	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
50	a hemisphere is a kind of place	nongold
51	to create means to make	nongold
52	water is a kind of matter	nongold
53	cooling means temperature decreases	nongold
54	warmer means greater; higher in temperature; warmth	nongold
55	water is an thermal; thermal energy conductor	nongold
56	low is similar to decrease	nongold
57	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
58	ice is cold in temperature	nongold
59	adding heat means increasing temperature	nongold
60	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
61	cold is a kind of weather	nongold
62	warm; becoming warm means heat is added	nongold
63	heat means temperature increases	nongold
64	moisture means liquid; liquid water	nongold
65	a hot; warm something is a source of heat	nongold
66	ice is colder than water in temperature	nongold
67	an increase is the opposite of a decrease	nongold
68	if an object is put inside; poured into another object , then two objects are touching	nongold
69	a body of water is a kind of environment	nongold
70	being in something means touching that something	nongold
71	hot is the opposite of  cold	nongold
72	high is similar to increase	nongold
73	creating means making	nongold
74	warm is the opposite of cool	nongold
75	water is a part of an environment	nongold
76	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
77	boiling is when liquids are heated above their boiling point	nongold
78	temperature changing can cause phase changes	nongold
79	boiling is a kind of phase change	nongold
80	liquid is a kind of state of matter	nongold
81	cold temperatures usually have a negative impact on organisms	nongold
82	temperature drop means become colder	nongold
83	become warm means get warm	nongold
84	if something returns to a place then that something increases in that place	nongold
85	to make means to form	nongold
86	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
87	if something is  cold in temperature , then something will be cold to touch	nongold
88	a container contains objects; material; substances	nongold
89	a phase change is a kind of physical change	nongold
90	melting is a kind of phase change	nongold
91	heating is the opposite of cooling	nongold
92	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
93	hot means high in heat energy; temperature	nongold
94	melting is when solids are heated above their melting point	nongold
95	a body of water contains water	nongold
96	air temperature is a kind of temperature	nongold
97	becoming is similar to forming	nongold
98	warm up means increase temperature	nongold
99	to change means to cause a change	nongold
