Question	Sugar is made up of many molecules. When sugar is dissolved in water, what happens to these molecules?	question
Answer	They exist in solution.	answer
0	when one substance is dissolved in another substance then the molecules of that other substance exist in solution	gold
1	made up of means contains; made of	nongold
2	a solution is formed by one substance being dissolved in another substance	nongold
3	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
4	a solution is made of one substance dissolved in another substance	nongold
5	sugar dissolves in water when they are combined	gold
6	substances are made of molecules	nongold
7	sugar water is a kind of solution	nongold
8	In the solution sugar water , the solute is sugar	nongold
9	a molecule is made of atoms chemically combined; bonded	nongold
10	sugar is made of carbon, hydrogen, oxygen	nongold
11	sugar is a kind of solid	nongold
12	In the solution sugar water , the solvent is water	nongold
13	solution is a kind of liquid	nongold
14	matter is made of molecules	nongold
15	carbohydrates are made of sugars	nongold
16	sugar is a kind of  simple carbohydrate	nongold
17	sugar is a kind of pure substance	gold
18	water is a kind of liquid at room temperature	nongold
19	composed of means made of	nongold
20	sugar is made of sugar crystals	nongold
21	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
22	to be made of something means to be formed of that something	nongold
23	to be made of means to consist of	nongold
24	water is a kind of substance	gold
25	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
26	a pure substance is made of only one kind of atom; molecule	nongold
27	a solution is a kind of mixture	nongold
28	substances are made of matter	nongold
29	made of is similar to contains	nongold
30	sugar is a kind of food	nongold
31	matter; materials; substances are made of atoms; particles	nongold
32	if something is made of something else then that something can be broken down into that something else	nongold
33	a solute can be dissolved in a solvent when they are combined	nongold
34	a  solute is a part of a solution	nongold
35	water contains dissolved oxygen	nongold
36	a molecule is a kind of particle	nongold
37	if something is used to dissolve substances , then that something is the solvent	nongold
38	the parts of something make up that something	nongold
39	water is a kind of compound	nongold
40	water is a kind of matter	nongold
41	atoms are made of particles	nongold
42	if something is dissolved , then that something is the solute	nongold
43	living things are made of organic molecules	nongold
44	water is made of hydrogen and oxygen	nongold
45	a liquid is a kind of substance	nongold
46	a solvent is a part of a solution	nongold
47	a molecule is the smallest particle; unit that has the properties of a compound	nongold
48	if something is made of something else , then that something else will be the component of that something	nongold
49	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
50	carbohydrates are made of glucose molecules bonding together	nongold
51	an organism breaking down sugar is a source of carbon dioxide; water	nongold
52	oxygen is a part of many organic molecules	nongold
53	water exists in three states on Earth	nongold
54	liquid is a kind of state of matter	nongold
55	materials are made of matter	nongold
56	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
57	if there is none of a thing then that thing does not exist	nongold
58	a molecule is exceptionally small in size	nongold
59	dissolution is similar to dissolving	nongold
60	In the solution salt water , the solvent is water	nongold
61	a sugar cube is made of sugar	nongold
62	table sugar is a kind of sugar	nongold
63	solid is a kind of state of matter	nongold
64	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
65	a solid is a kind of substance	nongold
66	something that contains water is similar to a body of water	nongold
67	a body of water contains water	nongold
68	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
69	organisms are made of organic compounds	nongold
70	phase changes change the arrangement of molecules in a substance; in a sample	nongold
71	glucose is a kind of substance	nongold
72	the chemistry of something is similar to what that something is made of	nongold
73	when sugar dissolves in water , less sugar is visible	nongold
74	DNA is a kind of molecule	nongold
75	if a solution is formed , then the  components of the solution are similar throughout	nongold
76	hydrochloric acid is made of hydrogen chloride dissolved in water	nongold
77	Matter in the liquid phase has variable shape	nongold
78	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
79	sugary means high in sugar	nongold
80	dissolving a substance in water causes the water to taste like that substance	nongold
81	substances are made of elements	nongold
82	a carbohydrate is a kind of compound	nongold
83	In the solution salt water , the solute is salt	nongold
84	many types of molecules can be formed by carbon with covalent bonds	nongold
85	to add means to increase	nongold
86	solution is similar to a positive impact	nongold
87	objects are made of materials; substances; matter	nongold
88	juice is a kind of solution	nongold
89	salt water is a kind of solution	nongold
90	if something is insoluble in something , then they will remain separated	nongold
91	substances have chemical properties	nongold
92	a source of something emits; produces; generates; provides that something	nongold
93	moisture means liquid; liquid water	nongold
94	ATP is formed by the breakdown of molecules of glucose	nongold
95	Matter in the solid phase has definite shape	nongold
96	if something is made of something; a material then that something contains that something; that material	nongold
97	a molecule is a kind of object	nongold
98	a compound can be chemically separated into the elements that it is made of	nongold
99	a compound is made of two or more elements that have been chemically combined	nongold
