Question	A boy pulls a sweater off over his head. His hair is attracted to the sweater due to	question
Answer	an electrical charge	answer
0	an electrical charge can attract objects to other objects	gold
1	a sweater is a kind of article of clothing	gold
2	a boy is a kind of young male human	nongold
3	a hair is a kind of object	gold
4	due to means caused by	nongold
5	hair is often a part of an animal	nongold
6	a living thing is a kind of object	nongold
7	a human is a kind of animal	nongold
8	an animal is a kind of living thing	nongold
9	a child is a kind of young human	nongold
10	person is synonymous with human	nongold
11	electricity means electrical energy	nongold
12	color is a property of  an object; a material	nongold
13	the head is a part of an animal	nongold
14	pulling of a sweater  is a kind of  rubbing	gold
15	attract means move closer	nongold
16	being  on something; placed in something; placed over something means touching  that something	nongold
17	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
18	a person is a kind of animal	nongold
19	an animal is a kind of organism	nongold
20	a girl is a kind of young; female human	nongold
21	if an object is made of a material then that object has the properties of that material	nongold
22	objects are made of materials; substances; matter	gold
23	touching something means feeling that something	nongold
24	a girl is a kind of animal	nongold
25	electricity is made of moving charges; moving charged particles	nongold
26	pull is similar to attract	nongold
27	feeling is when an living thing senses through touch	nongold
28	a shirt is a kind of article of clothing	nongold
29	to touch means to contact	nongold
30	absorbing energy causes objects; materials; substances to heat	nongold
31	human skin is a kind of object	nongold
32	if two objects; two materials have the same charge then those two objects; those two materials will repel each other	nongold
33	a source of something emits; produces; generates; provides that something	nongold
34	skin is a kind of material	nongold
35	an article of clothing is a kind of object	gold
36	metal is an  electrical; electrical energy conductor	nongold
37	a body part is a kind of object	nongold
38	if electricity flows through; is transferred through the body of an animal then that animal is electrocuted	nongold
39	if an animal's skin looks like something then that animal looks like that something	nongold
40	conductivity is a property of a material; substance	nongold
41	color is a kind of physical; visual property	nongold
42	if a magnet is attracted to a metal then that magnet will stick to that metal	nongold
43	skin is a part of an animal; plant	nongold
44	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
45	an object has properties	nongold
46	if an object is black then that object absorbs all visible light; heat	nongold
47	a girl is a kind of organism	nongold
48	heat means heat energy	nongold
49	fabric is always nonmagnetic	nongold
50	hair; fur is  a part of skin for protection; keeping warm	nongold
51	hair is thin	nongold
52	an part of an object is smaller than the entire object	nongold
53	a magnet will not attract nonmagnetic metals; nonmagnetic materials	nongold
54	attracting is a kind of function; activity	nongold
55	a face is often a part of an animal	nongold
56	a magnet is a kind of object	nongold
57	metal is a thermal; thermal energy conductor	nongold
58	structure is a property of an object; a material; a substance	nongold
59	a student is a kind of human	nongold
60	a device is a kind of object	nongold
61	an insulator is the opposite of a conductor	nongold
62	harming something has a  negative impact on; effect on that something	nongold
63	temperature is a measure of heat energy	nongold
64	cloth is a kind of material	nongold
65	electrocution causes harm to an organism	nongold
66	coloration means a thing's color	nongold
67	electrical energy is a kind of energy	nongold
68	an object is an item	nongold
69	magnetism can affect objects that are not touching	nongold
70	if something is powered by something else then that something requires a source of that something else	nongold
71	rubbing different materials can cause electrical charge	gold
72	to put on means to wear	nongold
73	materials are made of matter	nongold
74	plastic is a kind of material made by humans	nongold
75	an organism is a living thing	nongold
76	if something transfers something else then that something is a source of something else	nongold
77	green is a kind of color	nongold
78	light means light energy	nongold
79	a covering is a kind of object	nongold
80	if one surface; one substance; one object touches something then one is exposed to that something	nongold
81	heat is a kind of energy	nongold
82	if something is made by something else then that something is affected by that something else	nongold
83	plastic is a kind of electrical insulator	nongold
84	high is similar to increase	nongold
85	to look like means to have the visual properties of	nongold
86	image means visual depiction of an object	nongold
87	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
88	attracting something to a location causes that something  to be near that location	nongold
89	metal is a kind of material	nongold
90	conductivity is a measure of how easily electricity travels through a material	nongold
91	hair style is a kind of style	nongold
92	touching is when a body part makes contact with the surface of an object	nongold
93	appearance is a property of objects; materials	nongold
94	electricity is used as an energy source by electrical devices	nongold
95	if something emits something else then that something increases the amount of that something else	nongold
96	light is a kind of wave	nongold
97	electrical current means electrical energy	nongold
98	hair is similar to fur	nongold
99	a source of something increases the amount of that something	nongold
