Question	Researchers recently discovered a gene in humans that previously was unknown to science. Which statement best explains why the gene probably was not discovered much sooner?	question
Answer	The technology used to study genes is still being developed.	answer
0	if a technology that is used to study something is still being developed then that something can not be discovered; studied	gold
1	human is a kind of organism	nongold
2	a human is a kind of animal	nongold
3	an animal is a kind of organism	nongold
4	technology is used for application of science	nongold
5	an organism is a living thing	nongold
6	to discover means to make a discovery	nongold
7	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
8	no longer means used to be	nongold
9	an animal is a kind of living thing	nongold
10	scientific discoveries sometimes require specific technologies	gold
11	genes contains genetic information	nongold
12	learning; studying information causes one to know that information	nongold
13	a human is a kind of mammal	nongold
14	genes can be used for classifying  organisms	nongold
15	research is used for learning	nongold
16	researcher is a kind of scientist	nongold
17	best means most positive	nongold
18	studying  something usually requires seeing that something	nongold
19	technology is similar to tool	nongold
20	genes is a vehicle for passing genetic information from one generation to  the next	nongold
21	genes are able to determine the inherited characteristics of a living thing	nongold
22	to discover means to find	nongold
23	often is similar to likely	nongold
24	developing means creating; inventing	nongold
25	a scientist is a kind of human	nongold
26	recent means close to present time	nongold
27	trait is a kind of genetic information	nongold
28	discovering something usually requires seeing that something	nongold
29	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
30	an allele is a kind of gene	nongold
31	to identify means to discover	nongold
32	a gene is a kind of unit of hereditary information	nongold
33	if studying something is used to learn about something then that something is a source of information	nongold
34	developing means making	nongold
35	genetics is a part of biology	nongold
36	a mammal is a kind of animal	nongold
37	genetic information is encoded in genetic code	nongold
38	reproduction is when an organism passes genetic information from itself to its offspring	nongold
39	if something used to be in the past then that something  has changed	nongold
40	high is similar to increase	nongold
41	humans usually develop inventions that they require	nongold
42	a  chromosome contains genes	nongold
43	the function of something is what that something  is used to do	nongold
44	scientists make observations	nongold
45	human is similar to individual	nongold
46	an event is a kind of action	nongold
47	can be means able to be	nongold
48	an increase is the opposite of a decrease	nongold
49	answering questions requires information	nongold
50	a living thing is a kind of object	nongold
51	an allele is formed by mutation	nongold
52	a human cell is a kind of cell	nongold
53	knowing the properties of something means knowing information about that something	nongold
54	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
55	a living thing is made of cells	nongold
56	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
57	to be used for something means to be required by that something	nongold
58	to study means to examine	nongold
59	genes are made of DNA	nongold
60	an increase is a kind of change	nongold
61	hypothesis means scientific guess about the cause and effect of an event	nongold
62	a process is a kind of event	nongold
63	genes are located on chromosomes	nongold
64	not is similar to the opposite of	nongold
65	genotype of  an organism means the genes of  an organism	nongold
66	increase means more	nongold
67	genetic engineering is when scientists transfer a section of DNA from one organism into the DNA of another organism	nongold
68	an animal cell is a kind of cell	nongold
69	trait means property	nongold
70	a component of something means a part of that something	nongold
71	developing means growing	nongold
72	something is used for that something's purpose	nongold
73	an allele can be a recessive gene	nongold
74	to depend on; to rely on; to need means to require	nongold
75	quickly means in a short period of time	nongold
76	genetic information can be used for making proteins	nongold
77	trait is synonymous with characteristic	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	if something causes a process then that something is required for that process	nongold
80	a research team is made of humans	nongold
81	studying is similar to investigating	nongold
82	found in means existing in	nongold
83	a chromosomes of a human contains thousands of genes	nongold
84	a homozygous recessive organism contains only recessive genes	nongold
85	to be found in means to be contained in	nongold
86	biology is a kind of science	nongold
87	faster means an increase; higher in speed	nongold
88	inherited characteristics are a kind of hereditary information	nongold
89	events occur at a specific place; at a specific time; with a specific frequency	nongold
90	life means living things	nongold
91	experimentation requires measuring	nongold
92	a component means a part of	nongold
93	an inherited characteristic is a kind of characteristic	nongold
94	once means one time	nongold
95	if an event is required for a process then that event must occur before that process can occur	nongold
96	to cause an event is similar to being involved in that event	nongold
97	if something is a part of something then that something can be found in that something	nongold
98	to be formed by is similar to being produced by	nongold
99	a type is synonymous with a kind	nongold
