Question	Which object is powered by an electrical circuit?	question
Answer	a flashlight	answer
0	a flashlight converts electrical energy; electricity into light energy	nongold
1	a flashlight is a kind of electrical device	gold
2	a flashlight is a kind of battery-operated device	nongold
3	a flashlight requires a source of electricity to produce light	nongold
4	a flashlight is a kind of tool	nongold
5	a flashlight emits light	gold
6	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	gold
7	a battery is a source of electrical energy; electricity	nongold
8	electricity means electrical energy	nongold
9	a living thing is a kind of object	nongold
10	a circuit is a kind of electrical component	nongold
11	a complete electrical circuit is a source of  electrical energy	nongold
12	a battery-operated device is a kind of electrical device	nongold
13	a device is a kind of object	nongold
14	device means tool	gold
15	electric devices require electrical energy to function	gold
16	a machine is a kind of  device	nongold
17	if something is powered by something else then that something requires a source of that something else	gold
18	a light bulb is a kind of electrical device	nongold
19	a tool is a kind of object	gold
20	electrical devices are used for industrial purposes; household purposes by humans	nongold
21	the function of something is what that something  is used to do	nongold
22	a light bulb is a kind of tool for seeing in the dark	nongold
23	light means light energy	nongold
24	electrical energy is a kind of energy	nongold
25	a  battery  is a kind of electrical power source	nongold
26	an object; material; substance comes from that object or material's source	nongold
27	an animal is a kind of living thing	nongold
28	battery-powered is similar to battery-operated	nongold
29	instrument means device	nongold
30	an electric motor is a kind of electrical device	nongold
31	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
32	a vehicle is a kind of object	nongold
33	a machine is a kind of object	nongold
34	something is used for that something's purpose	nongold
35	an electromagnet is a kind of device	nongold
36	a light bulb is used for seeing in the dark	nongold
37	a human is a kind of animal	nongold
38	electricity is used as an energy source by electrical devices	nongold
39	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
40	visible light is a kind of  light	nongold
41	electromagnets can be powered by electricity	nongold
42	objects are made of materials; substances; matter	nongold
43	closing an electric circuit causes an electrical device to function	gold
44	sunlight is a kind of light	nongold
45	tool is similar to appliance	nongold
46	an instrument is a piece of equipment	nongold
47	light is a kind of energy	nongold
48	light is a kind of energy	nongold
49	answering questions requires information	nongold
50	instrument means tool	nongold
51	a light bulb is a part of a  lamp	nongold
52	a battery is a kind of object	nongold
53	powering an electrical device with a battery requires a path for electricity to flow through a closed circuit	nongold
54	to illuminate means to light up	nongold
55	a generator is a kind of  device	nongold
56	if two things perform the same function then those two things are similar	nongold
57	a device requires energy to operate	nongold
58	to shine means to emit light	nongold
59	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
60	household appliances are a kind of electrical device	nongold
61	electrocution causes harm to an organism	nongold
62	a simple machine is a kind of tool	nongold
63	an animal is a kind of organism	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	an electric motor converts electrical energy into mechanical energy	nongold
66	metal is an  electrical; electrical energy conductor	nongold
67	to be used for something means to be required by that something	nongold
68	a mechanism is a kind of system that performs a function	nongold
69	if something comes from something else then that something else is a source of that something	nongold
70	to power means to provide energy for	nongold
71	mechanical energy is a kind of energy	nongold
72	if something has the ability to do something else , then that something can do that something else	nongold
73	appliance is similar to technology	nongold
74	an invention is a kind of tool	nongold
75	if something requires something else then that something requires a source of that something else	nongold
76	operating electrical appliances requires electricity	nongold
77	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
78	can be means able to be	nongold
79	material means substance	nongold
80	to be a vehicle for is a kind of function	nongold
81	where something  comes from is a source of that something	nongold
82	a user is a kind of person	nongold
83	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
84	electromagnetic energy is a kind of energy	nongold
85	technology is similar to tool	nongold
86	if an object is made of a material then that object has the properties of that material	nongold
87	function is similar to purpose	nongold
88	if something generates energy for something else then that something powers that something else	nongold
89	an organism is a living thing	nongold
90	UV light is a kind of light	nongold
91	electrical signals are made of electrical energy	nongold
92	batteries can be used to power electrical devices	nongold
93	a room is a kind of object	nongold
94	a component of something means a part of that something	nongold
95	if something performs a task then that task is that something's function	nongold
96	flipping a switch completes an electrical circuit	nongold
97	an event is a kind of action	nongold
98	an electromagnet is a kind of electric magnet	nongold
99	a component means a part of	nongold
