Question	The sum of all chemical reactions in the human body is known as	question
Answer	metabolism	answer
0	metabolism is the sum of all chemical reactions in an animal's body	gold
1	a human is a kind of animal	gold
2	human is a kind of organism	nongold
3	chemical change is a kind of chemical reaction	nongold
4	photosynthesis is a kind of chemical reaction	nongold
5	the digestive system is a kind of body; human system	nongold
6	the body is a part of an organism	nongold
7	food contains carbohydrates	nongold
8	a carbohydrate is a kind of compound	nongold
9	chemical reactions cause chemical change	nongold
10	glucose is a kind of substance	nongold
11	chemical reactions cause new substances; different substances to form	nongold
12	a chemical reaction is a kind of process	nongold
13	the digestive system is a kind of body; organ system	nongold
14	digestion is when stomach acid breaks down food	nongold
15	a body system is a part of the body; an animal	nongold
16	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
17	an organism is a living thing	nongold
18	cellular respiration is cellular digestion	nongold
19	a liver is a part of an animal used in  digestion	nongold
20	digestion is when food is absorbed into the blood stream	nongold
21	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
22	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
23	a reaction is a kind of process	nongold
24	a nutrient is a kind of chemical compound	nongold
25	the liver is a part of the digestive system	nongold
26	digestion is a kind of bodily process	nongold
27	a food contains nutrients for living things	nongold
28	a source of something emits; produces; generates; provides that something	nongold
29	a liver is a kind of organ	nongold
30	digestion of proteins occurs in the stomach; small intestine	nongold
31	nutrients are a kind of matter	nongold
32	nutrients are a kind of substance	nongold
33	carbohydrates are made of sugars	nongold
34	breaking down fat and sugar is a kind of  chemical reaction	nongold
35	an animal is a kind of organism	nongold
36	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
37	stomach acid contains enzymes	nongold
38	ATP is formed by the breakdown of molecules of glucose	nongold
39	substances are made of molecules	nongold
40	cooking causes a chemical reaction	nongold
41	carbohydrates are made of glucose molecules bonding together	nongold
42	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
43	internal organs are a part of the body	nongold
44	the stomach is a part of the  digestive system	nongold
45	living things perform biological processes	nongold
46	the excretory system is a kind of body system	nongold
47	combining; mixing two substances chemically causes chemical reactions	nongold
48	chemical reactions do not cause the total number of atoms to change	nongold
49	a human cell is a kind of cell	nongold
50	compound is a kind of chemical	nongold
51	glycogen is a kind of substance	nongold
52	an organism eating is a kind of action	nongold
53	the stomach is a kind of organ	nongold
54	an event is a kind of action	nongold
55	living things are made of organic molecules	nongold
56	food is a kind of substance	nongold
57	the body of an animal contains arteries; veins	nongold
58	most chemical reactions release or absorb heat energy	nongold
59	carbohydrates store chemical energy	nongold
60	sodium carbonate is made of sodium, carbon, oxygen	nongold
61	converting is similar to releasing	nongold
62	form is similar to body	nongold
63	forming is a kind of action	nongold
64	an animal is a kind of living thing	nongold
65	a process is a kind of event	nongold
66	starch is a kind of  complex carbohydrate	nongold
67	a chemical compound is a kind of compound	nongold
68	cellular respiration is a kind of process	nongold
69	forming is similar to converting	nongold
70	thymine is a kind of nitrogenous base in DNA	nongold
71	to eat means to consume food	nongold
72	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
73	sugar is a kind of  simple carbohydrate	nongold
74	an increase is a kind of change	nongold
75	guanine is a kind of nitrogenous base in DNA; RNA	nongold
76	the respiratory system is a kind of human; organ; body system	nongold
77	organ system means body system	nongold
78	chemicals means substances	nongold
79	producing is similar to releasing	nongold
80	carbohydrates are a vehicle for storing;transporting energy	nongold
81	a small intestine is a part of a human's; animal's digestive system for the digestion of proteins	nongold
82	organisms are made of organic compounds	nongold
83	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
84	synthesis means to make	nongold
85	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
86	bromine is a kind of element	nongold
87	the digestive system breaks down food into nutrients for  the body	nongold
88	converting is similar to producing	nongold
89	to be formed by is similar to being produced by	nongold
90	Isabel is a name for a human	nongold
91	chlorine is a kind of element	nongold
92	products are formed; are produced; are created	nongold
93	a compound is made of two or more elements that have been chemically combined	nongold
94	a human is a kind of mammal	nongold
95	a process usually requires all of the stages in that process	nongold
96	chemical reaction means chemical bonds change	nongold
97	to cause means to make	nongold
98	food is a kind of chemical energy	nongold
99	high is similar to increase	nongold
