Question	According to the Periodic Table of the Elements, mercury	question
Answer	solid at room temperature.	answer
0	mercury is liquid at room temperature	gold
1	mercury is a kind of element	nongold
2	Mercury is a kind of planet	nongold
3	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
4	mercury  is a kind of metal	gold
5	temperature is a measure of heat energy	nongold
6	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
7	solid is a kind of state of matter	gold
8	heat means heat energy	nongold
9	an element is a kind of  substance	nongold
10	heating means adding heat	nongold
11	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
12	a solid is a kind of substance	nongold
13	a metal is usually a solid at room temperature	gold
14	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
15	liquid is a kind of state of matter	gold
16	all elements are a kind of pure substance	nongold
17	phase means state	nongold
18	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
19	an element is a kind of material	nongold
20	the Periodic Table is a table displays elements	nongold
21	if a substance is made of one element , then the substance is called an element	nongold
22	substances are made of elements	nongold
23	according to is similar to be determined by	nongold
24	to add means to increase	nongold
25	an  element is a kind of atom	nongold
26	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
27	state of matter at room temperature is a kind of physical property	nongold
28	Mercury is closer to the Sun than Earth	nongold
29	water is a kind of liquid at room temperature	nongold
30	melting is when solids are heated above their melting point	nongold
31	heat means temperature increases	nongold
32	answering questions requires information	nongold
33	boiling is a kind of phase change	nongold
34	Mercury is the planet that is first closest to the  Sun	nongold
35	an element is made of one kind of atoms	nongold
36	melting is a kind of phase change	nongold
37	a metal is a kind of element	nongold
38	to lower means to decrease	nongold
39	variable means able to change	nongold
40	a liquid is a kind of substance	nongold
41	Mercury does not have an atmosphere	nongold
42	matter; materials; substances are made of atoms; particles	nongold
43	Mercury is closer to the Sun than Mars	nongold
44	material means substance	nongold
45	a phase change is a kind of physical change	nongold
46	state of matter means physical state	nongold
47	high is similar to increase	nongold
48	physical state means state of matter	nongold
49	boiling is when liquids are heated above their boiling point	nongold
50	to give is similar to to cause	nongold
51	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
52	liquid; solid means nongaseous	nongold
53	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
54	a nonmetal is a kind of element	nongold
55	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
56	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
57	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
58	metal is a kind of substance	nongold
59	particles in objects are a kind of matter	nongold
60	elements in noble gases family are gases at room temperature	nongold
61	metals are found on the left side of the periodic table of elements	nongold
62	state means form	nongold
63	substances are made of matter	nongold
64	an alkaline earth metal is a kind of element	nongold
65	an atom is the smallest particle; unit that has the properties of an element	nongold
66	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
67	boiling point is a property of a substance; material	nongold
68	increase means more	nongold
69	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
70	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
71	nonmetal means not metal	nongold
72	to give off means to be the source of	nongold
73	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
74	evaporating is a kind of phase change	nongold
75	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
76	a  gas is a kind of  element	nongold
77	an increase is a kind of change	nongold
78	can be means able to be	nongold
79	heat is a kind of energy	nongold
80	state of matter is a kind of physical property	gold
81	sodium is a kind of element	nongold
82	hot means high in heat energy; temperature	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	colder; cooler means lower in temperature	nongold
85	boiling point is a kind of physical  property	nongold
86	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
87	gas is a kind of state of matter	nongold
88	carbon is a kind of element	nongold
89	boiling point is the highest temperature a liquid can reach	nongold
90	a table is a kind of object	nongold
91	a component of something means a part of that something	nongold
92	a Periodic Table is a kind of scientific  model	nongold
93	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
94	nonmetal means nonmetals	nongold
95	freezing is a kind of phase change	nongold
96	adding heat means increasing temperature	nongold
97	an event is a kind of action	nongold
98	melting point means temperature at which a solid melts; above which a solid melts	nongold
99	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
