Question	Water is a very important part of the physical weathering of rock. Which of these properties of water is most important in causing some of the physical weathering of rock?	question
Answer	Water expands when it freezes.	answer
0	when water freezes , that water expands	gold
1	water expanding when it freezes is a physical property of water	gold
2	expand is a kind of change	nongold
3	if something requires something else then that something else is important to that something	nongold
4	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
5	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
6	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
7	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
8	if something undergoes a physical change then the physical properties of that something will change	nongold
9	water is a kind of liquid at room temperature	nongold
10	frozen means solid	nongold
11	expand means increase in volume	nongold
12	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
13	temperature is a measure of heat energy	nongold
14	an increase is a kind of change	nongold
15	liquid water cooling causes that liquid water to freeze	nongold
16	freezing is a kind of phase change	nongold
17	liquid is a kind of state of matter	nongold
18	liquids expand more than solids when heated	nongold
19	to add means to increase	nongold
20	to lower means to decrease	nongold
21	heat means heat energy	nongold
22	if something has a positive impact on something else then that something is important to that something else	nongold
23	a phase change is a kind of physical change	nongold
24	a decrease is a kind of change	nongold
25	water is a kind of substance	nongold
26	a rock is usually a solid	nongold
27	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
28	physical state means state of matter	nongold
29	solid is a kind of state of matter	nongold
30	expand is a kind of change in volume	nongold
31	water is a kind of matter	nongold
32	cycles of freezing and thawing water cause ice wedging	gold
33	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
34	ice is a kind of solid	nongold
35	a physical property is a kind of property	nongold
36	high is similar to increase	nongold
37	freezing causes a solid to form	nongold
38	if something releases something else then that something else decreases in that something	nongold
39	weathering is a kind of process	nongold
40	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
41	increase means more	nongold
42	requiring something means needing that something	nongold
43	to reduce means to decrease	nongold
44	to be used for something means to be required by that something	nongold
45	state of matter at room temperature is a kind of physical property	nongold
46	if something causes a process then that something is required for that process	nongold
47	an increase is the opposite of a decrease	nongold
48	temperature is a property of weather	nongold
49	expand means increase in size	nongold
50	to change means to cause a change	nongold
51	to depend on; to rely on; to need means to require	nongold
52	requiring is similar to needing help	nongold
53	weathering; erosion usually occurs over a period of many years	nongold
54	heat means temperature increases	nongold
55	as the cause of something decreases , that something will decrease	nongold
56	a liquid is a kind of substance	nongold
57	state of matter means physical state	nongold
58	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
59	a body of water contains water	nongold
60	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
61	water is a part of an environment	nongold
62	state of matter is a kind of physical property	nongold
63	to be a source of something means to cause that something	nongold
64	substances are made of matter	nongold
65	weathering occurs at the surface of the Earth	nongold
66	low is similar to decrease	nongold
67	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
68	if something emits something else then that something increases the amount of that something else	nongold
69	heat energy can change the state of matter	nongold
70	ice wedging is when ice causes rocks to crack by expanding in openings	nongold
71	a source of something emits; produces; generates; provides that something	nongold
72	a source of something increases the amount of that something	nongold
73	freezing means cold temperatures	nongold
74	cold is a kind of weather	nongold
75	weathering is a kind of erosion	nongold
76	if something requires something else then that something requires a source of that something else	nongold
77	a component means a part of	nongold
78	rock is a kind of material	nongold
79	a solid is a kind of substance	nongold
80	helping something has a  positive impact on that something	nongold
81	a body of water is a source of water	nongold
82	a part of a process means a stage in a process	nongold
83	creating is similar to causing	nongold
84	a process is a kind of event	nongold
85	materials are made of matter	nongold
86	heat has a great impact on weather	nongold
87	colder; cooler means lower in temperature	nongold
88	to cause means to make	nongold
89	to create means to make	nongold
90	a physical reaction is a kind of process	nongold
91	if something causes something else then that something else depends on that something	nongold
92	greater means higher; more in value	nongold
93	a rock is a kind of object	nongold
94	rock means stone	nongold
95	a body of water is a kind of environment	nongold
96	reducing is a kind of change	nongold
97	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
98	adding heat means increasing temperature	nongold
99	if something releases something else then that something is the source of that something else	nongold
