Question	Which phrase best describes the mass of an object?	question
Answer	the amount of matter in the object	answer
0	mass is a measure of the amount of matter in an object	gold
1	mass is a property of objects; matter	nongold
2	mass; weight is a property of matter; objects; materials	nongold
3	measuring is used for describing an object	nongold
4	the properties of something are used for describing that something	nongold
5	objects are made of materials; substances; matter	nongold
6	matter; materials; substances are made of atoms; particles	nongold
7	density is a measure of mass of an object over volume; divided by volume	nongold
8	as state of matter changes , mass will not change	nongold
9	substances are made of matter	nongold
10	mass is similar to size	nongold
11	materials are made of matter	nongold
12	particles in objects are a kind of matter	nongold
13	mass is a kind of physical property	nongold
14	an increase is a kind of change	nongold
15	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
16	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
17	the mass of an object causes the gravitational force exerted by that object	nongold
18	high is similar to increase	nongold
19	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
20	if an object has a small volume and large mass , then the object will  have a high density	nongold
21	an object is made of its parts	nongold
22	weight is a measure of the force of the gravity on the mass of an object	nongold
23	state of matter means physical state	nongold
24	heat means heat energy	nongold
25	a balance is used for measuring mass;weight of an object; of a substance	nongold
26	matter is made of molecules	nongold
27	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
28	mass; weight is an extensive property	nongold
29	as the mass of an object increases , the force of gravity on that object will increase	nongold
30	a decrease is a kind of change	nongold
31	an animal is a kind of living thing	nongold
32	phase changes do not change mass	nongold
33	quantity means amount	nongold
34	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
35	solid is a kind of state of matter	nongold
36	liquid is a kind of state of matter	nongold
37	a living thing is a kind of object	nongold
38	a particle is a kind of object	nongold
39	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
40	a kilogram is a kind of unit for measuring mass	nongold
41	a gram  is a kind of unit for measuring mass	nongold
42	structure is a property of an object; a material; a substance	nongold
43	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
44	a molecule is a kind of object	nongold
45	an part of an object is smaller than the entire object	nongold
46	if an object is made of a material then that object has the properties of that material	nongold
47	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
48	as the mass of an object increases , the density of that object will increase	nongold
49	physical state means state of matter	nongold
50	when two or more elements; molecules combine chemically , the mass of the product is equal to the combined masses of the elements or molecules	nongold
51	atoms are made of particles	nongold
52	composed of means made of	nongold
53	to add means to increase	nongold
54	a balance is a kind of instrument for measuring mass; measuring weight	nongold
55	massive means great in mass	nongold
56	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
57	a molecule is a kind of particle	nongold
58	a description sometimes provides information	nongold
59	a motion is a kind of event; action	nongold
60	increase means more	nongold
61	an object has properties	nongold
62	state of matter is a kind of physical property	nongold
63	temperature changing does not cause mass to change	nongold
64	a human is a kind of animal	nongold
65	material means substance	nongold
66	low is similar to decrease	nongold
67	a land mass is a kind of object	nongold
68	air mass means a volume of air	nongold
69	best means most positive	nongold
70	Matter in the solid phase has definite shape	nongold
71	weight is a property of objects; matter	nongold
72	gas is a kind of state of matter	nongold
73	mass; weight are the same on Earth	nongold
74	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
75	a stationary air mass is a kind of air mass	nongold
76	a source of something emits; produces; generates; provides that something	nongold
77	variable means able to change	nongold
78	if an object is made of something then the parts of that object are made of that something	nongold
79	motion; movement means moving; to move	nongold
80	form means kind	nongold
81	size; amount of space means volume	nongold
82	substances are made of molecules	nongold
83	an atom is a kind of object	nongold
84	to reduce means to decrease	nongold
85	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
86	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
87	an event is a kind of action	nongold
88	state of matter at room temperature is a kind of physical property	nongold
89	temperature is a measure of heat energy	nongold
90	the volume of an object can be used to describe  the size of that object	nongold
91	to lower means to decrease	nongold
92	a weight is a kind of object	nongold
93	answering questions requires information	nongold
94	to create means to make	nongold
95	a landform is a kind of object	nongold
96	an object is an item	nongold
97	composition is a property of an object; matter	nongold
98	weight means the force of gravity acting on an object	nongold
99	inertia is a property of mass	nongold
