Question	Which action is an example of good water management?	question
Answer	turning off the faucet when brushing teeth	answer
0	An example of using less water is turning off the faucet when brushing teeth	gold
1	brushing is a kind of action	gold
2	An example of conservation is turning off the water while brushing teeth	nongold
3	leaving a faucet on wastes water	nongold
4	a kind of something is an example of that something	nongold
5	turning on is a kind of process	nongold
6	An example of managing; maintaining the number; the use of something is replacing that something	nongold
7	An example of managing the use of something is using less of that something	gold
8	resource management means managing the use of resources	gold
9	action means activity	nongold
10	good means positive	nongold
11	water is a kind of substance	nongold
12	an event is a kind of action	nongold
13	better means good	nongold
14	to be good for means to have a positive impact on	nongold
15	water is a kind of liquid at room temperature	nongold
16	water is a kind of natural resource	nongold
17	water is a kind of natural resource	gold
18	water is a part of an environment	nongold
19	to improve means to have a positive impact	nongold
20	actions mean behavior	nongold
21	water is a renewable resource	nongold
22	water is a kind of object	nongold
23	best means most positive	nongold
24	to turn means to change	nongold
25	pollution has a negative impact on the environment; air quality; water quality; society	nongold
26	conserving water is a kind of characteristic	nongold
27	controlling the amount of pollution is similar to reducing the amount of pollution	nongold
28	person is synonymous with human	nongold
29	a liquid is a kind of substance	nongold
30	action can cause change	nongold
31	high is similar to increase	nongold
32	moisture means liquid; liquid water	nongold
33	drinking is a kind of water use	nongold
34	solution is similar to a positive impact	nongold
35	the temperature; pH of water has an impact on the health of that water	nongold
36	to be used for something means to be required by that something	nongold
37	to impact means to affect	nongold
38	temperature is a measure of heat energy	nongold
39	an increase is the opposite of a decrease	nongold
40	bathing is a kind of water use	nongold
41	a source of something emits; produces; generates; provides that something	nongold
42	heat means heat energy	nongold
43	maintain is similar to control	nongold
44	flowing is a kind of action	nongold
45	beneficial means helpful	nongold
46	negative impact is the opposite of positive impact	nongold
47	placing is a kind of action	nongold
48	a human is a kind of animal	nongold
49	water is an thermal; thermal energy conductor	nongold
50	forming is a kind of action	nongold
51	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
52	useful means good to use	nongold
53	hot means high in heat energy; temperature	nongold
54	low is similar to decrease	nongold
55	water is a kind of matter	nongold
56	helping means something can be done; completed more easily; better	nongold
57	an animal is a kind of organism	nongold
58	groundwater is a kind of water	nongold
59	insulator means good insulator	nongold
60	to reduce means to decrease	nongold
61	to help; to benefit means to be of use	nongold
62	a positive impact is a helpful effect	nongold
63	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
64	limiting a source of something tht has a negative impact on something else has a  positive impact on that something else	nongold
65	if something is required for a process then that something positively impacts that process	nongold
66	leaving something on is a kind of action	nongold
67	becoming is a kind of action	nongold
68	burning is a kind of action	nongold
69	a motion is a kind of event; action	nongold
70	high-quality means positive	nongold
71	adverse effect means negative impact	nongold
72	managing the number of something is similar to replacing that something	nongold
73	settling is a kind of action	nongold
74	the function of something is what that something  is used to do	nongold
75	a body of water is a source of water	nongold
76	conservation is often conserving natural resources	nongold
77	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
78	turns is similar to changes	nongold
79	a positive impact is  a benefit	nongold
80	greatest means largest; highest; most amount of something	nongold
81	water is a kind of compound	nongold
82	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
83	affected means changed	nongold
84	saltwater is a kind of substance	nongold
85	impact means effect	nongold
86	a part of a process means a stage in a process	nongold
87	an animal is a kind of living thing	nongold
88	sitting is a kind of action	nongold
89	answering questions requires information	nongold
90	to give off means to be the source of	nongold
91	water is a kind of water phase	nongold
92	if something requires something else then that something requires a source of that something else	nongold
93	revolving is a kind of action	nongold
94	a process is a kind of event	nongold
95	less is similar to decrease	nongold
96	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
97	a function is a kind of characteristic	nongold
98	a natural resource is a kind of environmental factor	nongold
99	a negative impact is a kind of consequence; risk	nongold
