Question	Many common hand tools create a mechanical advantage by using the basic principles found in simple machines. For example, a screwdriver uses the principles of the wheel and axle. In order to increase gripping force, pliers use the principle demonstrated in the	question
Answer	lever.	answer
0	the principle of a lever is used for increasing gripping force by pliers	gold
1	pliers are made of two levers for gripping	gold
2	pliers are a kind of hand tool	gold
3	a wheel and axle is a kind of simple machine	nongold
4	a screwdriver is a kind of hand tool	nongold
5	a screwdriver is a kind of object	nongold
6	if a tool is made of a simple machine then that tool uses the principle demonstrated in that simple machine	gold
7	a gripping force can be used to tighten a mechanical fastener	nongold
8	a screwdriver often is made of plastic	nongold
9	a lever is used for lifting;moving heavy objects	nongold
10	a lever is a kind of simple machine	gold
11	a wheel is a kind of object	nongold
12	wheels; gears usually move against other surfaces	nongold
13	a simple machine is a kind of tool	nongold
14	a screw is a kind of simple machine	nongold
15	a lever can be used to hit an object	nongold
16	squeezing is a kind of action	nongold
17	a screw is a kind of object	nongold
18	a pulley is a kind of simple machine	nongold
19	mechanical force is a kind of mechanical energy	nongold
20	advantage has a positive impact on something	nongold
21	a hand is a kind of object	nongold
22	instrument means tool	nongold
23	a tool is a kind of object	nongold
24	a force is a kind of push or pull on an object	nongold
25	increase means more	nongold
26	a demonstration is similar to an example	nongold
27	a complex machine is made of more than one simple machine	nongold
28	a machine is a kind of object	nongold
29	mechanical energy exerted by an object can be used to push or pull another object	nongold
30	device means tool	nongold
31	a machine is a kind of  device	nongold
32	an instrument is a piece of equipment	nongold
33	a bicycle is made of levers, wheels and axles, pulleys, and screws	nongold
34	pushing an object requires force	nongold
35	tension is a kind of force	nongold
36	force causes the speed of an object to increase; to decrease	nongold
37	to add means to increase	nongold
38	instrument means device	nongold
39	friction exerts force on moving objects	nongold
40	An example of exerting force on an object is lifting an object	nongold
41	a simple machine requires mechanical energy to function	nongold
42	a device is a kind of object	nongold
43	as the mass of an object increases , the force required to push that object will increase	nongold
44	pulling is a kind of motion	nongold
45	a living thing is a kind of object	nongold
46	a handle is a part of an object for holding that object	nongold
47	if one is holding an object then one is touching that object	nongold
48	squeezing an object can cause that object's shape to change	nongold
49	a pull is a kind of force	nongold
50	as the power of the force exerted on an object increases , the speed with which that object is moved will increase	nongold
51	cutting an object requires mechanical force	nongold
52	objects are made of materials; substances; matter	nongold
53	high is similar to increase	nongold
54	exerting force on an object means a force acts on an object	nongold
55	to increase is similar to to create	nongold
56	if an object is made of a material then that object has the properties of that material	nongold
57	rotation is a kind of motion	nongold
58	if a wheel travels on a surface then the wheel touches that surface	nongold
59	a vehicle is a kind of object	nongold
60	help means advantage	nongold
61	a surface is a part of an object	nongold
62	an part of an object is smaller than the entire object	nongold
63	a rotation is a kind of movement	nongold
64	force requires energy	nongold
65	motion; movement means moving; to move	nongold
66	material means substance	nongold
67	strong means high in strength	nongold
68	a surface is a part of a material	nongold
69	strength is a property of an object; a material	nongold
70	a kind of something is an example of that something	nongold
71	push is a kind of force; application of force	nongold
72	if an object is held under a substance then that object is touching that substance	nongold
73	a handle is a kind of object	nongold
74	a pulley is used for lifting; lowering objects	nongold
75	an adaptation is an advantage	nongold
76	as the speed of an object increases , the force that object exerts will increase	nongold
77	when a force is applied to an object , that force is acting on that object	nongold
78	a motion is a kind of event; action	nongold
79	an increase is a kind of change	nongold
80	friction is a kind of force	nongold
81	a handle is used for holding an object	nongold
82	as force exerted on an object increases , distance travelled will increase	nongold
83	An example of mechanical energy is an object in motion	nongold
84	as the force with which an object is touched increases , the amount of  mechanical energy converted to sound energy will increase	nongold
85	an increase is the opposite of a decrease	nongold
86	speed is a measure of how fast an object is moving	nongold
87	faster means an increase; higher in speed	nongold
88	the function of something is what that something  is used to do	nongold
89	metal is a kind of material	nongold
90	to enhance means to increase	nongold
91	friction occurs when two object's surfaces move against each other	nongold
92	a metal rod is a kind of object	nongold
93	an animal is a kind of living thing	nongold
94	arms are a part of a person's body for manipulating objects	nongold
95	can be means able to be	nongold
96	a structure of something is synonymous with a part of that something	nongold
97	speed up means increase	nongold
98	friction acts to counter the motion of two objects when their surfaces are touching	nongold
99	an object being pushed across another object causes their surfaces to move against each other	nongold
