Question	Which of these is an example of liquid water?	question
Answer	Rain	answer
0	raining is when rain falls from clouds to the Earth;ground as a liquid	gold
1	rainwater is a kind of water	nongold
2	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
3	rain is a kind of water	gold
4	rain is a kind of precipitation	nongold
5	rain is a source of water	nongold
6	precipitation is when water falls from the sky	nongold
7	precipitation is a kind of natural occurrence; cause	nongold
8	a kind of something is an example of that something	gold
9	precipitation is a property of weather	nongold
10	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
11	a liquid is a kind of fluid	nongold
12	precipitation is a kind of weather	nongold
13	rain; snow falls	nongold
14	rainfall means precipitation	nongold
15	a liquid is a kind of substance	nongold
16	moisture means liquid; liquid water	nongold
17	water is a kind of liquid at room temperature	nongold
18	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
19	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
20	an area receiving rain means rain falling in that area	nongold
21	water is a kind of substance	nongold
22	rainfall is the amount of rain an area receives	nongold
23	measures of length; measures of distance are used to measure the amount of rainfall	nongold
24	temperature is a measure of heat energy	nongold
25	storms;rain cause bodies of water to increase amount of water they contain	nongold
26	precipitation is a kind of  natural process	nongold
27	water vapor condensing in clouds causes rain	nongold
28	gas is a kind of substance	nongold
29	sinkholes; caves are formed by precipitation; infiltration	nongold
30	rainfall means the amount of precipitation	nongold
31	clouds are made of water vapor; rain droplets	nongold
32	acidic rainwater contains acid	nongold
33	rainstorm means rain storm	nongold
34	precipitation is a stage in the water cycle process	nongold
35	vapor is synonymous with gas	nongold
36	rainy means often raining	nongold
37	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
38	liquid is a kind of state of matter	nongold
39	water is a kind of object	nongold
40	water is a kind of matter	nongold
41	steam; water vapor is a kind of water phase	nongold
42	a beverage is a kind of liquid	nongold
43	a container contains objects; material; substances	nongold
44	heat means heat energy	nongold
45	water is a kind of water phase	nongold
46	steam;water vapor is a kind of water above 100 degrees celsius	nongold
47	An example of moisture is water vapor in the atmosphere	nongold
48	air pollution; rain can cause the pH of soil to decrease	nongold
49	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
50	low pressure systems cause precipitation	nongold
51	something that contains water is similar to a body of water	nongold
52	a body of water contains water	nongold
53	gas is a kind of object	nongold
54	a river is a kind of flowing body of water	nongold
55	solution is a kind of liquid	nongold
56	storm is a kind of weather; weather event	nongold
57	An example of stormy weather is rain	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	the properties of something are used for describing that something	nongold
60	groundwater is a kind of water	nongold
61	In the water cycle , precipitation can follow condensation	nongold
62	gas is a kind of state of matter	nongold
63	objects are made of materials; substances; matter	nongold
64	a solid is a kind of substance	nongold
65	rain causes erosion	nongold
66	temperature is a property of weather	nongold
67	high is similar to increase	nongold
68	flooding is a kind of change	nongold
69	Earth contains water; ice; (steam, water vapor)	nongold
70	as the amount of rainfall increases in an area , the amount of available water in that area will increase	nongold
71	a container is a kind of object	nongold
72	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
73	substances are made of matter	nongold
74	water is a part of an environment	nongold
75	a body of water is a source of water	nongold
76	a stream is a kind of body of water	nongold
77	ground water is a kind of water	nongold
78	low is similar to decrease	nongold
79	acid rain is acidic	nongold
80	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
81	saltwater is a kind of substance	nongold
82	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
83	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
84	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
85	hail is a kind of precipitation; ice	nongold
86	matter; materials; substances are made of atoms; particles	nongold
87	dry means low in amount of water; wetness; moisture	nongold
88	an increase is the opposite of a decrease	nongold
89	sleet is a kind of precipitation	nongold
90	form means kind	nongold
91	An example of a container is room	nongold
92	to be a source of something means to cause that something	nongold
93	a body of water is a kind of environment	nongold
94	a storm is a source of precipitation	nongold
95	to give is similar to to cause	nongold
96	milliliters is a kind of unit for measuring volume of liquids	nongold
97	an event is a kind of action	nongold
98	clouds produce rain	nongold
99	H2O means water	nongold
