Question	Which resource is considered nonrenewable?	question
Answer	fossil fuels	answer
0	fossil fuels are a nonrenewable resource	gold
1	fossil fuels are a kind of energy resource	nongold
2	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
3	renewable is the opposite of nonrenewable	nongold
4	a fossil fuel is a kind of natural resource	nongold
5	oil is a nonrenewable resource	nongold
6	a renewable resource is a kind of natural resource	nongold
7	oil is a kind of fossil fuel	nongold
8	natural gas is a nonrenewable resource	nongold
9	petroleum is a kind of fossil fuel	nongold
10	natural gas is a kind of fossil fuel	nongold
11	answering questions requires information	nongold
12	an event is a kind of action	nongold
13	oil is a kind of energy resource	nongold
14	an inexhaustible resource is a kind of renewable resource	nongold
15	a source of something emits; produces; generates; provides that something	nongold
16	a process is a kind of event	nongold
17	renewable resources are often available for many years	nongold
18	fuel is a source of energy	nongold
19	metal is a nonrenewable resource	nongold
20	to be formed by is similar to being produced by	nongold
21	resources sometimes are used for energy	nongold
22	to be used for something means to be required by that something	nongold
23	if something causes a process then that something is required for that process	nongold
24	an energy source is a kind of resource	nongold
25	fossil fuels have high potential energy	nongold
26	plants are a kind of resource	nongold
27	fuel is a kind of energy source	nongold
28	a component means a part of	nongold
29	a renewable resource is a kind of naturally replaced resource	nongold
30	a nonrenewable resource is limited in supply	nongold
31	a component of something means a part of that something	nongold
32	if something is a raw material in a process then that something is required for that process	nongold
33	to depend on; to rely on; to need means to require	nongold
34	a part of a process means a stage in a process	nongold
35	a material is a kind of resource	nongold
36	generate means produce	nongold
37	something that happens is a kind of event	nongold
38	fossil fuels release carbon dioxide into the atmosphere	nongold
39	a natural resource is a kind of environmental factor	nongold
40	emit means produce	nongold
41	carbon dioxide is a kind of greenhouse gas	nongold
42	high is similar to increase	nongold
43	an increase is a kind of change	nongold
44	a type is synonymous with a kind	nongold
45	alternative fuel is usually a renewable resource	nongold
46	a step in a process means a stage in a process	nongold
47	a source of something increases the amount of that something	nongold
48	if something causes an increase in something else then that something produces that something else	nongold
49	carbon dioxide is a kind of gas	nongold
50	nonrenewable resources will eventually be depleted	nongold
51	oil is a source of energy	nongold
52	burning fossil fuels increases the carbon in the atmosphere	nongold
53	if something is a raw material then that something comes directly from a source	nongold
54	a cycle is a kind of process	nongold
55	if an event is required for a process then that event must occur before that process can occur	nongold
56	a process usually requires all of the stages in that process	nongold
57	renewable resources can be used over again	nongold
58	make means produce	nongold
59	to generate means to form	nongold
60	renewable resources are replenished more quickly than they are used	nongold
61	if something is required for a process then that something positively impacts that process	nongold
62	a motion is a kind of event; action	nongold
63	if something requires something else then that something requires a source of that something else	nongold
64	can be means able to be	nongold
65	fossil fuel contains chemical energy	nongold
66	to provide something means to be the source of that something	nongold
67	a factor impacts something	nongold
68	powering is similar to fueling	nongold
69	food is a kind of resource	nongold
70	minerals are a nonrenewable resource	nongold
71	to be made of something means to be formed of that something	nongold
72	a fuel is used to make energy	nongold
73	if something emits something else then that something increases the amount of that something else	nongold
74	a change is a kind of event	nongold
75	an object; material; substance comes from that object or material's source	nongold
76	if something generates energy for something else then that something powers that something else	nongold
77	where something  comes from is a source of that something	nongold
78	if something comes from something else then that something else is a source of that something	nongold
79	if something releases something else then that something is the source of that something else	nongold
80	a renewable resource can be replaced	nongold
81	most means over 50% of something	nongold
82	to cause an event is similar to being involved in that event	nongold
83	both means two	nongold
84	to generate means to create	nongold
85	forming is a kind of action	nongold
86	fossil fuels burning causes pollution	nongold
87	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
88	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
89	biofuel is a kind of fuel	nongold
90	to produce means to create	nongold
91	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
92	hypothesis means scientific guess about the cause and effect of an event	nongold
93	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
94	change is a kind of process	nongold
95	a reaction is a kind of process	nongold
96	action means activity	nongold
97	if something is powered by something else then that something requires a source of that something else	nongold
98	to create means to make	nongold
99	increase means more	nongold
