Question	How does the tilt of Earth’s axis and its rotation affect the weather?	question
Answer	The tilt allows certain latitudes of Earth to be heated at a greater rate while Earth rotates.	answer
0	the tilt of Earth's axis causes certain latitudes of Earth to be heated at a greater rate	gold
1	the Earth rotates on its axis	nongold
2	latitude is a property of a location; place on Earth	nongold
3	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
4	to be used for is similar to allowing	nongold
5	rotation is a kind of motion	nongold
6	causing is similar to allowing	nongold
7	to enable means to allow	nongold
8	rotate means turn	nongold
9	a rotation is a kind of movement	nongold
10	affected means changed	nongold
11	greater means higher; more in value	nongold
12	Earth is a kind of planet	nongold
13	heat has a great impact on weather	nongold
14	rotating is similar to moving	nongold
15	impact means effect	nongold
16	to impact means to affect	nongold
17	if something is required for something else then that something allows that something else	nongold
18	temperature is a property of weather	gold
19	to change means to have an effect	nongold
20	an increase is a kind of change	nongold
21	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
22	Earth rotating on its axis occurs once per day	nongold
23	a vehicle for something allows; enables that something to occur	nongold
24	influence means effect	nongold
25	warmer means greater; higher in temperature; warmth	nongold
26	heating means adding heat	gold
27	to cause means to have an effect	nongold
28	north is the opposite of south	nongold
29	to rotate means to complete a rotation	nongold
30	influence means impact	nongold
31	heat means heat energy	gold
32	increase means more	nongold
33	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
34	temperature is a measure of heat energy	gold
35	change is a kind of impact	nongold
36	higher means greater; above in value; amount; number	nongold
37	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
38	heat means temperature increases	nongold
39	to add means to increase	nongold
40	revolving is a kind of motion	nongold
41	a hemisphere is a part of Earth	nongold
42	causing is a kind of affecting	gold
43	high is similar to increase	nongold
44	a motion is a kind of event; action	nongold
45	a decrease is a kind of change	nongold
46	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
47	cold is a kind of weather	nongold
48	weather is a property of a environment	nongold
49	warm means medium heat energy; temperature	nongold
50	climate is the usual kind of weather in a location over a period of time	nongold
51	a source of something increases the amount of that something	nongold
52	hot means high in heat energy; temperature	nongold
53	adding heat means increasing temperature	nongold
54	heating is the opposite of cooling	nongold
55	a planet is a kind of celestial object; body	nongold
56	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
57	a hot; warm something is a source of heat	nongold
58	if something emits something else then that something increases the amount of that something else	nongold
59	an increase is the opposite of a decrease	nongold
60	a factor impacts something	nongold
61	if something is made by something else then that something is affected by that something else	nongold
62	weather is a source of wind and water for the weathering process	nongold
63	to enable is similar to cause	nongold
64	to be used for something means to be required by that something	nongold
65	the Earth revolves around the sun	nongold
66	wind speed is a property of weather	nongold
67	sunlight produces heat	nongold
68	motion; movement means moving; to move	nongold
69	a source of something emits; produces; generates; provides that something	nongold
70	as distance from the equator decreases , the climate will become warmer	nongold
71	a revolution occurs when something revolves around something else	nongold
72	rainy is a kind of weather	nongold
73	weather  usually happens in troposphere	nongold
74	to depend on; to rely on; to need means to require	nongold
75	rate is similar to speed	nongold
76	colder; cooler means lower in temperature	nongold
77	weather changes from seasons to seasons	nongold
78	to lower means to decrease	nongold
79	movement is a kind of change	nongold
80	precipitation is a kind of weather	nongold
81	variable means able to change	nongold
82	a source of heat can be used to heat something	nongold
83	a source of heat can be used to heat something	nongold
84	Earth's angle of tilt causes the length of day and night to vary	nongold
85	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
86	front is a property of weather and includes unordered values of warm front; cold front; stationary front; occluded front	nongold
87	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
88	heat is a kind of energy	nongold
89	to reduce means to decrease	nongold
90	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
91	a process is a kind of event	nongold
92	amount of sunlight causes changing weather patterns	nongold
93	faster means an increase; higher in speed	nongold
94	storm is a kind of weather; weather event	nongold
95	faster means increased rate	nongold
96	a change is a kind of event	nongold
97	as the cause of something decreases , that something will decrease	nongold
98	less is similar to decrease	nongold
99	pulling is a kind of motion	nongold
