Question	As a result of rain forest deforestation, some organisms lose their habitats. Which is also an effect of rain forest deforestation?	question
Answer	a decrease in the fertility of the topsoil	answer
0	topsoil is a kind of soil	gold
1	deforestation causes soil fertility to decrease	gold
2	a rain forest is a kind of forest	nongold
3	deforestation is the process of cutting down trees	nongold
4	a forest is a kind of environment	nongold
5	a forest is a kind of ecosystem	nongold
6	if there is a loss of something then that something decreases	nongold
7	impact means effect	nongold
8	losing something decreases the amount of that something	nongold
9	deforested area means an area where trees have been cut down	nongold
10	removing forests means removing animal habitats	nongold
11	if a habitat is destroyed then that habitat can not support animals	nongold
12	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
13	An example of an environment is a forest; a river; a grassland; an ocean	nongold
14	soil fertility means the ability of soil to sustain plant growth	nongold
15	an environment is similar to an ecosystem	nongold
16	harming something has a  negative impact on; effect on that something	nongold
17	a plant is a kind of organism	nongold
18	an organism is a living thing	nongold
19	clearing a forest is similar to deforestation	nongold
20	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
21	if a habitat is removed then that habitat is destroyed	nongold
22	if an organism dies then the population of that organism will decrease	nongold
23	organisms; living things live in their habitat; their home	nongold
24	loss is a kind of change	nongold
25	a forest contains  lots of plants; trees	nongold
26	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
27	something being destroyed means that something no longer exists	nongold
28	an environment means an area	nongold
29	habitat is similar to environment	nongold
30	organisms are a part of an environment	nongold
31	an ecosystem is a kind of habitat	nongold
32	destroying animal habitats changes an ecosystem	nongold
33	destroying animal habitats has a negative  impact on an ecosystem	nongold
34	harming an environment causes harm to the living things; to the organisms in that environment	nongold
35	loss means reduction	nongold
36	to cause means to have an effect	gold
37	less is similar to decrease	nongold
38	a decrease is a kind of change	nongold
39	as the cause of something decreases , that something will decrease	nongold
40	to reduce means to decrease	nongold
41	to lower means to decrease	nongold
42	an increase is the opposite of a decrease	nongold
43	removing a forest means cutting down a forest	nongold
44	to impact means to affect	nongold
45	humans changing an environment sometimes causes that environment to be destroyed	nongold
46	harming an organism can cause that organism to die	nongold
47	destruction means loss	nongold
48	a plant is a kind of living thing	nongold
49	plants are a part of the environment	nongold
50	an ecosystem contains a large community of; large numbers of living organisms	nongold
51	pollution has a negative impact on the environment; air quality; water quality; society	nongold
52	harming an animal species causes that animal's population to decrease	nongold
53	humans moving in an environment usually causes native species to lose their habitats	nongold
54	loss is similar to removal	nongold
55	to lose means to have less of	nongold
56	an increase is a kind of change	nongold
57	loss of land has a negative impact on the residents in an environment	nongold
58	when deforestation increases , soil erosion increases	nongold
59	negative impacts on a species will decrease populations of a species	nongold
60	to change means to have an effect	nongold
61	some animals live in forests	nongold
62	destroying a forest means cutting down the trees in that forest	nongold
63	as the amount of a source of something decreases , the amount of that something will decrease	nongold
64	adverse effect means negative impact	nongold
65	decreasing something negative has a positive impact on a thing	nongold
66	removing a forest means cutting down the trees in that forest	nongold
67	organisms can be found in their habitats	nongold
68	loss of resources has a negative impact on  the organisms in an area	nongold
69	negative impact is the opposite of positive impact	nongold
70	rain is a kind of water	nongold
71	low is similar to decrease	nongold
72	animals; living things live and feed in their habitats; near their habitats	nongold
73	a plant requires soil for survival; to grow	nongold
74	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
75	rain is a source of water	nongold
76	an environment is a kind of place	nongold
77	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
78	decreasing something positive has a negative impact on a thing	nongold
79	destroying something causes harm to that something	nongold
80	organisms mean life	nongold
81	soil loss causes an area decrease in size	nongold
82	fire causes harm to trees; to forests; to living things	nongold
83	when a habitat can support living things , living things can live in that habitat	nongold
84	a plants; living things require water for survival; to grow	nongold
85	to add means to increase	nongold
86	a negative impact is a kind of consequence; risk	nongold
87	if something has a positive impact on an organism's growth then that something increases the population of that organism	nongold
88	building housing developments; dams; roads usually requires replacing; destroying animal habitats	nongold
89	logging is when humans cut down trees; forests for wood	nongold
90	green plants are a kind of producer	nongold
91	vegetation means plants	nongold
92	an animal is a kind of living thing	nongold
93	helping something has a  positive impact on that something	nongold
94	a source of something increases the amount of that something	nongold
95	change is a kind of impact	nongold
96	high is similar to increase	nongold
97	to cause means to result in	nongold
98	the Earth contains many ecosystems	nongold
99	if a living thing is destroyed then the resources used by that living thing will become available	nongold
