Question	Where do plants get energy from to make food?	question
Answer	sunlight	answer
0	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
1	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
2	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
3	one can get something from a source	nongold
4	make means produce	nongold
5	green plants are a kind of producer	nongold
6	providing something means making;delivering something	nongold
7	where something  comes from is a source of that something	nongold
8	a  plant requires sunlight for photosynthesis	nongold
9	receive means get	nongold
10	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
11	food is a source of energy for animals; plants	nongold
12	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
13	sunlight means solar energy	nongold
14	sunlight is a kind of solar energy	gold
15	an object; material; substance comes from that object or material's source	nongold
16	a plant; living thing requires food for survival	nongold
17	the sun is the source of solar energy called sunlight	nongold
18	sunshine means sunlight	nongold
19	a plant is a kind of living thing	nongold
20	to transfer means to bring; to get something to	nongold
21	a producer is a kind of living thing	nongold
22	solar energy is a kind of energy	gold
23	a producer is a source of energy for consumers	nongold
24	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
25	a producer produces its own food	nongold
26	daylight means sunlight	nongold
27	to receive sunlight means to absorb sunlight	nongold
28	In the food chain process a  green plant has the role of  producer	nongold
29	the sun is a source of light; light energy called sunlight	nongold
30	a food contains nutrients for living things	nongold
31	if something comes from something else then that something else is a source of that something	nongold
32	solar energy is a kind of light	nongold
33	a plant is a kind of organism	nongold
34	sunlight is a kind of light	nongold
35	to eat means to consume food	nongold
36	the sun is the source of energy for life on Earth	nongold
37	a leaf is a part of a  green plant	nongold
38	solar energy is a kind of heat energy	nongold
39	sunlight produces heat	nongold
40	to cause means to make	nongold
41	making something requires resources	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	provide is similar to give; make	nongold
44	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
45	receiving sunlight  is synonymous with absorbing sunlight	nongold
46	if something is a raw material then that something comes directly from a source	nongold
47	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
48	a leaf is a kind of plant	nongold
49	a vegetable is a kind of plant	nongold
50	solar power means solar energy	nongold
51	a vegetable is a kind of food	nongold
52	an animal is a kind of consumer	nongold
53	a leaf performs photosynthesis; gas exchange	nongold
54	solar energy is an inexhaustible resource	nongold
55	production is similar to making	nongold
56	if something causes a process then that something is required for that process	nongold
57	plants are a kind of resource	nongold
58	a leaf absorbs sunlight to perform photosynthesis	nongold
59	to be used for something means to be required by that something	nongold
60	to depend on; to rely on; to need means to require	nongold
61	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
62	a plant requires photosynthesis to grow; survive	nongold
63	living things eat their food source	nongold
64	a  plant requires sunlight to  grow	nongold
65	solar energy is a renewable; inexhaustible resource	nongold
66	to produce means to provide	nongold
67	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
68	taking in something means receiving; absorbing; getting something	nongold
69	give off is similar to make	nongold
70	a product is a kind of object	nongold
71	a consumer can not produce its own food	nongold
72	a plant; living thing requires nutrients to grow	nongold
73	the sunlight occurs during the day	nongold
74	heat is a kind of energy	nongold
75	a consumer is a kind of organism	nongold
76	producer is a kind of role in the food chain process; in an ecosystem	nongold
77	emit means produce	nongold
78	getting something increases the amount of that something	nongold
79	light is a kind of energy	nongold
80	light is a kind of energy	nongold
81	producing is a kind of process	nongold
82	if something gains something from something else then that something else is a source of that something	nongold
83	to provide something means to be the source of that something	nongold
84	if something is outside during the day then that something will receive sunlight	nongold
85	an animal needs to eat food for nutrients	nongold
86	food is a kind of object	nongold
87	a plant is a member of a plant species	nongold
88	nutrients are a source of energy for living things	nongold
89	to create means to make	nongold
90	being in the sun is synonymous with being in the sunlight	nongold
91	plants are a part of the environment	nongold
92	a tree is a kind of plant	nongold
93	if something is given off of something , then something is the product of something	nongold
94	the sun  is the source of energy for physical cycles on Earth	nongold
95	an animal; living thing requires nutrients for survival	nongold
96	a leaf is a kind of object	nongold
97	baking is when a human makes food by adding heat	nongold
98	resources sometimes are used for energy	nongold
99	to power means to provide energy for	nongold
