Question	Which of the following is most responsible for the decay of dead organisms?	question
Answer	microorganisms	answer
0	to cause means to be responsible for	nongold
1	to have a function is similar to to be responsible for	nongold
2	a microorganism is a kind of decomposer	gold
3	dead organisms decay	nongold
4	decomposition is when a decomposer breaks down dead organisms	gold
5	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
6	if something causes a process then that something is required for that process	nongold
7	to decompose means to decay	gold
8	a microorganism is very small in size	nongold
9	bacteria is a kind of living thing	nongold
10	dead organisms are the source of nutrients for decomposers	nongold
11	to be involved in something means to have a role in something	nongold
12	a role in the ecosystem is a role in the food chain process	nongold
13	In the food chain process bacteria have the role of decomposer	nongold
14	an organism is a living thing	nongold
15	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
16	producer is a kind of role in the food chain process; in an ecosystem	nongold
17	In the food chain process fungi have the role of decomposer	nongold
18	to be used for something means to be required by that something	nongold
19	a fungus is a kind of organism	nongold
20	if an organism dies then that organism can not perform its function	nongold
21	the function of something is what that something  is used to do	nongold
22	living things perform biological processes	nongold
23	dead organisms rot	nongold
24	a bacterium is a kind of organism	nongold
25	a decomposer is usually a bacterium; fungus	nongold
26	a bacterium is a kind of decomposer	nongold
27	if something performs a task then that task is that something's function	nongold
28	remains is similar to dead organisms	nongold
29	microorganisms can cause infections	nongold
30	decay has a negative impact on a thing	nongold
31	a fungus is a kind of living thing	nongold
32	organisms are made of carbon	nongold
33	if a living thing dies then that living thing is dead	nongold
34	a worm is a kind of decomposer	nongold
35	decomposition is a kind of process	nongold
36	a decomposer is a kind of living thing	nongold
37	to cause an event is similar to being involved in that event	nongold
38	a living thing is made of cells	nongold
39	to be a vehicle for is a kind of function	nongold
40	role means function	nongold
41	remains mean parts of a dead organism	nongold
42	something is used for that something's purpose	nongold
43	microorganisms cause food to spoil	nongold
44	mold is a kind of fungus	nongold
45	if something is a raw material in a process then that something is required for that process	nongold
46	dead plants means dead plant material	nongold
47	most means over 50% of something	nongold
48	an ecosystem contains a large community of; large numbers of living organisms	nongold
49	a process is a kind of event	nongold
50	an earthworm is a kind of decomposer	nongold
51	function is similar to purpose	nongold
52	cellular respiration is a kind of process	nongold
53	death means to die	nongold
54	causing is a kind of function	nongold
55	algae is a kind of plant	nongold
56	an organism is made of organic matter	nongold
57	a plant is a kind of organism	nongold
58	living things are made of organic molecules	nongold
59	phytoplankton is a kind of plant	nongold
60	part means role	nongold
61	a microorganism is a part of a compost pile	nongold
62	an event is a kind of action	nongold
63	specialized cells are a source of chemicals that destroy disease-causing microbes	nongold
64	metamorphosis is a kind of process	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	an algae is a kind of organism	nongold
67	life means living things	nongold
68	a part of a process means a stage in a process	nongold
69	a process usually requires all of the stages in that process	nongold
70	helping something has a  positive impact on that something	nongold
71	biotic means living	nongold
72	nutrients are a kind of matter	nongold
73	destroying is a kind of function	nongold
74	providing is a kind of function	nongold
75	fungi absorb nutrients from decaying tissue	nongold
76	organisms mean life	nongold
77	living things carry out basic life functions	nongold
78	killing means changing a living thing from alive to dead by harming	nongold
79	killing means harming something causing death	nongold
80	fossil fuels; fossils are formed from dead organisms over time	nongold
81	producing is a kind of function	nongold
82	mold spores are a kind of particle	nongold
83	to be a source of something means to cause that something	nongold
84	algae is a kind of living thing	nongold
85	all cells perform cellular respiration	nongold
86	organisms are a part of an environment	nongold
87	purpose means role	nongold
88	all living things are made of cells according to the cell theory	nongold
89	harming something has a  negative impact on; effect on that something	nongold
90	decomposition is a stage in the carbon cycle process	nongold
91	role is similar to importance	nongold
92	if a living thing requires something then that something has a positive impact on that living thing	nongold
93	a component means a part of	nongold
94	bacteria is a kind of pathogen sometimes	nongold
95	a function is an activity	nongold
96	composed of means made of	nongold
97	harming an organism can cause that organism to die	nongold
98	an animal is a kind of living thing	nongold
99	requiring is similar to needing help	nongold
