Question	The motion of Earth is responsible for several celestial events. Which of the following events is caused by Earth revolving around the sun?	question
Answer	the days in a year	answer
0	revolving  around something means orbiting that something	nongold
1	revolving is a kind of motion	nongold
2	the Earth revolves around the sun	nongold
3	to cause means to be responsible for	nongold
4	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	gold
5	revolving is a kind of action	nongold
6	a motion is a kind of event; action	nongold
7	to have a function is similar to to be responsible for	nongold
8	Earth is a kind of planet	nongold
9	1 year is equal to 365 days	nongold
10	a star is a kind of celestial object; celestial body	nongold
11	days are a kind of unit for measuring time	nongold
12	the Sun is a kind of star	nongold
13	the Earth rotates on its axis	nongold
14	a revolution occurs when something revolves around something else	nongold
15	a planet is a kind of celestial object; body	nongold
16	years are a kind of unit for measuring time	nongold
17	movements of celestial bodies are a kind of event	nongold
18	astronomy is the study of celestial (objects, bodies)	nongold
19	an event is a kind of action	nongold
20	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
21	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
22	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
23	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
24	Earth rotating on its axis occurs once per day	nongold
25	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
26	to cause an event is similar to being involved in that event	nongold
27	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
28	the day time is part of one day	nongold
29	a planet rotating causes cycles of day and night on that planet	nongold
30	the sun setting is a kind of event	nongold
31	the sun rising is a kind of event	nongold
32	a change is a kind of event	nongold
33	Celestial bodies move in orbits in space around other celestial bodies	nongold
34	a process is a kind of event	nongold
35	light year is a measure of the distance light travels in one year	nongold
36	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
37	rotating is similar to moving	nongold
38	the sun is a source of light; light energy called sunlight	nongold
39	motion; movement means moving; to move	nongold
40	rotation is a kind of motion	nongold
41	annual means once per year	nongold
42	setting is a kind of motion	nongold
43	some celestial bodies rotate in space	nongold
44	astronomical body means celestial body	nongold
45	if something causes a process then that something is required for that process	nongold
46	to be a source of something means to cause that something	nongold
47	to happen means to occur	nongold
48	creating is similar to causing	nongold
49	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
50	a cycle happens; occurs repeatedly	nongold
51	something that happens is a kind of event	nongold
52	pulling is a kind of motion	nongold
53	period is similar to amount of time	nongold
54	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
55	events occur at a specific place; at a specific time; with a specific frequency	nongold
56	month is a kind of period of time	nongold
57	the sun rising; setting occurs once per day	nongold
58	to be involved in something means to have a role in something	nongold
59	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
60	Earth's revolution is a kind of cycle	nongold
61	months are a kind of unit for measuring time	nongold
62	an increase is a kind of change	nongold
63	the sun is a kind of yellow dwarf	nongold
64	to change means to cause a change	nongold
65	yearly means every year	nongold
66	the sun rising and setting causes cycles of day and night	nongold
67	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
68	a light-year is used for describing long distances	nongold
69	the sun sets in the west	nongold
70	1 year is equal to 12 months	nongold
71	causing is a kind of function	nongold
72	astronomy is a kind of branch of science	nongold
73	turning is a kind of motion	nongold
74	rising is a kind of motion	nongold
75	the sunlight occurs during the day	nongold
76	producing is similar to causing	nongold
77	answering questions requires information	nongold
78	rotate means turn	nongold
79	flowing is a kind of motion	nongold
80	a source of something emits; produces; generates; provides that something	nongold
81	the function of something is what that something  is used to do	nongold
82	a component means a part of	nongold
83	to create means to make	nongold
84	to cause means to make	nongold
85	gravity causes orbits	nongold
86	a moon is a kind of celestial object; body	nongold
87	the sun is the source of solar energy called sunlight	nongold
88	a planet's distance from the star causes the length of a planetary year	nongold
89	sunlight is a kind of light	nongold
90	the Sun is the  star that is closest to Earth	nongold
91	the sun rises in the east	nongold
92	1 month is equal to 28-31 days	nongold
93	sliding is a kind of motion	nongold
94	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
95	planets in the solar system orbit the Sun	nongold
96	Neptune has the longest solar year; planetary year in the solar system	nongold
97	movement is a kind of change	nongold
98	the solar system is a kind of system	nongold
99	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
