Question	Stout beardfish live in the deep ocean. They live so far down that there is no light. Which characteristic would best help stout beardfish to survive in the dark?	question
Answer	two whiskers that locate food	answer
0	a stout beardfish is a kind of fish	gold
1	whiskers are a part of some fish for feeling	gold
2	deep sea animals live deep in the ocean	nongold
3	sensing food has a positive impact on finding food	nongold
4	finding something means locating that something	gold
5	dark means a low amount of light	nongold
6	a deep sea animal is a kind of marine organism	nongold
7	a fish is a kind of animal	nongold
8	whiskers are used for feeling by animals	gold
9	seeking something means trying to find; searching for something	nongold
10	producing light is used for attracting prey by some deep sea animals	nongold
11	a fish is a kind of scaled animal	nongold
12	helping something has a  positive impact on that something	gold
13	characteristic means property	nongold
14	to detect means to find	nongold
15	an animal; living thing requires nutrients for survival	gold
16	sunlight is a kind of light	nongold
17	dark is the opposite of light	gold
18	a fish is a kind of predator	nongold
19	a fish is a kind of aquatic animal	gold
20	animals; living things live and feed in their habitats; near their habitats	nongold
21	both means two	nongold
22	to be used  for something means to help to do that something	nongold
23	trait is synonymous with characteristic	nongold
24	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
25	an ocean is a kind of body of water	nongold
26	the bottom of a body of water is the deepest	nongold
27	food is a kind of object	nongold
28	an ocean is a kind of habitat	nongold
29	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
30	search for means seek to find	nongold
31	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
32	prey is a kind of food for predators	nongold
33	darkness occurs at night	nongold
34	most predators live in; live near the same environment as their prey	nongold
35	an animal is a kind of living thing	gold
36	food is what an animal eats	nongold
37	a living thing is a kind of object	nongold
38	harming something has a  negative impact on; effect on that something	nongold
39	a food contains nutrients for living things	nongold
40	predators eat prey	nongold
41	best means most positive	nongold
42	requiring is similar to needing help	nongold
43	to eat means to consume food	nongold
44	scavenging is synonymous with looking for food	nongold
45	survive means live	nongold
46	survive means live	nongold
47	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
48	living things eat their food source	nongold
49	low means down	nongold
50	an organism is a living thing	nongold
51	light is a kind of nonliving thing	nongold
52	to help; to benefit means to be of use	nongold
53	eating; taking in food is used to get nutrients;energy by animals; living things	gold
54	a fish lives in water	nongold
55	eating prey requires catching prey	nongold
56	organisms; living things live in their habitat; their home	nongold
57	a plant; living thing requires food for survival	nongold
58	hiding is a kind of protection against predators; from predators	nongold
59	if a living thing requires something then that something has a positive impact on that living thing	gold
60	skin is a part of an animal; plant	nongold
61	finding something requires sensing that something	gold
62	darkness has a negative impact on photosynthesis	nongold
63	if an object is in the light then that object is blocking the light	nongold
64	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
65	survival means to survive	nongold
66	smell is used for  finding food by some animals	nongold
67	nonliving; non-living; die is the opposite of living; alive; live	nongold
68	an animal is a kind of organism	nongold
69	light means low  in weight	nongold
70	trait means property	nongold
71	to help means to aid	nongold
72	an animal requires a habitat for survival	nongold
73	killing means harming something causing death	nongold
74	if an organism eats something then that something is a source of frood to that organism	nongold
75	avoiding predators; escaping predators; avoiding consumers is a kind of protection	nongold
76	below means lower down	nongold
77	what an object is made of is a kind of characteristic	nongold
78	an aquatic animal is a kind of animal	gold
79	the bottom is the lowest part of something	nongold
80	an environment is a kind of place	nongold
81	seeing requires light	nongold
82	an animal needs to eat food for nutrients	nongold
83	hair; fur is  a part of skin for protection; keeping warm	nongold
84	a predator eats other animals for food	nongold
85	a part of something means a characteristic of something	gold
86	ocean animal is similar to water animal	nongold
87	prey  is a kind of animal	nongold
88	dim means a small amount of light	nongold
89	pair means two	nongold
90	hiding can be used for avoiding predators	nongold
91	if something is located in some place , then the presence of that something can be found in that location	nongold
92	if a source of food for an animal decreases then the animal will have to find other types of food to survive	nongold
93	organisms are a part of an environment	nongold
94	an animal is a member of an animal species	nongold
95	a  fish is cold-blooded	nongold
96	low is similar to decrease	nongold
97	to discover means to find	nongold
98	coloration is a kind of adaptation for hiding;camouflage	nongold
99	near; close is the opposite of far; away	nongold
