Question	Many areas of Massachusetts have small deep ponds called kettle ponds. Which of the following best explains the formation of these ponds?	question
Answer	glacial depression	answer
0	a kettle is a kind of small; deep pond	gold
1	a kettle is formed when chunks of ice left by glaciers melt	gold
2	a pond is smaller; shallower than a lake	nongold
3	a pond is a kind of body of water	nongold
4	a glacial depression is formed by a glacier	gold
5	a pond is a kind of environment	nongold
6	some deep lakes; bowl-shaped lakes are formed by glaciers	nongold
7	Massachusetts is not located in an arctic environment	nongold
8	to cause the formation of means to form	nongold
9	Massachusetts is a state located in the United States of America	nongold
10	a lake is a kind of body of water	nongold
11	an environment means an area	nongold
12	some ponds and lakes are formed by surface mining	nongold
13	Massachusetts is not located on the boundary of two tectonic plates	nongold
14	lakes are formed by precipitation and runoff	nongold
15	to form means to create	nongold
16	if something is caused by something else , then that something can be explained by that something else	nongold
17	a body of water is a kind of environment	nongold
18	shallow means low  in  depth	nongold
19	the formation of something is a kind of process	nongold
20	a body of water contains water	nongold
21	to make means to form	nongold
22	to change into means to form	nongold
23	freshwater is a kind of water	nongold
24	water is a part of an environment	nongold
25	glaciers are a source of freshwater	nongold
26	form means kind	nongold
27	a body of water is a source of water	nongold
28	forming something is a kind of change	nongold
29	breaking down is a kind of forming	nongold
30	something that contains water is similar to a body of water	nongold
31	a pond is a kind of habitat	nongold
32	to be made of something means to be formed of that something	nongold
33	place means area	nongold
34	the Great Lakes were formed by glaciers moving over the ground	nongold
35	sinkholes; caves are formed by precipitation; infiltration	nongold
36	state means form	nongold
37	if something is made of something else then the formation of that something requires that something else	nongold
38	the bottom of a body of water is the deepest	nongold
39	a glacier is a kind of body of water	nongold
40	a type is synonymous with a kind	nongold
41	weathering; erosion usually occurs over a period of many years	nongold
42	to reduce means to decrease	nongold
43	aquatic animal means water animal	nongold
44	to lower means to decrease	nongold
45	a landform is a kind of natural formation	nongold
46	aquatic animals; plants live in bodies of water	nongold
47	small is the opposite of large	nongold
48	boulders; sand; gravel are formed by glaciers melting sometimes	nongold
49	ground water is a kind of water	nongold
50	best means most positive	nongold
51	smaller means less; lower in size	nongold
52	low is similar to decrease	nongold
53	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
54	to be filled with means to contain	nongold
55	glaciers are a kind of major reservoir for fresh water	nongold
56	a marsh is a kind of body of water	nongold
57	can be means able to be	nongold
58	if the glaciers melt , then the melting glacial ice will be freshwater	nongold
59	area is similar to location	nongold
60	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
61	an aquatic animal is a kind of animal	nongold
62	the formation of rock is a kind of process	nongold
63	to be formed by is similar to being produced by	nongold
64	deeper means greater in depth	nongold
65	an environment is a kind of place	nongold
66	affected means changed	nongold
67	a stream is a kind of body of water	nongold
68	composed of means made of	nongold
69	low means down	nongold
70	creating means making	nongold
71	fresh water means freshwater	nongold
72	water is a kind of substance	nongold
73	no longer means used to be	nongold
74	to increase is similar to to create	nongold
75	to generate means to form	nongold
76	organisms are a part of an environment	nongold
77	little means small	nongold
78	high is similar to increase	nongold
79	becoming is similar to forming	nongold
80	to create means to make	nongold
81	deepest means greatest in depth	nongold
82	dissolution is similar to dissolving	nongold
83	creating is similar to causing	nongold
84	to add means to increase	nongold
85	extreme means very high in value	nongold
86	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
87	the majority of freshwater is found in in ice caps; in glaciers	nongold
88	to be formed by is to be the result of	nongold
89	break down means change from a whole into pieces	nongold
90	less is similar to decrease	nongold
91	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
92	water is a kind of object	nongold
93	to limit means to decrease	nongold
94	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
95	greatest means largest; highest; most amount of something	nongold
96	erosion is a kind of change	nongold
97	to turn means to change	nongold
98	to cause means to make	nongold
99	water is a kind of natural resource	nongold
