Question	Which material is most easily recycled at school?	question
Answer	notebook paper	answer
0	recyclable means a material can be recycled	gold
1	paper is a kind of material	gold
2	recycling means reusing	nongold
3	a paper is a kind of object	nongold
4	paper is recyclable	gold
5	replacing is similar to recycling	nongold
6	An example of recycling is using an object to make a new object	nongold
7	recycling is similar to reusing	nongold
8	recycling has a  positive impact on the environment	nongold
9	recycling reduces the resources needed to make something	nongold
10	recycling means using over again	nongold
11	a book is a kind of object	nongold
12	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
13	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
14	a sheet of paper is a kind of object	nongold
15	if an object is made of a material then that object has the properties of that material	nongold
16	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
17	a student is a kind of human	nongold
18	trash is synonymous with waste	nongold
19	to recycle means return	nongold
20	waste has a  negative impact on the environment	nongold
21	material means substance	nongold
22	garbage means waste	nongold
23	a classroom is a kind of a room	nongold
24	a type is synonymous with a kind	nongold
25	a material is a kind of resource	nongold
26	if a resource is limited in supply then that resource should be recycled	nongold
27	a laptop is a kind of computer	nongold
28	an object is an item	nongold
29	an object; material; substance comes from that object or material's source	nongold
30	mostly means being the most	nongold
31	can be means able to be	nongold
32	answering questions requires information	nongold
33	if something is made of something; a material then that something contains that something; that material	nongold
34	to conserve means to not change	nongold
35	recycling is a kind of action	nongold
36	a tool is a kind of object	nongold
37	usually means most of the time	nongold
38	An example of avoiding waste is using an object; a material more than once	nongold
39	person is synonymous with human	nongold
40	high is similar to increase	nongold
41	recycling is a kind of method of disposal	nongold
42	an eraser is a kind of object	nongold
43	objects are made of materials; substances; matter	nongold
44	a newspaper is made of paper	nongold
45	greatest means largest; highest; most amount of something	nongold
46	an eraser is a kind of solid	nongold
47	a pencil is a kind of object	nongold
48	largest amount means most	nongold
49	composed of means made of	nongold
50	usually people learn how to read and write in school	nongold
51	to be made of is similar to collection	nongold
52	made up of means contains; made of	nongold
53	affected means changed	nongold
54	form means kind	nongold
55	dead organisms are a kind of waste	nongold
56	a paper bag is a kind of object	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	a surface is a part of a material	nongold
59	going to school generally occurs during the day	nongold
60	no longer means used to be	nongold
61	a human is a kind of animal	nongold
62	to create means to make	nongold
63	make means produce	nongold
64	an object has properties	nongold
65	a piece is a part of a whole	nongold
66	made of is similar to contains	nongold
67	an part of an object is smaller than the entire object	nongold
68	composition means the (materials, substances) of which something is composed	nongold
69	a sheet of is similar to a piece of	nongold
70	cardboard is a kind of material	nongold
71	replace means change from one thing into  another	nongold
72	if something causes a process then that something is required for that process	nongold
73	best means most positive	nongold
74	to be used for something means to be required by that something	nongold
75	identical means copy	nongold
76	a component means a part of	nongold
77	a paper clip is a kind of object	nongold
78	typically means usually	nongold
79	processes sometimes produce waste products	nongold
80	to contain means to have inside	nongold
81	an object is made of its parts	nongold
82	paper is not durable	nongold
83	a room is a kind of object	nongold
84	least is the opposite of most	nongold
85	recycling reduces; decreases the amount of waste sent to landfills	nongold
86	lowest means least in value; amount; number	nongold
87	a kind of something is an example of that something	nongold
88	to cause means to make	nongold
89	trees are a source of paper	nongold
90	to be formed by is similar to being produced by	nongold
91	generally means usually	nongold
92	medium is similar to average	nongold
93	paper burns	nongold
94	a piece of something is a kind of object	nongold
95	high-quality means positive	nongold
96	most means over 50% of something	nongold
97	if something is a raw material in a process then that something is required for that process	nongold
98	to slow; to slow down decreases speed	nongold
99	structure is a property of an object; a material; a substance	nongold
