Question	The Piedmont and Coastal Plains regions in Maryland produce crops such as corn, soybeans, wheat, tobacco, tomatoes, and apples. Which environmental factor most likely influences which crops are grown in these regions?	question
Answer	soil quality	answer
0	Maryland is a kind of region	nongold
1	Maryland is a state located in the United States of America	nongold
2	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	gold
3	corn is a kind of crop	nongold
4	influence means effect	nongold
5	crop rotation has a  positive impact on soil quality	nongold
6	crops grow in soil	nongold
7	a tomato plant is a kind of plant	nongold
8	influence means impact	gold
9	fertile soil is high in quality	nongold
10	an apple is a kind of fruit	nongold
11	corn is a kind of plant	nongold
12	a coastal area is a kind of environment	nongold
13	a region is similar to an environment	gold
14	soil is usually part of an environment	nongold
15	crops are a kind of edible plant for eating	gold
16	a crop is a kind of food	nongold
17	a factor impacts something	nongold
18	planting crops is synonymous with growing crops	gold
19	soybeans are a kind of legume	nongold
20	corn is a kind of seed	nongold
21	a region is a kind of location	nongold
22	fruit is a kind of food	nongold
23	farming is when a human plants crops for food	gold
24	a producer is a kind of living thing	nongold
25	farming changes the environment	nongold
26	region means place	nongold
27	cause is similar to influence	nongold
28	low quality soil has a small; a low number of nutrients	nongold
29	a producer produces its own food	nongold
30	an environment means an area	nongold
31	crops; farming cause nutrients in the soil to decrease	nongold
32	soil contains nutrients for plants	gold
33	a plant; living thing requires nutrients to grow	gold
34	a coast is a kind of environment	nongold
35	to impact means to affect	nongold
36	erosion of soil has a  negative impact on the environment; soil quality	nongold
37	cropland is used for farming by humans	nongold
38	farming is a source of food	nongold
39	fruit trees are a kind of crop	nongold
40	impact means effect	nongold
41	a natural resource is a kind of environmental factor	gold
42	planting crops requires growing crops	nongold
43	a plant requires soil for survival; to grow	gold
44	a vegetable is a kind of plant	nongold
45	causing is a kind of affecting	nongold
46	fruit is a part of a plant; tree	nongold
47	affected means changed	nongold
48	all living things grow	nongold
49	plants are a part of the environment	nongold
50	a vegetable is a kind of food	nongold
51	green plants are a kind of producer	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	if something causes an increase in something else then that something produces that something else	nongold
54	nutrient poor soil means low quality soil	nongold
55	a farmer farms crops; plants for  food	nongold
56	if a plant is planted; growing somewhere then that plant is located there	nongold
57	change is a kind of impact	nongold
58	a plant is a kind of organism	nongold
59	moisture is a kind of environmental factor	nongold
60	to change means to have an effect	nongold
61	a coast is a coastal area	nongold
62	an increase is a kind of change	nongold
63	a plant is a kind of living thing	nongold
64	high-quality means positive	nongold
65	a farmer is a kind of human	nongold
66	soil is a part of the ground outside	nongold
67	a decrease is a kind of change	nongold
68	an increase is the opposite of a decrease	nongold
69	a berry is a kind of fruit	nongold
70	an organism is a living thing	nongold
71	high is similar to increase	nongold
72	often soil is found in an environment	nongold
73	if something is required for a process then that something positively impacts that process	gold
74	a potato is a kind of food	nongold
75	a property is similar to a factor	nongold
76	farming is a kind of process	gold
77	an environment is a kind of place	nongold
78	a coast is where land meets the edge of a body of water	nongold
79	soil is a renewable resource for growing plants	gold
80	often is similar to likely	nongold
81	good means positive	nongold
82	if something affects a part of something else then that something affects that something else	nongold
83	plants are the source of fruit	nongold
84	to contribute is similar to produce	nongold
85	as the use of a crop increases , the amount of  crops planted will increase	nongold
86	an animal is a kind of organism	nongold
87	if something is made by something else then that something is affected by that something else	nongold
88	an animal is a kind of living thing	nongold
89	a plant; living thing requires food for survival	nongold
90	helping something has a  positive impact on that something	nongold
91	producing crops requires using farm land	nongold
92	producing is similar to causing	nongold
93	a human is a kind of animal	nongold
94	an apple tree is a kind of plant	nongold
95	humans eat crops	nongold
96	a climate is synonymous with an environment	nongold
97	a plant requires photosynthesis to grow; survive	nongold
98	crops growing well has a positive impact on a farmer's livelihood	nongold
99	organisms are a part of an environment	nongold
