Question	Which part of a bicycle BEST moves in a circle?	question
Answer	Foot pedal	answer
0	moving in a circle means moving in a circular motion	gold
1	pedalling a bicycle requires moving the pedals in a circular motion	gold
2	a human can pedal a bicycle	nongold
3	pedals are part of a  bicycle for pedalling	gold
4	a bicycle is a kind of object	nongold
5	a bicycle is a kind of vehicle	nongold
6	circular means having the shape of a circle	nongold
7	bike means bicycle	nongold
8	a pedal is a kind of lever	nongold
9	a circle is a kind of shape	nongold
10	a foot is a part of some animals for walking	nongold
11	motion; movement means moving; to move	nongold
12	pushing on the pedals of a bike cause that bike to move	nongold
13	a bicycle is made of levers, wheels and axles, pulleys, and screws	nongold
14	distance moved; distance travelled is a measure of how far an object moves	nongold
15	wheels; gears usually move against other surfaces	nongold
16	rotation  is  the  circular movement of an object around a center; axis	nongold
17	diameter is a measure of length through the center of a circle	nongold
18	walking is a kind of motion	nongold
19	an part of an object is smaller than the entire object	nongold
20	a wheel is a kind of object	nongold
21	round objects roll	nongold
22	a living thing is a kind of object	nongold
23	round means circular in shape	nongold
24	riding something is to move that thing over a surface	nongold
25	a motion is a kind of event; action	nongold
26	a tool is a kind of object	nongold
27	moving is similar to travelling	nongold
28	an object is made of its parts	nongold
29	a stick is a kind of object	nongold
30	unit is similar to part	nongold
31	an animal is a kind of living thing	nongold
32	a circle graph; pie graph can be used to display percents; ratios	nongold
33	motion is when moves an object; something to a direction	nongold
34	a human is a kind of animal	nongold
35	the direction of back and forth is perpendicular to the direction of right to left	nongold
36	objects are made of materials; substances; matter	nongold
37	best means most positive	nongold
38	instrument means tool	nongold
39	a circle graph; pie graph is used to describe how part of the data is related to all of the data	nongold
40	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
41	speed is a measure of how fast an object is moving	nongold
42	stirring is when something moves an object in a circular motion for mixing	nongold
43	riding something is a kind of movement	nongold
44	colliding is a kind of touching	nongold
45	a bicycle is a kind of nonliving thing	nongold
46	if a wheel travels on a surface then the wheel touches that surface	nongold
47	travel means to move	nongold
48	a vehicle is a kind of object	nongold
49	a landform is a kind of object	nongold
50	a part of a living thing is a natural structure	nongold
51	a meter stick is a kind of tool for measuring length; measuring distance	nongold
52	a component means a part of	nongold
53	a structure of something is synonymous with a part of that something	nongold
54	a wheeled vehicle requires smooth surfaces	nongold
55	a vehicle is a kind of tool for travel; transport	nongold
56	sliding is a kind of motion	nongold
57	moving changes position	nongold
58	sliding is a kind of movement	nongold
59	vibration is a kind of motion	nongold
60	an instrument is a piece of equipment	nongold
61	An example of an object with kinetic energy is an object in motion	nongold
62	to round means to make more round	nongold
63	motion is a source of kinetic energy in an object	nongold
64	if an object is made of something then the parts of that object are made of that something	nongold
65	turning is a kind of motion	nongold
66	a meter stick is used to measure distance; height; length	nongold
67	deflection is when something changes its moving direction	nongold
68	riding is a kind of motion	nongold
69	a surface is a part of an object	nongold
70	a device is a kind of object	nongold
71	pulling is a kind of motion	nongold
72	an animal requires energy to move	nongold
73	counter means reduce; stop; resist	nongold
74	movement is a kind of change	nongold
75	rotate means turn	nongold
76	an object being pushed across another object causes their surfaces to move against each other	nongold
77	rolling is a kind of motion	nongold
78	to turn means to change	nongold
79	an event is a kind of action	nongold
80	down is a kind of direction	nongold
81	mechanical energy is used to move something by animals	nongold
82	a component of something means a part of that something	nongold
83	length is a part of size	nongold
84	revolving is a kind of motion	nongold
85	a tectonic plate is a kind of object	nongold
86	moving; mobile is the opposite of stationary; unmoving	nongold
87	skidding is a kind of motion	nongold
88	An example of mechanical energy is an object in motion	nongold
89	a roll is a kind of movement	nongold
90	friction causes an object to lose energy	nongold
91	downward is a kind of direction	nongold
92	slipping is a kind of motion	nongold
93	a rotation is a kind of movement	nongold
94	an increase is a kind of change	nongold
95	joules ( J ) are an  SI unit used for measuring mechanical energy; work generally used for values between 1.0 and 1000.0	nongold
96	revolving is a kind of action	nongold
97	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
98	speed is a property of an object and includes values of slow; fast	nongold
99	setting is a kind of motion	nongold
