Question	Most of Earth's major earthquakes are caused by	question
Answer	faulting of rock in Earth's crust	answer
0	faulting of rock in Earth's crust causes earthquakes	gold
1	most means over 50% of something	nongold
2	Earth is a kind of planet	nongold
3	usually means most of the time	nongold
4	Earth is made of rock	nongold
5	earthquakes are most common along tectonic plate boundaries	nongold
6	an earthquake is a kind of natural; geological event	nongold
7	the crust of the Earth is similar to the surface of the Earth	nongold
8	weathering; erosion usually occurs over a period of many years	nongold
9	the continental crust is made of rock	nongold
10	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
11	tectonic plates being pushed together causes earthquakes	nongold
12	crust is similar to surface	nongold
13	the crust is a layer of the Earth	nongold
14	weathering is a kind of erosion	nongold
15	mostly means being the most	nongold
16	crustal plate means tectonic plate	nongold
17	earthquake  is a kind of vibration  of the ground	nongold
18	a rock is usually a solid	nongold
19	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
20	erosion is a kind of change	nongold
21	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
22	weathering occurs at the surface of the Earth	nongold
23	a motion is a kind of event; action	nongold
24	greatest means largest; highest; most amount of something	nongold
25	earthquake causes seismic waves	nongold
26	due to means caused by	nongold
27	a tectonic plate moves along a fault line	nongold
28	to be a source of something means to cause that something	nongold
29	breaking down is a kind of forming	nongold
30	a component means a part of	nongold
31	an increase is a kind of change	nongold
32	composed of means made of	nongold
33	a source of something emits; produces; generates; provides that something	nongold
34	to happen means to occur	nongold
35	to create means to make	nongold
36	weathering is a kind of process	nongold
37	pulling is a kind of motion	nongold
38	an event is a kind of action	nongold
39	a process is a kind of event	nongold
40	a rock is a kind of object	nongold
41	if something is caused by something else , then that something can be explained by that something else	nongold
42	erosion is a kind of process	nongold
43	to change means to cause a change	nongold
44	mechanical weathering is a kind of weathering	nongold
45	earthquakes cause rock layers to fold on top of each other	nongold
46	all the other means the rest of	nongold
47	Earth's plates means tectonic plates	nongold
48	to produce means to create	nongold
49	a change is a kind of event	nongold
50	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
51	creating is similar to causing	nongold
52	to cause means to make	nongold
53	mechanical weathering is when rocks are broken down by mechanical means	nongold
54	rock means stone	nongold
55	erosion is a kind of destructive force	nongold
56	erosion; storms can cause a landslide	nongold
57	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
58	sedimentary is a kind of rock	nongold
59	an earthquake changes Earth's surface quickly	nongold
60	rock is a kind of material	nongold
61	rising is a kind of motion	nongold
62	to cause means to result in	nongold
63	shaking is a kind of motion	nongold
64	movement is a kind of change	nongold
65	sliding is a kind of motion	nongold
66	no longer means used to be	nongold
67	a component of something means a part of that something	nongold
68	when an earthquake passes from the crust to the mantle ,  the wave of the earthquake changes speed	nongold
69	a landslide is a kind of natural event	nongold
70	to be made of means to consist of	nongold
71	to make means to form	nongold
72	a decrease is a kind of change	nongold
73	to form means to create	nongold
74	an earthquake causes the ground to shake	nongold
75	producing is similar to causing	nongold
76	affected means changed	nongold
77	to generate means to create	nongold
78	a type is synonymous with a kind	nongold
79	rock is made of minerals	nongold
80	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
81	flowing is a kind of motion	nongold
82	cracking something may cause that something  to break apart	nongold
83	break down means change from a whole into pieces	nongold
84	creating means making	nongold
85	rock is hard	nongold
86	events occur at a specific place; at a specific time; with a specific frequency	nongold
87	high is similar to increase	nongold
88	extreme means very high in value	nongold
89	to increase is similar to to create	nongold
90	to break down means to break into smaller pieces	nongold
91	a whole is formed by its parts	nongold
92	to be formed by is similar to being produced by	nongold
93	change is a kind of impact	nongold
94	metamorphic rock is a kind of rock	nongold
95	to be formed by is to be the result of	nongold
96	high means a lot of something	nongold
97	if something releases something else then that something is the source of that something else	nongold
98	answering questions requires information	nongold
99	an earthquake wave is a kind of wave	nongold
