Question	A chef uses a metal spoon to stir noodles cooking in a pan. After five minutes, she notices that the thermal energy from the pan has made the spoon	question
Answer	hot.	answer
0	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	gold
1	pot;pan;frying pan is made of metal for cooking	gold
2	a pan;frying pan is a kind of container for cooking; food	nongold
3	a pan is a kind of object	nongold
4	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	nongold
5	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	gold
6	metal is a thermal; thermal energy conductor	gold
7	a hot; warm something is a source of heat	nongold
8	heat energy is synonymous with thermal energy	gold
9	a spoon sometimes is made of metal	nongold
10	thermal energy is a kind of energy	nongold
11	heating means adding heat	nongold
12	hot means high in heat energy; temperature	nongold
13	heat means heat energy	gold
14	a spoon is a kind of object	gold
15	heat means the transfer of thermal energy	nongold
16	a hot substance is a source of heat	nongold
17	if food is cooked then heat energy is added to that food	nongold
18	adding heat means increasing temperature	nongold
19	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	gold
20	temperature is a measure of heat energy	nongold
21	cooking food requires adding heat energy to the food	nongold
22	the heat energy in the cooler object increases in thermal conduction	nongold
23	heat is a kind of energy	nongold
24	thermal conduction is when heat flows from warmer object to cooler object	nongold
25	if heat is transferred to an object , then the object will get hot	nongold
26	to add means to increase	nongold
27	when a cooler object touches a warmer object , thermal conduction occurs	nongold
28	metal is a kind of material	nongold
29	stirring is when something moves an object in a circular motion for mixing	nongold
30	absorbing sunlight causes objects to heat	nongold
31	water is an thermal; thermal energy conductor	nongold
32	absorbing energy causes objects; materials; substances to heat	nongold
33	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
34	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
35	an object; material; substance comes from that object or material's source	nongold
36	a hot plate is a source of heat	nongold
37	friction causes the temperature of an object to increase	nongold
38	a plastic spoon is made of plastic	nongold
39	a thermal conductor is made of materials that conduct thermal energy	nongold
40	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
41	a source of something emits; produces; generates; provides that something	gold
42	conductivity is a property of a material; substance	nongold
43	to get hot means become hot	nongold
44	if one surface; one substance; one object touches something then one is exposed to that something	gold
45	heat means temperature increases	nongold
46	if an object is made of a material then that object has the properties of that material	nongold
47	a human is a kind of animal	nongold
48	metal is a kind of substance	nongold
49	minutes are a kind of unit for measuring time	nongold
50	a source of something increases the amount of that something	nongold
51	if an object is hot then the surfaces of that object are hot	nongold
52	warm; becoming warm means heat is added	nongold
53	food is a kind of object	nongold
54	where something  comes from is a source of that something	nongold
55	if liquid is boiling then that liquid is hot	nongold
56	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
57	if something comes from something else then that something else is a source of that something	nongold
58	solar energy is a kind of heat energy	nongold
59	sunlight produces heat	nongold
60	being  on something; placed in something; placed over something means touching  that something	gold
61	boiling is when liquids are heated above their boiling point	nongold
62	stirring is a kind of first-	nongold
63	a container contains objects; material; substances	nongold
64	if heat is conducted to an object then that object will become hot	nongold
65	sunlight means solar energy	nongold
66	food is a kind of substance	nongold
67	a living thing is a kind of object	nongold
68	heat energy  can be used to heat up  an object	nongold
69	sunlight is a kind of solar energy	nongold
70	increase means more	nongold
71	to serve as means to be used as	nongold
72	if a container contains something then that container touches that something	nongold
73	if heat is added to a substance then that substance absorbs that heat	nongold
74	cookware is used for cooking	nongold
75	metal is an  electrical; electrical energy conductor	nongold
76	seconds are a kind of unit for measuring time	nongold
77	solar energy is a kind of energy	nongold
78	seconds are used to measure time	nongold
79	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
80	if something is places over a heat source then that something is exposed to that heat source	nongold
81	warm up means increase temperature	nongold
82	objects are made of materials; substances; matter	nongold
83	fire transfers heat through waves	nongold
84	warm is similar to hot	nongold
85	if something is in something , then something is exposed to something	nongold
86	a container is a kind of object	nongold
87	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
88	high is similar to increase	nongold
89	fire causes burning	nongold
90	food is a source of energy for animals; plants	nongold
91	an animal is a kind of living thing	nongold
92	to receive sunlight means to absorb sunlight	nongold
93	friction acts to counter the motion of two objects when their surfaces are touching	nongold
94	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
95	if something emits something else then that something increases the amount of that something else	nongold
96	to reduce means to decrease	nongold
97	a surface is a part of a material	nongold
98	material means substance	nongold
99	a source of heat can be used to heat something	nongold
