Question	Why are many telescopes used far from cities?	question
Answer	The light from the cities makes it hard to see stars.	answer
0	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	nongold
1	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	gold
2	the sun is a source of light; light energy called sunlight	nongold
3	a lens is a part of a telescope	nongold
4	where something  comes from is a source of that something	nongold
5	an optical telescope requires visible light for human to use	nongold
6	astronomy is the study of celestial (objects, bodies)	nongold
7	a reflecting telescope is a kind of telescope	nongold
8	an optical telescope is a kind of telescope	nongold
9	a city is a kind of location	nongold
10	a star is a kind of celestial object; celestial body	nongold
11	if something comes from something else then that something else is a source of that something	nongold
12	sunlight is a kind of light	nongold
13	seeing small things is difficult	nongold
14	seeing requires light	nongold
15	an object; material; substance comes from that object or material's source	nongold
16	astronomy is a kind of branch of science	nongold
17	seeing is used for sensing visual things	nongold
18	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
19	not looking means not seeing	nongold
20	far is the opposite of close	nongold
21	to see means to look	nongold
22	far means great in distance	gold
23	the Sun is a kind of star	nongold
24	light is made of photons	nongold
25	the stars in the night sky are very far away from the Earth	nongold
26	as the ability  to do something decreases , doing that something will be harder	nongold
27	near; close is the opposite of far; away	nongold
28	furthest; farthest means greatest; most; highest in distance	nongold
29	a city is a part of a society	nongold
30	harming something has a  negative impact on; effect on that something	nongold
31	the sun is the source of solar energy called sunlight	nongold
32	a planet is a kind of celestial object; body	nongold
33	to view means to see	nongold
34	hard is the opposite of easy	nongold
35	human eyes can only see light in the range of visible light	nongold
36	sunlight is a kind of solar energy	nongold
37	sight means to see	nongold
38	to be used for something means to be required by that something	nongold
39	the Sun is the  star that is closest to Earth	nongold
40	to reduce means to decrease	nongold
41	as light pollution increases , seeing the stars will be harder	gold
42	if an object reflects light toward the eye then that object can be seen	nongold
43	distant means far away	nongold
44	low is similar to decrease	nongold
45	light is a kind of wave	nongold
46	the sun is a source of radiation; heat called sunlight	nongold
47	the sun is not a star in the night sky	nongold
48	not visible means cannot be seen	nongold
49	dark means a low amount of light	nongold
50	using a telescope to photograph solar events requires a light filter	nongold
51	a convex lens is a part of telescope	nongold
52	many means high in number	nongold
53	light means light energy	nongold
54	detailed observation of celestial objects requires a telescope	nongold
55	less is similar to decrease	nongold
56	a star produces light and heat	nongold
57	as distance from a source of something increases , that something will decrease	nongold
58	to lower means to decrease	nongold
59	an increase is the opposite of a decrease	gold
60	a source of something emits; produces; generates; provides that something	nongold
61	if something is outside during the day , then that something will reflect enough light to be seen	nongold
62	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
63	invisible means cannot be seen	nongold
64	glass; objects made of glass cause refraction of light	nongold
65	closer means lower; less; a decrease in distance	nongold
66	a galaxy is a kind of celestial body; celestial object	nongold
67	looking at bright objects has a negative impact on the eyes	nongold
68	to cause means to make	nongold
69	a radio telescope is a kind of telescope	nongold
70	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
71	if something gains something from something else then that something else is a source of that something	nongold
72	if an object reflects more light then that object is more easily seen	nongold
73	Galileo Galilei made improvements to the telescope to make better observations of celestial bodies	nongold
74	observe means see	gold
75	light reflecting off of an object causes that object to be visible to the observer	nongold
76	as the use of something decreases , the use of the source of that something will decrease	nongold
77	light is a kind of electromagnetic radiation	nongold
78	being in the sun is synonymous with being in the sunlight	nongold
79	a planet is a kind of place	nongold
80	to illuminate means to light up	nongold
81	to be a source of something means to cause that something	nongold
82	negative impact is the opposite of positive impact	nongold
83	one can get something from a source	nongold
84	to reflect light means to scatter light	nongold
85	distant means great in distance	nongold
86	refraction is when light passes from one medium to another medium	nongold
87	a planet is a kind of location	nongold
88	visible light is able to be seen without using equipment	nongold
89	viewing means observing light	nongold
90	sight is a kind of sense	nongold
91	astronomical body means celestial body	nongold
92	dark is the opposite of light	nongold
93	if something transfers something else then that something is a source of something else	nongold
94	refractions of light can be used to help a person see	nongold
95	instrument means tool	nongold
96	answering questions requires information	nongold
97	stars make their own light	nongold
98	distance is a property of space and includes ordered values of close; far	nongold
99	if an object is in the light then that object is blocking the light	nongold
