Question	Many leaves appear green because the leaves	question
Answer	reflect green light.	answer
0	a leaf is often green in color	gold
1	green is a kind of color	gold
2	if an object reflects a light of a certain color then the object appears to be that color	gold
3	a living thing is a kind of object	nongold
4	reflecting light; sound is the opposite of absorbing light; sound	nongold
5	a leaf is a part of a  green plant	nongold
6	shiny things; objects reflect light	nongold
7	a plant is a kind of living thing	nongold
8	reflection is when light is reflected from one object; one place to  another object; another place	nongold
9	a leaf is a kind of object	gold
10	a leaf is a kind of plant	nongold
11	a plant light is used for help plants by mimicking sunlight	nongold
12	occur is similar to appear	nongold
13	grass is green in color	nongold
14	a tree is a kind of living thing	nongold
15	to bounce back means to reflect	nongold
16	a white object reflects all visible light	nongold
17	if an object is white then that object reflects all visible light	nongold
18	sunlight is a kind of light	nongold
19	color is a property of  an object; a material	nongold
20	how something  appears is how that something  looks	nongold
21	a tree is a kind of plant	nongold
22	a forest environment usually is green in color	nongold
23	a leaf is a part of a tree	nongold
24	light reflecting off of an object causes that object to be visible to the observer	nongold
25	a plant is a kind of organism	nongold
26	grass is a kind of green plant	nongold
27	An example of camouflage is an organism looking like leaves	nongold
28	if an object reflects more light then that object is more easily seen	nongold
29	an animal is a kind of living thing	nongold
30	coloration means a thing's color	nongold
31	seeing requires light	nongold
32	appearing is similar to seeming	nongold
33	color is a kind of physical; visual property	nongold
34	a tree is a kind of matter	nongold
35	an organism is a living thing	nongold
36	vegetation means plants	nongold
37	to reflect light means to scatter light	nongold
38	if a living thing requires something then that something has a positive impact on that living thing	nongold
39	eyes can sense;detect light energy for seeing	nongold
40	red is a kind of color	nongold
41	a blue object reflects only blue light	nongold
42	if an object is blue then that object reflects only blue light	nongold
43	if an object reflects light toward the eye then that object can be seen	nongold
44	a leaf absorbs sunlight to perform photosynthesis	nongold
45	to receive sunlight means to absorb sunlight	nongold
46	appear is similar to apparent	nongold
47	bouncing something back means reflecting that something	nongold
48	a leaf performs photosynthesis; gas exchange	nongold
49	as lightness in color of an object increases , the ability of that object to reflect light will increase	nongold
50	eyes are a part of a human for seeing	nongold
51	changes to the amount of light cause leaves on certain trees to change color in autumn	nongold
52	a human is a kind of animal	nongold
53	if an object is blue , then that object absorbs all the lights except blue light	nongold
54	visible light is a kind of  light	nongold
55	eyes are usually part of an animal for seeing	nongold
56	eyes are used for seeing by animals by sensing light	nongold
57	leaves changing color is a kind of process	nongold
58	harming something has a  negative impact on; effect on that something	nongold
59	intensity of sunlight is similar to amount of sunlight	nongold
60	objects are made of materials; substances; matter	nongold
61	large leaves are a kind of adaptation for absorbing sunlight	nongold
62	receiving sunlight  is synonymous with absorbing sunlight	nongold
63	seeing is used for sensing visual things	nongold
64	a leaf is small in size	nongold
65	feeling is when an living thing senses through touch	nongold
66	visible means able to be seen	nongold
67	appearance is a property of objects; materials	nongold
68	leaves are sometimes brown in color	nongold
69	light means light energy	nongold
70	a shrub is a kind of plant	nongold
71	a reflector is used to reflect light especially on vehicles	nongold
72	to shine means to emit light	nongold
73	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
74	chlorophyll is used for absorbing light energy by plants	nongold
75	light is a kind of wave	nongold
76	An example of camouflage is when something is; has the same color as its environment	nongold
77	when object is in direct light then that object is not shaded	nongold
78	reflective obejcts cause objects to appear backwards	nongold
79	a deciduous tree's leaves usually change color in the autumn season	nongold
80	darker objects absorb more light than light colored objects	nongold
81	image means visual depiction of an object	nongold
82	to illuminate means to light up	nongold
83	green plants are a kind of producer	nongold
84	reflection is a property of light	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	to look like means to have the visual properties of	nongold
87	a flower is a kind of object	nongold
88	bright means bright; light in color	nongold
89	a  plant requires sunlight for photosynthesis	nongold
90	absorbing something harmful has a negative impact on a thing	nongold
91	refracting sunlight; light causes sunlight; light to split into different colors	nongold
92	an animal is a kind of organism	nongold
93	visible light is made of lights of different colors including violet, blue, green, yellow, orange, red light	nongold
94	chlorophyll is green in color	nongold
95	the color of an environment means the color of the things that environment contains	nongold
96	a leaf is a kind of plant organ	nongold
97	hiding means visibility; ability to be seen decreases for camouflage	nongold
98	plants are a part of the environment	nongold
99	the color of an object can be discovered by looking at that object	nongold
