Question	If a wooded area is cleared and corn is planted, what will MOST likely happen?	question
Answer	Animal habitats will be destroyed.	answer
0	clearing a forest means humans cutting down the trees	nongold
1	destroying animal habitats has a negative  impact on an ecosystem	nongold
2	if a habitat is removed then that habitat is destroyed	gold
3	destroying animal habitats changes an ecosystem	nongold
4	destroying a forest means cutting down the trees in that forest	nongold
5	clearing a forest is similar to deforestation	nongold
6	removing forests means removing animal habitats	gold
7	forest is synonymous with wooded area	gold
8	if a habitat is destroyed then that habitat can not support animals	nongold
9	destruction means to destroy	nongold
10	deforested area means an area where trees have been cut down	nongold
11	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
12	an animal requires a habitat for survival	nongold
13	an environment means an area	nongold
14	a forest contains  lots of plants; trees	nongold
15	woodland means forest	nongold
16	corn is a kind of plant	nongold
17	destroying something causes harm to that something	nongold
18	a forest is a kind of environment	nongold
19	planting crops requires growing crops	nongold
20	if a tree is cut down then that tree will die	nongold
21	humans changing an environment sometimes causes that environment to be destroyed	nongold
22	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
23	fire destroys plants in an environment	nongold
24	removing a forest means cutting down a forest	nongold
25	an ecosystem is a kind of habitat	nongold
26	planting trees has a  positive impact on an ecosystem	nongold
27	corn is a kind of crop	nongold
28	removing a forest means cutting down the trees in that forest	nongold
29	planting trees is the opposite of cutting down trees	nongold
30	corn is a kind of seed	nongold
31	planting crops is synonymous with growing crops	nongold
32	if a plant is planted; growing somewhere then that plant is located there	nongold
33	humans moving in an environment usually causes native species to lose their habitats	nongold
34	logging is when humans cut down trees; forests for wood	nongold
35	cutting down a forest means cutting down the trees in that forest	nongold
36	a plant requires a habitat for survival	nongold
37	farming decreases animal habitats	nongold
38	natural disasters can cause animals to leave an environment	nongold
39	damage has a negative impact on a thing	nongold
40	clearing is similar to removing	gold
41	destruction means loss	nongold
42	cutting down trees in a forest causes the number of trees to decrease in that forest	nongold
43	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
44	habitat is similar to environment	nongold
45	a forest is a kind of ecosystem	nongold
46	deforestation is the process of cutting down trees	nongold
47	killing means harming something causing death	nongold
48	destroying something decreases the amount of that something	nongold
49	if an organism dies then the population of that organism will decrease	nongold
50	harming something has a  negative impact on; effect on that something	nongold
51	humans changing animal habitats usually causes harm to those animals	nongold
52	to happen means to occur	nongold
53	if a weed is pulled then that weed is destroyed	nongold
54	if a living thing dies then that living thing is dead	nongold
55	An example of replacing a natural resource is planting new trees where a forest once stood	nongold
56	an animal is a kind of organism	nongold
57	an environment is a kind of place	nongold
58	planting is a kind of human action	nongold
59	fire causes harm to trees; to forests; to living things	nongold
60	planting native plants has a  positive impact on an ecosystem	nongold
61	an environment is similar to an ecosystem	nongold
62	death means to die	nongold
63	as the use of a crop increases , the amount of  crops planted will increase	nongold
64	building housing developments; dams; roads usually requires replacing; destroying animal habitats	nongold
65	an animal is a kind of living thing	nongold
66	harming an animal species causes that animal's population to decrease	nongold
67	some animals live in forests	nongold
68	farming is when a human plants crops for food	nongold
69	negative impact is the opposite of positive impact	nongold
70	cropland is used for farming by humans	nongold
71	An example of an environment is a forest; a river; a grassland; an ocean	nongold
72	something being destroyed means that something no longer exists	nongold
73	humans eat crops	nongold
74	farming changes the environment	nongold
75	crops grow in soil	nongold
76	vegetation means plants	nongold
77	crops are a kind of edible plant for eating	nongold
78	harming an animal species has a  negative impact on the population size of that species	nongold
79	a tree can be replaced by planting a new tree each time one is cut down	nongold
80	a plant requires soil for survival; to grow	nongold
81	planting crops is a kind of activity	nongold
82	plants are a part of the environment	nongold
83	an ecosystem contains a large community of; large numbers of living organisms	nongold
84	landscape is similar to land	nongold
85	organisms are a part of an environment	nongold
86	planting trees is sometimes a human activity	nongold
87	grass is a kind of green plant	nongold
88	negative impacts on a species will decrease populations of a species	nongold
89	an animal; living thing requires nutrients for survival	nongold
90	if a living thing is destroyed then the resources used by that living thing will become available	nongold
91	a farmer farms crops; plants for  food	nongold
92	if a habitat can no longer support animals then those animals will move to another area	nongold
93	weed is a kind of plant	nongold
94	decreasing something negative has a positive impact on a thing	nongold
95	a field is a kind of habitat	nongold
96	damage means harm	nongold
97	a grassland is a kind of environment	nongold
98	if an animal lives under ground then that animal will be protected from a wild fire	nongold
99	green plants are a kind of producer	nongold
