Question	Which results in a chemical change?	question
Answer	A teacher lights a candle.	answer
0	lighting a candle causes that candle to burn	gold
1	chemical reactions cause chemical change	gold
2	to cause means to result in	gold
3	a lit candle converts chemical energy into light energy; heat energy	nongold
4	combustion is a kind of chemical change	nongold
5	to produce means to result in	nongold
6	a candle is a kind of object	nongold
7	a candle is a source of light when it is burned	nongold
8	combustion means fire converts chemical energy into light energy and heat energy	nongold
9	a student is a kind of human	nongold
10	combining; mixing two substances chemically causes chemical reactions	nongold
11	fire is a kind of chemical reaction	gold
12	chemical change is a kind of chemical reaction	nongold
13	adding heat to an object sometimes causes chemical reactions	nongold
14	fire causes burning	gold
15	to change means to cause a change	nongold
16	a flame are a part of a fire	nongold
17	result means outcome	nongold
18	fire gives off light; heat; smoke	nongold
19	chemicals means substances	nongold
20	acid can cause chemical change	nongold
21	a classroom is a kind of a room	nongold
22	a human is a kind of animal	nongold
23	light means light energy	nongold
24	chemical reactions cause new substances; different substances to form	nongold
25	combustion is a kind of exergonic reaction	nongold
26	lighting a match causes that match to burn	nongold
27	to be formed by is to be the result of	nongold
28	to be a source of something means to cause that something	nongold
29	a chemical reaction is a kind of process	nongold
30	cooking causes a chemical reaction	nongold
31	product means result	nongold
32	to combust means to catch fire	nongold
33	photosynthesis is a kind of chemical reaction	nongold
34	combustion is a kind of exothermic reaction	nongold
35	substances are made of matter	nongold
36	producing is similar to causing	nongold
37	heat means heat energy	nongold
38	objects are made of materials; substances; matter	nongold
39	a result of something is evidence of that something	nongold
40	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
41	person is synonymous with human	nongold
42	most chemical reactions release or absorb heat energy	nongold
43	emit means produce	nongold
44	something that happens is a kind of event	nongold
45	matter; materials; substances are made of atoms; particles	nongold
46	chemical change is the opposite of physical change	nongold
47	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
48	substances have chemical properties	nongold
49	a candle is made of wax	nongold
50	a change is a kind of event	nongold
51	reaction to light is a kind of chemical property	nongold
52	if something causes an increase in something else then that something produces that something else	nongold
53	a burner is a kind of object; surface	nongold
54	chemical reaction means chemical bonds change	nongold
55	a source of something emits; produces; generates; provides that something	nongold
56	if an object undergoes chemical change then that object will have new chemical properties	nongold
57	materials are made of matter	nongold
58	gas is a kind of substance	nongold
59	if the color of a substance changes then a chemical change may have occurred	nongold
60	if something causes a process then that something is required for that process	nongold
61	an animal is a kind of organism	nongold
62	a reaction is a kind of process	nongold
63	substances are made of elements	nongold
64	gas is a kind of material	nongold
65	to cause means to make	nongold
66	food is a kind of chemical energy	nongold
67	action can cause change	nongold
68	photosynthesis is a kind of chemical  process	nongold
69	a liquid is a kind of substance	nongold
70	to give is similar to to cause	nongold
71	a classroom is a kind of  area	nongold
72	a process is a kind of event	nongold
73	objects contain chemical energy	nongold
74	to happen means to occur	nongold
75	to cause an event is similar to being involved in that event	nongold
76	chemical compounds contain chemical bonds between atoms; between elements	nongold
77	An example of a chemical change is acid breaking down substances	nongold
78	to illuminate means to light up	nongold
79	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
80	temperature is a measure of heat energy	nongold
81	compound is a kind of chemical	nongold
82	formation of a state of matter is a kind of process	nongold
83	light is a kind of energy	nongold
84	light is a kind of energy	nongold
85	An example of a chemical change is electrical energy breaking down a compound	nongold
86	the chemistry of something is similar to what that something is made of	nongold
87	affected means changed	nongold
88	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
89	determine is similar to cause	nongold
90	gas is a kind of state of matter	nongold
91	to be formed by is similar to being produced by	nongold
92	chemical energy is a kind of energy	nongold
93	material means substance	nongold
94	hydrogen contains chemical energy	nongold
95	a room is a kind of object	nongold
96	carbon is a kind of element	nongold
97	heat is a kind of energy	nongold
98	an atom is a kind of object	nongold
99	an animal is a kind of living thing	nongold
