Question	Moving water was the most important factor in forming which of these?	question
Answer	the Grand Canyon	answer
0	the Grand Canyon is a kind of canyon	nongold
1	the Grand Canyon was formed by the Colorado River flowing over long periods of time	gold
2	a canyon is a very deep valley	nongold
3	a canyon is made of rock	nongold
4	most canyons are formed by flowing rivers through erosion over long periods of time	gold
5	a canyon is a kind of place	nongold
6	a canyon forming occurs over a period of millions of years	nongold
7	a canyon is a kind of landform	nongold
8	a canyon is a very big crack in the ground	nongold
9	if something requires something else then that something else is important to that something	gold
10	a valley is formed by a river flowing	nongold
11	if something is made of something else then the formation of that something requires that something else	nongold
12	the formation of something is a kind of process	nongold
13	to cause the formation of means to form	gold
14	a landslide is when water; gravity rapidly moves rocks; soil downhill especially after a rain storm	nongold
15	a river is a kind of flowing body of water	gold
16	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
17	a river is a kind of channel for water	nongold
18	flowing is a kind of motion	gold
19	a motion is a kind of event; action	nongold
20	a stream is a kind of body of water	nongold
21	breaking down is a kind of forming	nongold
22	if something has a positive impact on something else then that something is important to that something else	nongold
23	motion; movement means moving; to move	gold
24	erosion is a kind of process	nongold
25	requiring something means needing that something	nongold
26	form means kind	nongold
27	erosion causes a river to become deeper and wider	nongold
28	to depend on; to rely on; to need means to require	nongold
29	to be required means to be necessary	nongold
30	flowing is a kind of action	nongold
31	forming is a kind of action	nongold
32	if something causes a process then that something is required for that process	gold
33	soil erosion is when wind; moving water; gravity move soil from fields; environments	gold
34	requiring is similar to needing help	nongold
35	valley is located between mountains; hills	nongold
36	forming something is a kind of change	nongold
37	to be used for something means to be required by that something	nongold
38	weathering is a kind of process	nongold
39	erosion is a kind of change	nongold
40	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
41	an event is a kind of action	nongold
42	travel means to move	nongold
43	if an event is required for a process then that event must occur before that process can occur	nongold
44	a process is a kind of event	nongold
45	a whole is formed by its parts	nongold
46	a landslide is a kind of natural event	nongold
47	a channel contains moving water	nongold
48	the formation of rock is a kind of process	nongold
49	to make means to form	nongold
50	weathering is a kind of erosion	nongold
51	a tunnel is a kind of hole	nongold
52	weathering; erosion usually occurs over a period of many years	nongold
53	a process usually requires all of the stages in that process	nongold
54	water causes the most soil and rock erosion	nongold
55	to be formed by is to be the result of	nongold
56	moving is similar to travelling	nongold
57	to make possible means to be required	nongold
58	soil erosion is a kind of slow; natural process	nongold
59	to form means to create	nongold
60	motion is when moves an object; something to a direction	nongold
61	greatest means largest; highest; most amount of something	nongold
62	pulling is a kind of motion	nongold
63	to change into means to form	nongold
64	sinkholes; caves are formed by precipitation; infiltration	nongold
65	if something requires something else then that something requires a source of that something else	nongold
66	water  flows down a slope	nongold
67	a factor impacts something	nongold
68	a landform is a kind of natural formation	nongold
69	moving something is a kind of function	nongold
70	erosion; storms can cause a landslide	nongold
71	sliding is a kind of motion	nongold
72	if something causes something else then that something else depends on that something	nongold
73	a part of a process means a stage in a process	nongold
74	an earthquake is a kind of natural; geological event	nongold
75	erosion is a kind of destructive force	nongold
76	to be made of something means to be formed of that something	nongold
77	landform means surface feature; physical feature; land feature	nongold
78	a component means a part of	nongold
79	helping something has a  positive impact on that something	nongold
80	soil erosion is a kind of event	nongold
81	a cavern is a kind of land form	nongold
82	movement is a kind of change	nongold
83	formation of a state of matter is a kind of process	nongold
84	a step in a process means a stage in a process	nongold
85	turning is a kind of motion	nongold
86	distance moved; distance travelled is a measure of how far an object moves	nongold
87	a component of something means a part of that something	nongold
88	change is a kind of process	nongold
89	downstream is a kind of direction in a river	nongold
90	role is similar to importance	nongold
91	rising is a kind of motion	nongold
92	transport means to move; to make travel	nongold
93	a riverbed is a part of a river	nongold
94	an increase is a kind of change	nongold
95	animals; living things require water for survival	nongold
96	an animal requires energy to move	nongold
97	to cause means to make	nongold
98	the ground is part of the Earth	nongold
99	forming is a kind of replenishing	nongold
