Question	When a switch to a ceiling fan is turned on, electrical energy is being transformed into	question
Answer	mechanical energy.	answer
0	a fan converts electrical energy into mechanical energy; heat energy; sound energy	gold
1	a ceiling fan is a kind of fan	gold
2	an electric fan is a kind of electrical device for cooling; ventilation	nongold
3	mechanical energy is a kind of energy	nongold
4	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
5	to transform means to convert	gold
6	to turn means to convert	nongold
7	an electrical device requires electricity to turn on	nongold
8	An example of mechanical energy is an object in motion	nongold
9	energy transformation means one kind of energy changes into another kind of energy	nongold
10	sound is produced when mechanical energy is transformed into sound energy	nongold
11	energy conversion is similar to energy transformation	nongold
12	electrical energy is a kind of energy	nongold
13	electricity means electrical energy	nongold
14	mechanical energy can  cause objects to move	nongold
15	converting is similar to turning into	nongold
16	to convert means to change	nongold
17	a machine is a kind of object	nongold
18	kinetic energy is a kind of mechanical energy	nongold
19	to turn means to change	nongold
20	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
21	vibration is a kind of motion	nongold
22	when an animal moves , chemical energy is converted to mechanical energy	nongold
23	the vanes rotating in an electric fan causes air to move	nongold
24	a machine is a kind of  device	nongold
25	mechanical energy is used to move something by animals	nongold
26	motion; movement means moving; to move	nongold
27	convert is similar to transfer	nongold
28	a device is a kind of object	nongold
29	a simple machine requires mechanical energy to function	nongold
30	heat is a kind of energy	nongold
31	fans are used for cooling humans;rooms	nongold
32	electric devices require electrical energy to function	nongold
33	a source of something emits; produces; generates; provides that something	nongold
34	thermal energy is a kind of energy	nongold
35	objects are made of materials; substances; matter	nongold
36	converting is similar to producing	nongold
37	an electric motor is  a part of an electric fan for rotating the vanes in the fan	nongold
38	converting is a kind of function	nongold
39	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
40	turns is similar to changes	nongold
41	variable means able to change	nongold
42	flipping; pushing a switch means using; activating that switch	nongold
43	electricity is made of moving charges; moving charged particles	nongold
44	phase means state	nongold
45	a switch is used to start; stop the flow of current by  closing; opening the electric circuit	nongold
46	a light bulb converts electrical energy; electricity into light energy; light energy and heat energy when it is turned on	nongold
47	when mechanical  energy is transferred to the air , then the air will start to vibrate	nongold
48	a motion is a kind of event; action	nongold
49	matter; materials; substances are made of atoms; particles	nongold
50	some light bulbs convert electrical energy; electricity into light energy and heat energy	nongold
51	emit means produce	nongold
52	a heat engine converts heat energy into mechanical energy	nongold
53	turning on is a kind of process	nongold
54	electricity is used as an energy source by electrical devices	nongold
55	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
56	turning is a kind of motion	nongold
57	answering questions requires information	nongold
58	affected means changed	nongold
59	metal is an  electrical; electrical energy conductor	nongold
60	the floor is a kind of object	nongold
61	heat means heat energy	nongold
62	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
63	a vibration is similar to a wave	nongold
64	form means kind	nongold
65	friction converts mechanical energy into heat energy	nongold
66	mechanical force is a kind of mechanical energy	nongold
67	the function of something is what that something  is used to do	nongold
68	a room is a kind of object	nongold
69	counter means reduce; stop; resist	nongold
70	as the force with which an object is touched increases , the amount of  mechanical energy converted to sound energy will increase	nongold
71	motion is when moves an object; something to a direction	nongold
72	movement is a kind of change	nongold
73	can be means able to be	nongold
74	a button is similar to a switch	nongold
75	an electric motor converts electrical energy into mechanical energy	nongold
76	flipping a switch completes an electrical circuit	nongold
77	the ceiling is at the top of a room	nongold
78	a heating element converts electrical energy; electricity into heat energy for heating	nongold
79	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
80	a surface is a part of an object	nongold
81	to change means to cause a change	nongold
82	to add means to increase	nongold
83	a living thing is a kind of object	nongold
84	a surface is a part of a material	nongold
85	person is synonymous with human	nongold
86	heat energy is synonymous with thermal energy	nongold
87	high is similar to increase	nongold
88	electrical signals are made of electrical energy	nongold
89	mechanical energy exerted by an object can be used to push or pull another object	nongold
90	ground means floor	nongold
91	converting is similar to releasing	nongold
92	material means substance	nongold
93	substances are made of matter	nongold
94	the formation of lightning converts mechanical energy into electrical energy	nongold
95	to conduct is similar to to transfer	nongold
96	to give off means to be the source of	nongold
97	emit means send out	nongold
98	materials are made of matter	nongold
99	electricity sometimes is used for heating buildings; substances	nongold
