Question	Why do dogs have most of the characteristics of their parents?	question
Answer	They inherit them from their parents.	answer
0	a dog is a kind of animal	gold
1	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
2	an inherited characteristic is a kind of characteristic	nongold
3	characteristic means property	nongold
4	trait is synonymous with characteristic	nongold
5	the color of; coloration of fur is an inherited characteristic	nongold
6	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
7	most means over 50% of something	nongold
8	trait means property	nongold
9	the colors of parts of an organism are inherited characteristics	nongold
10	an animal is a kind of living thing	gold
11	an animal is a kind of organism	nongold
12	feature is synonymous with characteristic	nongold
13	inherited characteristics can change over several generations	nongold
14	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
15	if an organism passes on its traits then future generations will have those traits	nongold
16	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
17	to be characterized by  a property means to have that property	nongold
18	the condition of parts of an organism are acquired characteristics	nongold
19	a learned characteristic is a kind of acquired characteristic	nongold
20	a father is a kind of male parent	nongold
21	a cat is a kind of animal	nongold
22	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
23	a human is a kind of animal	nongold
24	offspring receives half of the genes from each parent	nongold
25	fur is often part of an animal	nongold
26	a cat is a kind of mammal	nongold
27	an adaptation is a kind of characteristic	nongold
28	a part of something means a characteristic of something	nongold
29	blood type is an inherited characteristic	nongold
30	an organism is a living thing	nongold
31	a mother is a kind of female parent	nongold
32	usually means most of the time	nongold
33	personality is an acquired characteristic	nongold
34	the number of body parts of an organism is an inherited characteristic	nongold
35	species is an inherited characteristic	nongold
36	inherited characteristics are a kind of hereditary information	nongold
37	unique  is the opposite of diverse	nongold
38	what an object is made of is a kind of characteristic	nongold
39	reproductive behavior is an inherited characteristic	nongold
40	fur is usually part of a mammal	nongold
41	an object has properties	nongold
42	the  diet of an animal is an inherited characteristic	nongold
43	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
44	parents produce offspring	nongold
45	a puppy is a young; baby dog	nongold
46	a living thing is a kind of object	nongold
47	identical twins have all of the same inherited characteristics	nongold
48	genes are able to determine the inherited characteristics of a living thing	nongold
49	a behavior is a kind of characteristic	nongold
50	a prairie dog is a kind of animal	nongold
51	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
52	human is a kind of organism	nongold
53	the shape of body parts is an inherited characteristic	nongold
54	traits can be determined by one pair; many pairs of genes in an organism	nongold
55	a cat is a kind of carnivore	nongold
56	a structure of something is synonymous with a part of that something	nongold
57	a property of something is a feature of that something	nongold
58	children; young is synonymous with offspring	nongold
59	genetic variation is similar to trait variation	nongold
60	a plant is a kind of organism	nongold
61	trait is a kind of genetic information	nongold
62	incomplete dominance is when offspring exhibit a combination of a property caused by the genes of its parents	nongold
63	a type is synonymous with a kind	nongold
64	appearance  is a kind of physical property	nongold
65	ability is a kind of characteristic	nongold
66	color is a property of  an object; a material	nongold
67	mostly means being the most	nongold
68	human is similar to individual	nongold
69	an organism's environment affects that organism's acquired characteristics	nongold
70	eye color is an inherited characteristic	nongold
71	a physical property is a kind of property	nongold
72	selective breeding is when an organism receives selective genetic traits from its parents by human design	nongold
73	preferences are generally learned characteristics	nongold
74	if two things have the same features then those two things are alike	nongold
75	color is an intensive property	nongold
76	a property is similar to a factor	nongold
77	phenotype of an organism means the visible traits of  an organism	nongold
78	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
79	answering questions requires information	nongold
80	if two or more organisms have similar characteristics then those organisms might share a common ancestor	nongold
81	aspect of something is similar to part of something	nongold
82	to lack means to not have	nongold
83	intelligence is an acquired characteristic	nongold
84	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
85	a component of something means a part of that something	nongold
86	color is a kind of physical; visual property	nongold
87	resemble means similar characteristics	nongold
88	a structure is a kind of feature	nongold
89	if an animal's fur is a color then that animal is that color	nongold
90	hair is similar to fur	nongold
91	a scar is an acquired characteristic	nongold
92	a baby is the offspring of a parent	nongold
93	a baby is the offspring of a parent	nongold
94	a mother births offspring	nongold
95	the effects of something is a property of that something	nongold
96	appearance is a property of objects; materials	nongold
97	aspect is similar to property	nongold
98	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
99	all the other means the rest of	nongold
