Question	Earth makes a complete revolution around the Sun about once every	question
Answer	year	answer
0	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	gold
1	the Earth revolves around the sun	nongold
2	once per means every	nongold
3	a planet completes one orbit around its star over a period of one planetary year	nongold
4	a revolution occurs when something revolves around something else	nongold
5	revolving  around something means orbiting that something	nongold
6	a revolution of the moon around the Earth takes 1; one month	nongold
7	Earth's revolution is a kind of cycle	nongold
8	annual means once per year	nongold
9	revolve once means to complete a revolution	nongold
10	Earth is a kind of planet	nongold
11	the moon orbiting the Earth occurs once per month	nongold
12	a celestial body travelling around another celestial body means that celestial body completes a cycle around that other celestial body	nongold
13	Earth rotating on its axis occurs once per day	nongold
14	yearly means every year	nongold
15	cycles of day and night occur once per day	nongold
16	the Sun is a kind of star	nongold
17	the moon orbiting the Earth occurs approximately 13 times per year	nongold
18	years are a kind of unit for measuring time	nongold
19	the Earth rotates on its axis	nongold
20	planets in the solar system orbit the Sun	nongold
21	the moon rising occurs once per day	nongold
22	the sun rising; setting occurs once per day	nongold
23	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
24	the moon orbits the Earth	nongold
25	once means one time	nongold
26	a star is a kind of celestial object; celestial body	nongold
27	daily means every day; once per day	nongold
28	each of the moon's phases occurs once per month	nongold
29	a moon is a kind of celestial object; body	nongold
30	a planet is a kind of celestial object; body	nongold
31	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
32	planets orbit stars	nongold
33	the moon rotates on its axis	nongold
34	to a human a time period of 1000 years or more years is considered very long	nongold
35	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
36	a cycle happens; occurs repeatedly	nongold
37	the sun  is the source of energy for physical cycles on Earth	nongold
38	sunlight is a kind of light	nongold
39	Celestial bodies move in orbits in space around other celestial bodies	nongold
40	the sun rising and setting causes cycles of day and night	nongold
41	revolving is a kind of motion	nongold
42	each season occurs once per year	nongold
43	a comet orbit occurs usually once per 1000.0 years	nongold
44	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
45	a motion is a kind of event; action	nongold
46	approximately means about	nongold
47	setting is a kind of motion	nongold
48	astronomy is the study of celestial (objects, bodies)	nongold
49	the Moon is Earth's moon	nongold
50	an event is a kind of action	nongold
51	sunshine means sunlight	nongold
52	a hemisphere is a part of Earth	nongold
53	light year is a measure of the distance light travels in one year	nongold
54	the day time is part of one day	nongold
55	a planet rotating causes cycles of day and night on that planet	nongold
56	the sun setting is a kind of event	nongold
57	to cause means to make	nongold
58	planets have cleared their orbits	nongold
59	the sun sets in the west	nongold
60	days are a kind of unit for measuring time	nongold
61	moons orbit planets	nongold
62	monthly means once per month	nongold
63	a planet's distance from the star causes the length of a planetary year	nongold
64	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
65	a rotation of the moon takes 1; one month	nongold
66	the sun rising is a kind of event	nongold
67	make means produce	nongold
68	the sun rises in the east	nongold
69	a half of Earth is a hemisphere of Earth	nongold
70	incomplete is the opposite of complete	nongold
71	being around something means surrounding  that something	nongold
72	astronomical body means celestial body	nongold
73	a new moon is a kind of phase of the moon	nongold
74	the sun is a kind of yellow dwarf	nongold
75	orbit means orbital path	nongold
76	the sunlight occurs during the day	nongold
77	all the time means at day and at night	nongold
78	1 year is equal to 365 days	nongold
79	a light-year is used for describing long distances	nongold
80	month is a kind of period of time	nongold
81	the sun is the source of solar energy called sunlight	nongold
82	a process is a kind of event	nongold
83	Mars is a kind of planet	nongold
84	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	nongold
85	events occur at a specific place; at a specific time; with a specific frequency	nongold
86	the Western Hemisphere is a kind of hemisphere of Earth	nongold
87	Tuesday is a kind of  time	nongold
88	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
89	period is similar to amount of time	nongold
90	the new moon is when the dark half of the moon faces the Earth	nongold
91	length of time means period of time	nongold
92	Saturn is a kind of planet	nongold
93	revolving is a kind of action	nongold
94	a phase of the moon is a kind of state	nongold
95	a human is a kind of animal	nongold
96	a cycle is a kind of process	nongold
97	astronomical unit is a measure of distance between Earth and the Sun	nongold
98	the sun is  the largest celestial body in our solar system	nongold
99	the night time is part of one day	nongold
