Question	A group of students are studying bean plants. All of the following traits are affected by changes in the environment except	question
Answer	seed type.	answer
0	a bean plant is a kind of plant	gold
1	the type of seed of a plant is an inherited characteristic	gold
2	a seed is a part of a plant	nongold
3	beans are a kind of legume	nongold
4	a seed is a kind of young plant	nongold
5	if something affects a part of something else then that something affects that something else	nongold
6	causing is a kind of affecting	nongold
7	a type is synonymous with a kind	nongold
8	seed dispersal has a positive impact on a plant; a plant's reproduction	nongold
9	plant reproduction; seed production requires pollination	nongold
10	to impact means to affect	nongold
11	a student is a kind of human	nongold
12	to change means to have an effect	nongold
13	affected means changed	nongold
14	change is a kind of impact	nongold
15	an organism's environment affects that organism's acquired characteristics	gold
16	seeds sprouting causes plants to grow	nongold
17	An example of seed dispersal is animals eating; excreting seeds	nongold
18	to cause means to have an effect	nongold
19	impact means effect	nongold
20	seed dispersal is when the seeds of a plant are moved; are carried; are spread; are dropped; from the parent plant to another area	nongold
21	a seedling is a kind of young plant	nongold
22	In the flowering plant life cycle , seed	nongold
23	cause is similar to influence	nongold
24	if a plant sprouts from a seed then that plant is born	nongold
25	plant requires seed dispersal for reproduction	nongold
26	if something is made by something else then that something is affected by that something else	nongold
27	plants are a part of the environment	nongold
28	trait is synonymous with characteristic	gold
29	inherited characteristics are the opposite of learned characteristics; acquired characteristics	gold
30	crops are a kind of edible plant for eating	nongold
31	all living things grow	nongold
32	a seed is used for storing food for a new plant	nongold
33	a seed is a kind of food for birds	nongold
34	a plant is a kind of living thing	nongold
35	seed dispersal is when the seeds of a plant are moved from the plant to  a new environment	nongold
36	an increase is a kind of change	nongold
37	a plant is a kind of organism	gold
38	plants of the same species have the same type of seed	nongold
39	humans sometimes eat seeds	nongold
40	an increase is the opposite of a decrease	nongold
41	an organism is a living thing	nongold
42	studying is similar to observing	nongold
43	a learned characteristic is a kind of acquired characteristic	nongold
44	organisms are a part of an environment	nongold
45	influence means effect	nongold
46	a part of something means a characteristic of something	nongold
47	harming something has a  negative impact on; effect on that something	nongold
48	a decrease is a kind of change	nongold
49	characteristic means property	nongold
50	a factor impacts something	nongold
51	to be affected by something is similar to depending on something	nongold
52	negative impact is the opposite of positive impact	nongold
53	variable means able to change	nongold
54	to belong to a group means to be a kind of something	nongold
55	an environment means an area	nongold
56	a living thing is a kind of object	nongold
57	an animal is a kind of living thing	nongold
58	having an impact on something means altering that something	nongold
59	to change means to cause a change	nongold
60	an inherited characteristic is a kind of characteristic	nongold
61	an animal is a kind of organism	nongold
62	An example of  seed dispersal is is an animal hiding; gathering; burying seeds	nongold
63	influence means impact	nongold
64	a plant; living thing requires food for survival	nongold
65	the ability to grow is a kind of trait	nongold
66	peas is a kind of seed	nongold
67	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
68	trait means property	nongold
69	an acorn is a kind of seed	nongold
70	classifying is when one sorts something by kind; type	nongold
71	a plant; living thing requires nutrients to grow	nongold
72	a berry contains seeds	nongold
73	studying  something usually requires seeing that something	nongold
74	if a living thing requires something then that something has a positive impact on that living thing	nongold
75	the effects of something is a property of that something	nongold
76	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
77	seeds may sprout when buried in soil	nongold
78	corn is a kind of seed	nongold
79	an animal; living thing requires nutrients for survival	nongold
80	what an object is made of is a kind of characteristic	nongold
81	to change means to become different	nongold
82	green plants are a kind of producer	nongold
83	changes in an environment cause animals; plants to adapt to survive	nongold
84	to modify means to change	nongold
85	if something is required for a process then that something positively impacts that process	nongold
86	high is similar to increase	nongold
87	a plant is a member of a plant species	nongold
88	round seed is a dominant trait in pea plants	nongold
89	low is similar to decrease	nongold
90	living things can all reproduce	nongold
91	answering questions requires information	nongold
92	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
93	the condition of parts of an organism are acquired characteristics	nongold
94	an environment is similar to an ecosystem	nongold
95	a change is a kind of event	nongold
96	life means living things	nongold
97	seed dispersal is a kind of method of sexual reproduction	nongold
98	species is an inherited characteristic	nongold
99	genes are able to determine the inherited characteristics of a living thing	nongold
