Question	Which change in the state of water particles causes the particles to become arranged in a fixed position?	question
Answer	freezing	answer
0	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
1	freezing is a kind of phase change	gold
2	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
3	particles in a solid have an orderly fixed position	gold
4	freezing causes a solid to form	gold
5	freezing means cold temperatures	nongold
6	water is a kind of liquid at room temperature	nongold
7	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
8	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
9	phase changes change the arrangement of molecules in a substance; in a sample	gold
10	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
11	frozen means solid	nongold
12	cycles of freezing and thawing water cause ice wedging	nongold
13	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
14	when an object moves , that object loses its relative fixed position	nongold
15	liquid is a kind of state of matter	nongold
16	a phase change is a kind of physical change	nongold
17	arrangement means how something is arranged	nongold
18	water is a kind of substance	gold
19	temperature is a measure of heat energy	nongold
20	to change means to cause a change	nongold
21	ice is a kind of solid	nongold
22	temperature changing can cause phase changes	nongold
23	matter; materials; substances are made of atoms; particles	gold
24	moving changes position	nongold
25	water is a kind of matter	nongold
26	solid is a kind of state of matter	nongold
27	particles in objects are a kind of matter	nongold
28	state of matter means physical state	nongold
29	particles in a liquid are close to each other	nongold
30	ice is a kind of object	nongold
31	a liquid is a kind of substance	nongold
32	physical state means state of matter	nongold
33	becoming is similar to changing	nongold
34	the  arrangement of particles is different in different substances	nongold
35	particles in a solid are closer together than particles in a liquid	nongold
36	to add means to increase	nongold
37	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
38	a solid is a kind of substance	nongold
39	freezing point is a kind of physical property	nongold
40	water is a kind of object	nongold
41	cooling means temperature decreases	nongold
42	heat means temperature increases	nongold
43	mass has no impact on boiling; melting; freezing point	nongold
44	particles in a liquid flows past each other	nongold
45	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
46	freezing point is a property of a substance; material	nongold
47	an increase is a kind of change	nongold
48	to reduce means to decrease	nongold
49	a decrease is a kind of change	nongold
50	particles in a liquid are closer together than particles in a gas	nongold
51	heat energy can change the state of matter	nongold
52	heat means heat energy	nongold
53	cold means low in temperature	nongold
54	a particle is a kind of object	nongold
55	a molecule is a kind of particle	nongold
56	fixed is similar to definite	nongold
57	ability to undergo a phase change is a property of a substance; material	nongold
58	to lower means to decrease	nongold
59	state of matter at room temperature is a kind of physical property	nongold
60	state means form	nongold
61	affected means changed	nongold
62	ice is cold in temperature	nongold
63	gas is a kind of state of matter	nongold
64	particles in a solid are slower than particles in a liquid	nongold
65	ice wedging is a kind of mechanical weathering	nongold
66	place; location is synonymous with position	nongold
67	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
68	liquid water cooling causes that liquid water to freeze	nongold
69	to rearrange is to change position; order	nongold
70	state of matter is a kind of physical property	nongold
71	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
72	boiling is a kind of phase change	nongold
73	cool means cold	nongold
74	phase means state	nongold
75	variable means able to change	nongold
76	atoms are made of particles	nongold
77	position means a place in a structure	nongold
78	Matter in the liquid phase has variable shape	nongold
79	freezing is a kind of  exothermic process	nongold
80	denser liquids; particles in liquids; materials settle below liquids or particles in liquids; materials that are less dense	nongold
81	sleet is a kind of ice	nongold
82	colder; cooler means lower in temperature	nongold
83	particles in a liquid are slower than particles in a gas	nongold
84	become cold means get cold	nongold
85	objects are made of materials; substances; matter	nongold
86	volume has no impact on boiling; melting; freezing point	nongold
87	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
88	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
89	sleet is made of ice	nongold
90	ice is colder than water in temperature	nongold
91	adding heat means increasing temperature	nongold
92	to be a source of something means to cause that something	nongold
93	substances are made of matter	nongold
94	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
95	moisture means liquid; liquid water	nongold
96	an event is a kind of action	nongold
97	a change is a kind of event	nongold
98	becoming is a kind of action	nongold
99	ice is a kind of water phase	nongold
