Question	Which of the following processes is responsible for changing liquid water into water vapor?	question
Answer	evaporation	answer
0	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
1	evaporation is a kind of process	gold
2	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
3	to cause means to be responsible for	nongold
4	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	gold
5	evaporating is a kind of phase change	nongold
6	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
7	water is a kind of liquid at room temperature	nongold
8	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
9	water is a kind of substance	gold
10	to have a function is similar to to be responsible for	nongold
11	evaporation is a stage in the water cycle process	nongold
12	vapor is synonymous with gas	nongold
13	a liquid is a kind of substance	nongold
14	water vapor;steam cooling causes that water vapor;steam to condense	nongold
15	boiling is a kind of phase change	nongold
16	temperature is a measure of heat energy	nongold
17	boiling is when liquids are heated above their boiling point	nongold
18	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
19	change is a kind of process	nongold
20	a solid is a kind of substance	nongold
21	evaporation can be used for separating a mixture of a liquid and a solid	nongold
22	if something causes a process then that something is required for that process	nongold
23	to convert means to change	nongold
24	evaporation is when water is drawn back up into the air in the water cycle	nongold
25	heat means heat energy	nongold
26	to add means to increase	nongold
27	something is used for that something's purpose	nongold
28	a part of a process means a stage in a process	nongold
29	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
30	conduction is a kind of process	nongold
31	heating means adding heat	nongold
32	the function of something is what that something  is used to do	nongold
33	gas is a kind of material	nongold
34	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
35	desublimation; deposition means matter; a substance changes from a gas into a solid by decreasing heat energy	nongold
36	heating salt water causes the water to evaporate while the salt remains	nongold
37	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
38	evaporation causes amount of water to decrease	nongold
39	a process is a kind of event	nongold
40	gas is a kind of nonmetal	nongold
41	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
42	conductivity is a property of a material; substance	nongold
43	material means substance	nongold
44	gas is a kind of substance	nongold
45	a phase change is a kind of physical change	nongold
46	an event is a kind of action	nongold
47	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
48	In the water cycle , condensation always follows evaporation	nongold
49	if something performs a task then that task is that something's function	nongold
50	adding heat means increasing temperature	nongold
51	liquid; solid means nongaseous	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
54	process is similar to method	nongold
55	function is similar to purpose	nongold
56	if something is required for a process then that something positively impacts that process	nongold
57	water contains dissolved oxygen	nongold
58	ability to undergo a phase change is a property of a substance; material	nongold
59	oxygen is a kind of gas at room temperature	nongold
60	affected means changed	nongold
61	moisture means liquid; liquid water	nongold
62	gas is a kind of state of matter	nongold
63	if something is dissolved , then that something is the solute	nongold
64	a component means a part of	nongold
65	a  gas is a kind of  element	nongold
66	a source of heat can be used to heat something	nongold
67	a source of heat can be used to heat something	nongold
68	a step in a process means a stage in a process	nongold
69	all elements are a kind of pure substance	nongold
70	gaseous means of gas	nongold
71	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
72	a cycle is a kind of process	nongold
73	producing is a kind of process	nongold
74	if something emits something else then that something increases the amount of that something else	nongold
75	if something transfers something else then that something is a source of something else	nongold
76	boiling is a kind of event	nongold
77	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
78	a change is a kind of event	nongold
79	the boiling point of water is 212F; 100C; 373K	nongold
80	an object; material; substance comes from that object or material's source	nongold
81	an increase is a kind of change	nongold
82	An example of moisture is water vapor in the atmosphere	nongold
83	variable means able to change	nongold
84	purpose means role	nongold
85	condensation is a kind of process	nongold
86	phase means state	nongold
87	adding something is a kind of change	nongold
88	steam;water vapor is a kind of water above 100 degrees celsius	nongold
89	if something comes from something else then that something else is a source of that something	nongold
90	if something is used to dissolve substances , then that something is the solvent	nongold
91	can be means able to be	nongold
92	an element is a kind of material	nongold
93	temperature changing can cause phase changes	nongold
94	if something is a raw material in a process then that something is required for that process	nongold
95	to be involved in something means to have a role in something	nongold
96	carbon dioxide is a kind of gas	nongold
97	to give off means to be the source of	nongold
98	water vapor is found in the atmosphere	nongold
99	a process usually requires all of the stages in that process	nongold
