Question	A student uses a telescope to view stars at night. The student notices some of the stars are different colors. The color of a star is determined most by its	question
Answer	temperature.	answer
0	determining often requires measuring; observing	nongold
1	a telescope is used for observing stars;planets;moons;distant objects; the sky; celestial objects by astronomers	nongold
2	a student is a kind of human	nongold
3	a star is a kind of celestial object; celestial body	nongold
4	the Sun is a kind of star	nongold
5	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
6	color is a property of  an object; a material	nongold
7	stars can be classified by temperature; color; chemical composition; brightness	nongold
8	color is a kind of physical; visual property	nongold
9	increase means more	nongold
10	a telescope is a kind of optical instrument for observing celestial objects; observing the sky	nongold
11	to change means to become different	nongold
12	a star's surface temperature causes the star's  color	gold
13	to view means to see	nongold
14	temperature is a measure of heat energy	nongold
15	an increase is a kind of change	nongold
16	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
17	astronomy is the study of celestial (objects, bodies)	nongold
18	different is the opposite of the same	nongold
19	a star's type is determined by the star's mass	nongold
20	determining is similar to learning	nongold
21	an increase is the opposite of a decrease	nongold
22	opposite is a kind of different	nongold
23	two objects are usually different in size	nongold
24	temperature changing does not cause color to change	nongold
25	high is similar to increase	nongold
26	variable means able to change	nongold
27	the sun is not a star in the night sky	nongold
28	seeing is used for sensing visual things	nongold
29	less is the opposite of more	nongold
30	observe means see	nongold
31	a human is a kind of animal	nongold
32	identifying is similar to determining	nongold
33	affected means changed	nongold
34	greater means higher; more in value	nongold
35	less is similar to decrease	nongold
36	as the state  of matter changes , the color of the object will stay the same	nongold
37	a decrease is a kind of change	nongold
38	most means over 50% of something	nongold
39	coloration means a thing's color	nongold
40	viewing means observing light	nongold
41	to see means to look	nongold
42	a star produces light and heat	nongold
43	if a property affects a value then that property is needed to calculate that value	nongold
44	a star is very hot in temperature	nongold
45	objects are made of materials; substances; matter	nongold
46	determine is similar to cause	gold
47	to add means to increase	nongold
48	low is similar to decrease	nongold
49	if an object reflects a light of a certain color then the object appears to be that color	nongold
50	largest amount means most	nongold
51	to lower means to decrease	nongold
52	astronomy is a kind of branch of science	nongold
53	another means different	nongold
54	furthest; farthest means greatest; most; highest in distance	nongold
55	can be means able to be	nongold
56	measuring is a kind of observing	nongold
57	larger means greater; higher; more; increase in size	nongold
58	hot means high in heat energy; temperature	nongold
59	stay the same means not changing	nongold
60	an part of an object is smaller than the entire object	nongold
61	green is a kind of color	nongold
62	identical is the opposite of different	nongold
63	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
64	the color of an object can be discovered by looking at that object	nongold
65	a reflecting telescope is a kind of telescope	nongold
66	detailed observation of celestial objects requires a telescope	nongold
67	to distinguish means to tell the difference between	nongold
68	constant means not changing	nongold
69	a type is synonymous with a kind	nongold
70	as the temperature of an object increases , the size of that object will increase	nongold
71	phase means state	nongold
72	matter; materials; substances are made of atoms; particles	nongold
73	to look like means to have the visual properties of	nongold
74	the sun is a kind of yellow dwarf	nongold
75	heat means heat energy	nongold
76	according to is similar to be determined by	nongold
77	to reduce means to decrease	nongold
78	a planet is a kind of celestial object; body	nongold
79	looking is similar to observing	nongold
80	yellow is a kind of color	nongold
81	bright means bright; light in color	nongold
82	to measure means to calculate	nongold
83	a living thing is a kind of object	nongold
84	blue is a kind of color	nongold
85	as amount; size of something increases , the intensive properties of that something will not change	nongold
86	determining is similar to controlling	nongold
87	a source of something emits; produces; generates; provides that something	nongold
88	coloration means a pattern of colors	nongold
89	answering questions requires information	nongold
90	colorless means no color	nongold
91	the properties of something can be used to identify; used to describe that something	nongold
92	studying is similar to observing	nongold
93	small is the opposite of large	nongold
94	an object is made of its parts	nongold
95	measuring is used for describing an object	nongold
96	same means identical; equal in value; amount; number; quantity	nongold
97	refracting sunlight; light causes sunlight; light to split into different colors	nongold
98	classifying means grouping objects; materials by their properties	nongold
99	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
