Question	Reading from left to right, elements in the same period on the Periodic Table of the Elements	question
Answer	increase in atomic number.	answer
0	the atomic number of elements increases by 1 from left to right on a row on the periodic table	gold
1	atomic number is a property of elements	nongold
2	a period in the periodic table means a row in the periodic table	gold
3	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
4	atomic number means proton number	nongold
5	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
6	the Periodic Table is a table displays elements	nongold
7	an  element is a kind of atom	nongold
8	elements in the same group on the Periodic Table of Elements have similar properties	nongold
9	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
10	an atom is the smallest particle; unit that has the properties of an element	nongold
11	increase means more	nongold
12	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
13	high is similar to increase	nongold
14	an increase is a kind of change	nongold
15	an element is made of one kind of atoms	nongold
16	an increase is the opposite of a decrease	nongold
17	the periodic table is arranged in rows and columns	nongold
18	a table is a kind of object	nongold
19	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
20	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
21	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
22	one is a kind of number	nongold
23	reading  requires seeing	nongold
24	an atom is a kind of object	nongold
25	chemical reactions do not cause the total number of atoms to change	nongold
26	hydrogen is located on the left side; first column on the periodic table	nongold
27	matter; materials; substances are made of atoms; particles	nongold
28	same means identical; equal in value; amount; number; quantity	nongold
29	to add means to increase	nongold
30	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
31	a group; family in the periodic table means a column in the periodic table	nongold
32	increasing is a kind of order	nongold
33	the number of parts of something is a property of that something	nongold
34	a decrease is a kind of change	nongold
35	metals are found on the left side of the periodic table of elements	nongold
36	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
37	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
38	period is similar to amount of time	nongold
39	amount is similar to number	nongold
40	length of time means period of time	nongold
41	an element is a kind of  substance	nongold
42	a pure substance is made of only one kind of atom; molecule	nongold
43	atom cannot be divided into smaller substances	nongold
44	atoms are made of particles	nongold
45	if something changes , then that something is not the same	nongold
46	an atom is exceptionally small in size	nongold
47	an atom is made of protons; neutrons; electrons	nongold
48	the basic unit of matter is atom	nongold
49	to lower means to decrease	nongold
50	a Periodic Table is a kind of scientific  model	nongold
51	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
52	to reduce means to decrease	nongold
53	the nitrogen family is a kind of group in periodic table	nongold
54	less is similar to decrease	nongold
55	all elements are a kind of pure substance	nongold
56	alkali metals are located on the left side; first column on the periodic table	nongold
57	an event is a kind of action	nongold
58	hydrogen is a kind of element	nongold
59	a physical property is a kind of property	nongold
60	substances are made of elements	nongold
61	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
62	constant is similar to same	nongold
63	different is the opposite of the same	nongold
64	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
65	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
66	a source of something increases the amount of that something	nongold
67	can be means able to be	nongold
68	noble gases are located on the rightmost side   of the periodic table	nongold
69	affected means changed	nongold
70	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
71	the  property of something is the same for the things of same kind	nongold
72	a source of something emits; produces; generates; provides that something	nongold
73	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
74	if something emits something else then that something increases the amount of that something else	nongold
75	left out of means moved from	nongold
76	how many means what number	nongold
77	a table is hard	nongold
78	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
79	an element is a kind of material	nongold
80	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
81	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
82	as the heat of matter increases , the  average molecular speed in that matter increases	nongold
83	stay the same means not changing	nongold
84	state of matter means physical state	nongold
85	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
86	a unit for measuring time is a kind of time interval	nongold
87	state of matter is a kind of physical property	nongold
88	if a value decreases then that value may become; may reach zero; 0	nongold
89	measuring requires reading a measurement	nongold
90	carbon is a kind of element	nongold
91	the most reactive nonmetals are located on the second column from the right side of the periodic table	nongold
92	a  chemical property is a kind of  property	nongold
93	particles in objects are a kind of matter	nongold
94	classifying is when one sorts something by kind; type	nongold
95	physical state means state of matter	nongold
96	four is a kind of number	nongold
97	made up of means contains; made of	nongold
98	reading is a kind of activity	nongold
99	a chemical property is the opposite of a physical property	nongold
