Question	Which planet has the longest planetary year?	question
Answer	Neptune	answer
0	Neptune has the longest solar year; planetary year in the solar system	gold
1	Neptune is a kind of planet in the solar system	gold
2	a planet's distance from the star causes the length of a planetary year	nongold
3	shortest means least; smallest in length	nongold
4	longest means greatest in length	nongold
5	Neptune is the planet that is eighth closest to the Sun	nongold
6	shortest means the least amount of time	nongold
7	Neptune is the furthest planet from the sun in the solar system	gold
8	as the distance of a planet from the star  it orbits increases , the length of a planetary year on that planet will increase	gold
9	years are a kind of unit for measuring time	nongold
10	June is a kind of month	nongold
11	a planet completes one orbit around its star over a period of one planetary year	nongold
12	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
13	length of time means period of time	nongold
14	1 year is equal to 365 days	nongold
15	long means great in length	nongold
16	1 year is equal to 12 months	nongold
17	a planet is a kind of celestial object; body	nongold
18	planets have cleared their orbits	nongold
19	to shorten means to make shorter	nongold
20	how long something takes is a kind of measurement of time	nongold
21	to a human a time period of 1000 years or more years is considered very long	nongold
22	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
23	astronomy is the study of celestial (objects, bodies)	nongold
24	period is similar to amount of time	nongold
25	days are a kind of unit for measuring time	nongold
26	months are a kind of unit for measuring time	nongold
27	shorter means decreased length	nongold
28	a measure of time is a length of time	nongold
29	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
30	Mars is a kind of planet	nongold
31	once per means every	nongold
32	a light-year is used for describing long distances	nongold
33	seconds are a kind of unit for measuring time	nongold
34	answering questions requires information	nongold
35	Earth is a kind of planet	nongold
36	the Sun is a kind of star	gold
37	light year is a measure of the distance light travels in one year	nongold
38	greatest means largest; highest; most amount of something	nongold
39	a star is usually larger than a planet	nongold
40	1 month is equal to 28-31 days	nongold
41	furthest; farthest means greatest; most; highest in distance	gold
42	length is a part of size	nongold
43	annual means once per year	nongold
44	instantaneously means short in time	nongold
45	hours are a kind of unit for measuring time	nongold
46	the sun is a kind of yellow dwarf	nongold
47	1 day is equal to 24 hours	nongold
48	June is during the winter in the southern hemisphere	nongold
49	month is a kind of period of time	nongold
50	a unit for measuring time is a kind of time interval	nongold
51	monthly means once per month	nongold
52	to measure means to calculate	nongold
53	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
54	June is during the summer in the northern hemisphere	nongold
55	a star is a kind of celestial object; celestial body	nongold
56	seconds are used to measure time	nongold
57	Mars is a kind of inner planet	nongold
58	length is a measure of distance from one end of an object to the other end of that object	nongold
59	decades are a kind of unit for measuring time	nongold
60	lowest means least in value; amount; number	nongold
61	high is similar to increase	gold
62	a dwarf planet is usually much smaller in size; in mass than other planets	nongold
63	meters;centimeters;kilometers are used to describe distance; describe length	nongold
64	affected means changed	nongold
65	approximately means about	nongold
66	Jupiter is a kind of outer planet	nongold
67	yearly means every year	nongold
68	all the time means at day and at night	nongold
69	events occur at a specific place; at a specific time; with a specific frequency	nongold
70	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
71	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
72	Tuesday is a kind of  time	nongold
73	minutes are a kind of unit for measuring time	nongold
74	timing; multiplying is a kind of calculating	nongold
75	to add means to increase	nongold
76	Jupiter is a kind of planet	nongold
77	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
78	variable means able to change	nongold
79	astronomical unit is a measure of distance between Earth and the Sun	nongold
80	a planet's  moon is smaller than that planet	nongold
81	the day time is part of one day	nongold
82	gravity causes orbits	nongold
83	daily means every day; once per day	nongold
84	can be means able to be	nongold
85	planets orbit stars	nongold
86	orbit means orbital path	nongold
87	a source of something emits; produces; generates; provides that something	nongold
88	August is a kind of month	nongold
89	to slow; to slow down decreases speed	nongold
90	a meter is a kind of unit for measuring distance; measuring length	nongold
91	extreme means very high in value	nongold
92	planetary orbits are mostly elliptical	nongold
93	higher means greater; above in value; amount; number	nongold
94	form means kind	nongold
95	astronomy is a kind of branch of science	nongold
96	usually means most of the time	nongold
97	emit means produce	nongold
98	a cycle happens; occurs repeatedly	nongold
99	the solar system contains eight planets	nongold
