Question	One similarity between a small, solid sample of aluminum and a large, liquid sample of aluminum is that both samples have	question
Answer	a definite volume.	answer
0	definite is the opposite of variable	nongold
1	Matter in the liquid phase has definite volume	gold
2	Matter in the solid phase has definite volume	gold
3	if something has a definite volume , then its volume will not change when transferred into a different container	nongold
4	volume is a property of matter	nongold
5	aluminum is a kind of metal	nongold
6	sample is similar to small amount of substance; matter	gold
7	fixed is similar to definite	nongold
8	if an object has a small volume and large mass , then the object will  have a high density	nongold
9	small is the opposite of large	nongold
10	indefinite means variable	nongold
11	density is a measure of mass of an object over volume; divided by volume	nongold
12	similarity means the same property	gold
13	volume has no impact on boiling; melting; freezing point	nongold
14	aluminum is a kind of matter	gold
15	the volume of an object can be used to describe  the size of that object	nongold
16	aluminum is a kind of element	nongold
17	metal is a kind of material	nongold
18	variability of shape; variability of volume is a property of matter and includes values of variable; definite	gold
19	to contain something means to have that something	nongold
20	material means substance	nongold
21	if two substances have the same volume , then the  substance with less density will have less mass	nongold
22	metal is a kind of substance	nongold
23	a liquid is a kind of substance	nongold
24	a metal is usually a solid at room temperature	nongold
25	quantity means amount	nongold
26	a solid is a kind of substance	nongold
27	size; amount of space means volume	nongold
28	if a substance has volume , then the substance takes up space	nongold
29	Matter in the gas phase has variable volume	nongold
30	both means two	nongold
31	aluminum is recyclable	nongold
32	density is a property of an object; a substance and includes ordered values of dense; not dense	nongold
33	must have means require	nongold
34	density is a kind of physical property	nongold
35	variable means able to change	nongold
36	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
37	Matter in the solid phase has definite shape	nongold
38	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
39	an element is a kind of material	nongold
40	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
41	according to is similar to be determined by	nongold
42	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
43	a chemical property is the opposite of a physical property	nongold
44	liters are a kind of unit for measuring volume of liquids	nongold
45	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	determining often requires measuring; observing	nongold
48	can be means able to be	nongold
49	all elements are a kind of pure substance	nongold
50	different substances are different in density	nongold
51	if  two substances are made of different  elements , then the  substances will have different density	nongold
52	if something is made of something; a material then that something contains that something; that material	nongold
53	same means identical; equal in value; amount; number; quantity	nongold
54	air mass means a volume of air	nongold
55	affected means changed	nongold
56	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
57	objects are made of materials; substances; matter	nongold
58	a physical property is a kind of property	nongold
59	a metal is a kind of element	nongold
60	consistent means constant	nongold
61	if an object is made of a material then that object has the properties of that material	nongold
62	a ratio is a measure of one measure over another measure; divided by another measure	nongold
63	milliliters is a kind of unit for measuring volume of liquids	nongold
64	identical is the opposite of different	nongold
65	concentration means amount	nongold
66	heat means heat energy	nongold
67	volume is an extensive property	nongold
68	not is similar to the opposite of	nongold
69	length is a part of size	nongold
70	a human is a kind of animal	nongold
71	to add means to increase	nongold
72	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
73	materials are made of matter	nongold
74	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
75	high is similar to increase	nongold
76	liquid is a kind of state of matter	nongold
77	substances are made of elements	nongold
78	level is similar to amount; quantity	nongold
79	solid is a kind of state of matter	nongold
80	made up of means contains; made of	nongold
81	an increase is a kind of change	nongold
82	answering questions requires information	nongold
83	an element is a kind of  substance	nongold
84	temperature is a measure of heat energy	nongold
85	substances are made of matter	nongold
86	different is the opposite of the same	nongold
87	mass is a measure of the amount of matter in an object	nongold
88	a  chemical property is a kind of  property	nongold
89	a kilogram is a kind of unit for measuring mass	nongold
90	to contain means to have inside	nongold
91	a ratio is a measure of  one value divided by another value	nongold
92	volume means the loudness of a sound	nongold
93	comparing requires measuring	nongold
94	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
95	temperature changing can cause volume of the object to change	nongold
96	if something is definite in shape then that something will not change shape easily	nongold
97	an event is a kind of action	nongold
98	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
99	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
