Question	To use energy from the Sun to power household appliances, the solar energy must be converted to	question
Answer	electrical energy.	answer
0	the sun is the source of solar energy called sunlight	gold
1	the sun is a source of radiation; heat called sunlight	nongold
2	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
3	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
4	solar power means solar energy	nongold
5	solar energy is a source of electricity	nongold
6	household appliances are a kind of electrical device	gold
7	the sun is the source of energy for life on Earth	nongold
8	if something is powered by something else then that something requires a source of that something else	nongold
9	if something comes from something else then that something else is a source of that something	nongold
10	the sun is a source of light; light energy called sunlight	nongold
11	electricity is used as an energy source by electrical devices	gold
12	to be used for something means to be required by that something	nongold
13	solar energy is a kind of heat energy	nongold
14	an object; material; substance comes from that object or material's source	nongold
15	sunlight is a kind of solar energy	nongold
16	a solar panel converts sunlight; solar energy into electrical energy; electricity	gold
17	solar energy is a kind of energy	nongold
18	electric devices require electrical energy to function	gold
19	where something  comes from is a source of that something	gold
20	must have means require	nongold
21	to power means to provide energy for	gold
22	solar radiation means solar energy	nongold
23	electricity means electrical energy	nongold
24	a battery is a source of electrical energy; electricity	nongold
25	electrical energy is a kind of energy	nongold
26	to provide something means to be the source of that something	gold
27	operating electrical appliances requires electricity	nongold
28	a source of something emits; produces; generates; provides that something	nongold
29	if something transfers something else then that something is a source of something else	nongold
30	if something requires something else then that something requires a source of that something else	nongold
31	the sun  is the source of energy for physical cycles on Earth	nongold
32	solar cells convert solar energy into electrical energy	nongold
33	if something is required then that something must be provided	nongold
34	solar energy is a kind of light	nongold
35	sunlight means solar energy	nongold
36	if something is a raw material then that something comes directly from a source	nongold
37	a  battery  is a kind of electrical power source	nongold
38	to depend on; to rely on; to need means to require	nongold
39	if something generates energy for something else then that something powers that something else	nongold
40	the function of something is what that something  is used to do	nongold
41	conversion is a kind of process	nongold
42	to serve as means to be used as	nongold
43	to give off means to be the source of	nongold
44	heat is a kind of energy	nongold
45	solar energy is a renewable; inexhaustible resource	nongold
46	if something gains something from something else then that something else is a source of that something	nongold
47	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
48	a heating element converts electrical energy; electricity into heat energy for heating	nongold
49	an energy source is a kind of resource	nongold
50	a producer is a source of energy for consumers	nongold
51	electrical devices are used for industrial purposes; household purposes by humans	nongold
52	heat means heat energy	nongold
53	solar energy is an inexhaustible resource	nongold
54	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
55	a complete electrical circuit is a source of  electrical energy	nongold
56	convert is similar to transfer	nongold
57	to use means to utilize	nongold
58	if something causes a process then that something is required for that process	nongold
59	to produce means to provide	nongold
60	the solar system is a kind of system	nongold
61	solar panels are a kind of power supplies	nongold
62	emit means produce	nongold
63	electricity sometimes is used for heating buildings; substances	nongold
64	energy conversion is similar to energy transformation	nongold
65	resources sometimes are used for energy	nongold
66	if something is a raw material in a process then that something is required for that process	nongold
67	converting is a kind of function	nongold
68	converting is similar to producing	nongold
69	Earth is a kind of planet	nongold
70	to be a source of something means to cause that something	nongold
71	heat energy is synonymous with thermal energy	nongold
72	if something releases something else then that something is the source of that something else	nongold
73	a power plant converts chemical energy from energy source into electricity	nongold
74	sunlight is a kind of light	nongold
75	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
76	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
77	the Sun is a kind of star	nongold
78	thermal energy is a kind of energy	nongold
79	to convert means to change	nongold
80	batteries can be used to power electrical devices	nongold
81	to be required means to be necessary	nongold
82	being used for is similar to providing	nongold
83	a supply of something is a source of that something	nongold
84	answering questions requires information	nongold
85	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
86	one can get something from a source	nongold
87	person is synonymous with human	nongold
88	green plants are a kind of producer	nongold
89	energy transformation means one kind of energy changes into another kind of energy	nongold
90	a star is a kind of celestial object; celestial body	nongold
91	to transform means to convert	nongold
92	a hot; warm something is a source of heat	nongold
93	some light bulbs convert electrical energy; electricity into light energy and heat energy	nongold
94	a home is a kind of building	nongold
95	an electric circuit is a vehicle for moving electrical energy from the source to  the electrical device	nongold
96	if an event is required for a process then that event must occur before that process can occur	nongold
97	consumption means use	nongold
98	being in the sun is synonymous with being in the sunlight	nongold
99	a process is a kind of event	nongold
