Question	In the human body the digestion of proteins takes place primarily in which two organs?	question
Answer	Stomach and small intestine	answer
0	a small intestine is a part of a human's; animal's digestive system for the digestion of proteins	gold
1	the small intestine is a part of the digestive system	nongold
2	the small intestine is a kind of organ	gold
3	digestion of proteins occurs in the stomach; small intestine	gold
4	the intestines are a part of the digestive system	nongold
5	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	gold
6	the stomach is a kind of organ	gold
7	the stomach is a part of the  digestive system	nongold
8	digestion is when stomach acid breaks down food	nongold
9	the digestive system is a kind of body; human system	nongold
10	the digestive system digests food for the body	nongold
11	the digestive system is a kind of body; organ system	nongold
12	a protein is a kind of nutrient	nongold
13	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
14	the digestive system breaks down food into nutrients for  the body	nongold
15	both means two	nongold
16	to digest means to break down food	nongold
17	the stomach is located in the abdomen	nongold
18	a human is a kind of animal	nongold
19	digestion is when food is absorbed into the blood stream	nongold
20	an animal is a kind of organism	nongold
21	an animal is a kind of living thing	nongold
22	digestion is a kind of bodily process	nongold
23	an organism is a living thing	nongold
24	food is what an animal eats	nongold
25	a food contains nutrients for living things	nongold
26	human is a kind of organism	nongold
27	cellular respiration is cellular digestion	nongold
28	an animal; living thing requires nutrients for survival	nongold
29	a liver is a part of an animal used in  digestion	nongold
30	the breaking down of food into simple substances occurs in the digestive system	nongold
31	an animal needs to eat food for nutrients	nongold
32	the body is a part of an organism	nongold
33	pair means two	nongold
34	diet means what an animal eats	nongold
35	the liver is a part of the digestive system	nongold
36	stomach acid contains enzymes	nongold
37	a belly is a part of an animal	nongold
38	organs are made of different types of  cellular tissues	nongold
39	a human is a kind of mammal	nongold
40	nutrients are a kind of substance	nongold
41	food is a kind of substance	nongold
42	a kidney is a kind of organ in an animal	nongold
43	the pancreas is a part of the digestive system	nongold
44	small is the opposite of large	nongold
45	bacteria can help digest food in humans	nongold
46	food contains carbohydrates	nongold
47	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
48	a mammal is a kind of animal	nongold
49	the liver is located in the abdomen	nongold
50	the colon is a part of the digestive system	nongold
51	organ system means body system	nongold
52	take place means happen	gold
53	an organism eating is a kind of action	nongold
54	if two things perform the same function then those two things are similar	nongold
55	swallowing  is when the esophagus carries; transports food from the mouth to the stomach	nongold
56	person is synonymous with human	nongold
57	the mouth is a part of the digestive system used for eating	nongold
58	a worm is a kind of animal	nongold
59	to eat means to consume food	nongold
60	the endocrine system is a kind of body; organ system	nongold
61	a source of something emits; produces; generates; provides that something	nongold
62	a body system is a part of the body; an animal	nongold
63	a cell is very small	nongold
64	a cell absorbs nutrients	nongold
65	the respiratory system is a kind of human; organ; body system	nongold
66	an event is a kind of action	nongold
67	the function of something is what that something  is used to do	nongold
68	internal organs are a part of the body	nongold
69	each is simiar to one	nongold
70	if something is insoluble in something , then they will remain separated	nongold
71	the kidney is located in the abdomen	nongold
72	pasteurization is a kind of process	nongold
73	the bladder is used for storing urine by animals until the body excretes it	nongold
74	a liver is a kind of organ	nongold
75	a bacterium is a kind of organism	nongold
76	a plant; living thing requires food for survival	nongold
77	one in  two means half; 50%	nongold
78	proteins are made of a chain of 20 amino acids	nongold
79	a structure of something is synonymous with a part of that something	nongold
80	the muscular system is a kind of body; organ system	nongold
81	a component means a part of	nongold
82	activator is a kind of  protein	nongold
83	a nutrient is a kind of chemical compound	nongold
84	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
85	a worm is a kind of living thing	nongold
86	a component of something means a part of that something	nongold
87	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
88	the uterus is a kind of organ	nongold
89	cells are a part of the body	nongold
90	made up of means contains; made of	nongold
91	metabolism is the sum of all chemical reactions in an animal's body	nongold
92	the excretory system is a kind of body system	nongold
93	a state is a kind of place	nongold
94	the bladder is a part of the body	nongold
95	not is similar to the opposite of	nongold
96	all the other means the rest of	nongold
97	little means small	nongold
98	the integumentary system is a kind of body; organ system	nongold
99	organisms are a part of an environment	nongold
