Question	Bees can see wavelengths of only yellow, blue, and ultraviolet light. Many plant flowers consist of yellow, blue, and ultraviolet markings that are near the center of the flower. Which sentence describes which organisms benefit from this and explains why?	question
Answer	Both bees and plants benefit, because bees find food and plants are aided in reproduction.	answer
0	A bee is a pollinating animal	gold
1	a bee is a kind of insect	nongold
2	a flower is a part of a plant for attracting pollinators; producing seeds	gold
3	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
4	a plant; living thing requires food for survival	nongold
5	pollination is a kind of process for plant reproduction	nongold
6	plant reproduction; seed production requires pollination	gold
7	bees eat pollen	gold
8	pollination is when pollinating animals; wind; water carry pollen from one flower to another flower	nongold
9	a flower is a kind of plant	nongold
10	bees eat honey	nongold
11	pollination requires pollinators; pollinating animals	gold
12	a food contains nutrients for living things	nongold
13	a flower is a kind of object	nongold
14	plant reproduction often requires pollen	nongold
15	bees convert nectar into honey for food	nongold
16	An insect is a pollinating animal	nongold
17	as the number of pollinators attracted to a flower; a plant increases , the ability of that flower; of that plant to reproduce will increase	nongold
18	an insect is a kind of animal	nongold
19	a flower is a source of nectar	nongold
20	sensing food has a positive impact on finding food	gold
21	pollen is part of a flower for reproduction	nongold
22	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
23	to help; to benefit means to be of use	nongold
24	reproduction increases the number; population of a living thing	nongold
25	helping something has a  positive impact on that something	gold
26	a plant is a kind of organism	nongold
27	if a living thing requires something then that something has a positive impact on that living thing	gold
28	food is what an animal eats	nongold
29	a flower contains pollen for sexual reproduction	nongold
30	an animal needs to eat food for nutrients	gold
31	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
32	yellow is a kind of color	nongold
33	an organism is a living thing	gold
34	pollinator means pollinating animal	nongold
35	ultraviolet light is a kind of light	nongold
36	reproduction produces; produce offspring	nongold
37	sunlight is made of ultraviolet, infrared, and visible light	nongold
38	near means close	nongold
39	a plant is a kind of living thing	gold
40	being exposed to the ultraviolet light has a negative  impact on living organisms	nongold
41	reproduction is a kind of process	nongold
42	green plants are a kind of producer	nongold
43	sunlight contains ultraviolet light	nongold
44	food is a source of energy for animals; plants	nongold
45	a positive impact is  a benefit	gold
46	ultraviolet light has very short wavelength	nongold
47	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
48	an animal; living thing requires nutrients for survival	gold
49	ultraviolet light is a kind of electromagnetic energy	nongold
50	food is a kind of object	nongold
51	many means high in number	nongold
52	In the flowering plant life cycle , pollination is part of reproduction	nongold
53	having a positive impact on reproduction increases the chance of reproduction	nongold
54	living things can all reproduce	nongold
55	cross-pollination is a stage in the plant reproduction process	nongold
56	the ability to access; to acquire; to find resources has a positive impact on an organism's survival; health	nongold
57	ultraviolet rays means ultraviolet light	nongold
58	food is a kind of resource	nongold
59	negative impact is the opposite of positive impact	nongold
60	to be made of means to consist of	nongold
61	to eat means to consume food	nongold
62	reproduction ensures the continuation of a plant or animal species	nongold
63	a living thing is a kind of object	nongold
64	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
65	an animal is a kind of living thing	gold
66	if a source of food for an animal decreases then the animal will have to find other types of food to survive	nongold
67	pollinated means after pollination	nongold
68	if something is required for a process then that something positively impacts that process	nongold
69	if something causes a process then that something is required for that process	nongold
70	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
71	In the food chain process a  green plant has the role of  producer	nongold
72	a butterfly is a kind of animal	nongold
73	harming something has a  negative impact on; effect on that something	nongold
74	to reproduce means to have; to produce offspring	nongold
75	to be used for something means to be required by that something	nongold
76	pollinating is a kind of function	nongold
77	a plant light is used for help plants by mimicking sunlight	nongold
78	requiring is similar to needing help	nongold
79	a positive impact is a helpful effect	nongold
80	nectar is used for attracting pollinators by plants	nongold
81	a source of something emits; produces; generates; provides that something	nongold
82	near; close is the opposite of far; away	nongold
83	requiring something means needing that something	nongold
84	flowers often have a sweet smell to attract pollinators	nongold
85	helping means something can be done; completed more easily; better	nongold
86	consumers eat other organisms	nongold
87	a producer is a kind of living thing	nongold
88	finding something requires sensing that something	nongold
89	an animal is a kind of organism	nongold
90	living things eat their food source	nongold
91	impact means effect	nongold
92	high is similar to increase	nongold
93	having food has a positive impact on an organism's health	nongold
94	food is a kind of substance	nongold
95	a blue object reflects only blue light	nongold
96	an animal is a kind of consumer	nongold
97	an insect is a kind of prey	nongold
98	blue is a kind of color	nongold
99	the properties of something are used for describing that something	nongold
