Question	All living things need energy to survive. What is the primary source of energy for all living things?	question
Answer	the sun	answer
0	living things all require energy for survival	gold
1	the sun is the source of energy for life on Earth	gold
2	the sun is a source of light; light energy called sunlight	nongold
3	the Sun is a kind of star	nongold
4	the sun is the source of solar energy called sunlight	nongold
5	life means living things	gold
6	solar energy is a kind of energy	nongold
7	requiring something means needing that something	nongold
8	if a living thing requires something then that something has a positive impact on that living thing	nongold
9	sunlight is a kind of solar energy	nongold
10	sunlight means solar energy	nongold
11	to depend on; to rely on; to need means to require	gold
12	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
13	a source of something emits; produces; generates; provides that something	nongold
14	an animal is a kind of living thing	nongold
15	requiring is similar to needing help	nongold
16	solar energy is a kind of light	nongold
17	food is a source of energy for animals; plants	nongold
18	to provide something means to be the source of that something	nongold
19	the sun  is the source of energy for physical cycles on Earth	nongold
20	to be used for something means to be required by that something	nongold
21	a source of something supplies that something	nongold
22	an energy source is a kind of resource	nongold
23	an organism is a living thing	nongold
24	the sun is a kind of yellow dwarf	nongold
25	a human is a kind of animal	nongold
26	a living thing is a kind of object	nongold
27	survive means live	nongold
28	survive means live	nongold
29	solar energy is a renewable; inexhaustible resource	nongold
30	if something causes a process then that something is required for that process	nongold
31	nutrients are a source of energy for living things	nongold
32	the Sun is the  star that is closest to Earth	nongold
33	resources sometimes are used for energy	nongold
34	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
35	if something requires something else then that something requires a source of that something else	nongold
36	a star is a kind of celestial object; celestial body	nongold
37	the sun is not a star in the night sky	nongold
38	what something needs is a property of that something	nongold
39	survival means to survive	nongold
40	solar energy is a kind of heat energy	nongold
41	dying is the opposite of living; surviving	nongold
42	where something  comes from is a source of that something	nongold
43	the sun is a source of radiation; heat called sunlight	nongold
44	sunlight is a kind of light	nongold
45	living things eat their food source	nongold
46	helping something has a  positive impact on that something	nongold
47	if something transfers something else then that something is a source of something else	nongold
48	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
49	being in the sun is synonymous with being in the sunlight	nongold
50	an animal is a kind of organism	nongold
51	to be in the sun means to be in the sunlight	nongold
52	an animal; living thing requires nutrients for survival	nongold
53	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
54	a plant; living thing requires food for survival	nongold
55	being used for is similar to providing	nongold
56	a  plant requires sunlight for photosynthesis	nongold
57	a supply of something is a source of that something	nongold
58	an organism requires energy for growth; repair	nongold
59	a planet is a kind of celestial object; body	nongold
60	all living things have life cycles	nongold
61	all living things grow	nongold
62	living things require respiration to use energy	nongold
63	a food contains nutrients for living things	nongold
64	a plant is a kind of organism	nongold
65	the solar system is a kind of system	nongold
66	organisms are a part of an environment	nongold
67	if something comes from something else then that something else is a source of that something	nongold
68	to be required means to be necessary	nongold
69	light is a kind of energy	nongold
70	light is a kind of energy	nongold
71	solar radiation means solar energy	nongold
72	Earth is a kind of planet	nongold
73	a plant is a kind of living thing	nongold
74	living things carry out basic life functions	nongold
75	receiving sunlight  is synonymous with absorbing sunlight	nongold
76	organisms mean life	nongold
77	a producer is a kind of living thing	nongold
78	needing something means depending on that something	nongold
79	the Earth revolves around the sun	nongold
80	if something gains something from something else then that something else is a source of that something	nongold
81	if something is a raw material in a process then that something is required for that process	nongold
82	the sunlight occurs during the day	nongold
83	nonliving; non-living; die is the opposite of living; alive; live	nongold
84	a component of something means a part of that something	nongold
85	all cells require energy	nongold
86	to create means to make	nongold
87	animals; living things require water for survival	nongold
88	if a living thing dies then that living thing is dead	nongold
89	all living things eliminate waste	nongold
90	if something is required then that something must be provided	nongold
91	green plants are a kind of producer	nongold
92	if something releases something else then that something is the source of that something else	nongold
93	solar power means solar energy	nongold
94	a component means a part of	nongold
95	the sun rising; setting occurs once per day	nongold
96	an increase is a kind of change	nongold
97	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
98	planets in the solar system orbit the Sun	nongold
99	a source of something increases the amount of that something	nongold
