Question	Which statement is true about the particles of a liquid compared to the particles of a gas?	question
Answer	Particles of a liquid are slower and closer together.	answer
0	particles in a liquid are closer together than particles in a gas	gold
1	particles in a liquid are slower than particles in a gas	gold
2	particles in a solid are closer together than particles in a liquid	nongold
3	particles in a solid are slower than particles in a liquid	nongold
4	a molecule is a kind of particle	nongold
5	atoms are made of particles	nongold
6	matter; materials; substances are made of atoms; particles	nongold
7	particles in a liquid are close to each other	nongold
8	faster means an increase; higher in speed	nongold
9	gas is a kind of state of matter	nongold
10	liquid is a kind of state of matter	nongold
11	particles in objects are a kind of matter	nongold
12	substances are made of matter	nongold
13	fast is the opposite of slow	nongold
14	matter is made of molecules	nongold
15	gas is a kind of substance	nongold
16	substances are made of molecules	nongold
17	particles in a gas have more kinetic energy than particles in a liquid	nongold
18	a liquid is a kind of substance	nongold
19	charged particles are a kind of high-energy particles	nongold
20	faster means increased rate	nongold
21	closer means lower; less; a decrease in distance	nongold
22	particles in a liquid have more kinetic energy than particles in a solid	nongold
23	a particle is a kind of object	nongold
24	to slow; to slow down decreases speed	nongold
25	solid is a kind of state of matter	nongold
26	as the kinetic energy of particles increases , the particles will move faster	nongold
27	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	nongold
28	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
29	an increase is a kind of change	nongold
30	a photon is a kind of  particles	nongold
31	an electron is a kind of charged particle	nongold
32	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
33	high is similar to increase	nongold
34	fast means quickly	nongold
35	far is the opposite of close	nongold
36	speed is a property of an object and includes values of slow; fast	nongold
37	a liquid is a kind of fluid	nongold
38	particles in a liquid flows past each other	nongold
39	atoms in a gas collide frequently	nongold
40	materials are made of matter	nongold
41	as the temperature of a substance increases , the molecules in that substance will move faster; farther apart	nongold
42	a molecule is a kind of object	nongold
43	Matter in the gas phase has variable shape	nongold
44	gas is a kind of object	nongold
45	a  gas is a kind of  element	nongold
46	fastest means greatest in  speed	nongold
47	atoms in a gas move independently of one another	nongold
48	objects are made of materials; substances; matter	nongold
49	state of matter means physical state	nongold
50	gas is a kind of nonmetal	nongold
51	a molecule is made of atoms chemically combined; bonded	nongold
52	to move toward means to move nearer	nongold
53	towards means closer to something	nongold
54	speed is a measure of how fast an object is moving	nongold
55	state of matter is a kind of physical property	nongold
56	physical state means state of matter	nongold
57	high speed means fast	nongold
58	to add means to increase	nongold
59	close means low in distance	nongold
60	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
61	state of matter at room temperature is a kind of physical property	nongold
62	slowest means lowest in  speed	nongold
63	Matter in the liquid phase has variable shape	nongold
64	a solid is a kind of substance	nongold
65	an increase is the opposite of a decrease	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	a decrease is a kind of change	nongold
68	approximately means about	nongold
69	as temperature increases , the speed of molecules will increase	nongold
70	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
71	to create means to make	nongold
72	twice the speed of is simiar to  faster	nongold
73	a motion is a kind of event; action	nongold
74	a source of something increases the amount of that something	nongold
75	as an object moves faster , the kinetic energy of that object will increase	nongold
76	vapor is synonymous with gas	nongold
77	as the temperature of a liquid increases , that liquid will evaporate quicker	nongold
78	if an object accelerates then that object will go faster	nongold
79	an atom is made of protons; neutrons; electrons	nongold
80	can be means able to be	nongold
81	near; close is the opposite of far; away	nongold
82	gas is a kind of material	nongold
83	Matter in the solid phase has definite shape	nongold
84	to produce means to create	nongold
85	liquid; solid means nongaseous	nongold
86	formation of a state of matter is a kind of process	nongold
87	motion; movement means moving; to move	nongold
88	a pure substance is made of only one kind of atom; molecule	nongold
89	an atom is the smallest particle; unit that has the properties of an element	nongold
90	composed of means made of	nongold
91	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
92	to turn means to change	nongold
93	near means close	nongold
94	increase means more	nongold
95	comparing requires measuring	nongold
96	to form means to create	nongold
97	an atom is a kind of object	nongold
98	particles in a solid have an orderly fixed position	nongold
99	apart is the opposite of together	nongold
