Question	Shale is a sedimentary rock that can be metamorphosed into slate by	question
Answer	increased pressure.	answer
0	shale can be metamorphosed into slate by increased pressure	gold
1	shale is a kind of sedimentary rock	gold
2	extreme heat and pressure change; metamorphose rock into metamorphic rock	gold
3	sandstone is a kind of sedimentary rock	nongold
4	sedimentary is a kind of rock	nongold
5	limestone is a kind of sedimentary rock	nongold
6	metamorphosed rock is a kind of rock	nongold
7	slate is a kind of	gold
8	sedimentary rocks are formed by deposition; cementation	nongold
9	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
10	extreme heat and pressure compact sediment into sedimentary rock	nongold
11	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
12	metamorphosis means complete metamorphosis	nongold
13	sedimentary rocks are made of small particles	nongold
14	to add means to increase	nongold
15	metamorphosis is a kind of process	nongold
16	metamorphic is a kind of rock	nongold
17	sediment is formed from rock	nongold
18	metamorphic rock is a kind of rock	nongold
19	increase means more	nongold
20	an increase is the opposite of a decrease	nongold
21	high is similar to increase	gold
22	an increase is a kind of change	nongold
23	sediment is formed by weathering	nongold
24	to reduce means to decrease	nongold
25	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
26	coal is a kind of sedimentary rock	nongold
27	pressure is a kind of condition	nongold
28	to be made of something means to be formed of that something	nongold
29	sediment is a kind of matter	nongold
30	nearly all fossils are found in sedimentary rock	nongold
31	to lower means to decrease	nongold
32	a decrease is a kind of change	nongold
33	extreme means very high in value	gold
34	low is similar to decrease	nongold
35	to change into means to form	nongold
36	sand  is a kind of substance	nongold
37	water pressure is a kind of pressure	nongold
38	less is similar to decrease	nongold
39	if something is made of something else then that something can be broken down into that something else	nongold
40	limestone is formed by water evaporating from a solution of water and minerals	nongold
41	to cause the formation of means to form	nongold
42	to be formed by is similar to being produced by	nongold
43	counter means reduce; stop; resist	nongold
44	can be means able to be	nongold
45	as depth increases , pressure will increase	nongold
46	to increase is similar to to create	nongold
47	affected means changed	nongold
48	state means form	nongold
49	sand is made of very small rocks; minerals	nongold
50	a rock is a kind of object	nongold
51	class is a measure of how a rock is formed	nongold
52	intense means extreme	nongold
53	strong means high in strength	nongold
54	metamorphosis is a stage in the life cycle process of some animals	nongold
55	sand  is a kind of material	nongold
56	rock is a kind of material	nongold
57	different classes of rocks are formed by different methods	nongold
58	sediment is similar to soil	nongold
59	erosion causes deposition	nongold
60	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
61	too much is similar to increase	nongold
62	if something is made of something else then the formation of that something requires that something else	nongold
63	if something causes an increase in something else then that something produces that something else	nongold
64	faster means an increase; higher in speed	nongold
65	rock means stone	nongold
66	form means kind	nongold
67	greater means higher; more in value	nongold
68	compression is a kind of stress	nongold
69	dissolution is similar to dissolving	nongold
70	sand  is a kind of solid	nongold
71	applying is similar to increasing	nongold
72	deposition is a kind of constructive force	nongold
73	sedimentary rocks are often light brown in color	nongold
74	variable means able to change	nongold
75	increasing is a kind of order	nongold
76	forming is similar to converting	nongold
77	weak means low in strength	nongold
78	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
79	answering questions requires information	nongold
80	if an object breaks off of another object then that object is formed from the same materials as that other object	nongold
81	to emit means to release	nongold
82	to slow; to slow down decreases speed	nongold
83	to be used for something means to be required by that something	nongold
84	to make means to form	nongold
85	remove means decrease	nongold
86	little is similar to decrease	nongold
87	erosion is a kind of change	nongold
88	reducing is a kind of change	nongold
89	buildup means increase	nongold
90	if something emits something else then that something increases the amount of that something else	nongold
91	to split means to break down	nongold
92	formation of a state of matter is a kind of process	nongold
93	composed of means made of	nongold
94	a source of something increases the amount of that something	nongold
95	bedrock is a kind of rock	nongold
96	if something releases something else then that something else decreases in that something	nongold
97	organisms can be preserved in sedimentary rock	nongold
98	breaking down is a kind of forming	nongold
99	forming something is a kind of change	nongold
