Question	Strontium, barium, and radium are grouped together on the Periodic Table of the Elements because they all have	question
Answer	similar electron configurations.	answer
0	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	gold
1	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	gold
2	elements in the same group on the Periodic Table of Elements have similar properties	nongold
3	classifying means grouping objects; materials by their properties	nongold
4	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
5	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
6	the outer electron shell is a part of the electron configuration	nongold
7	an atom is made of protons; neutrons; electrons	nongold
8	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	nongold
9	an element is made of one kind of atoms	nongold
10	electron configuration is a property of elements	nongold
11	together means in a group	nongold
12	an electron is a kind of charged particle	nongold
13	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
14	a metal is a kind of element	nongold
15	metals are found on the left side of the periodic table of elements	nongold
16	an  element is a kind of atom	nongold
17	chromium is a kind of metal	nongold
18	to group means to separate	nongold
19	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
20	an alkaline earth metal is a kind of element	nongold
21	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
22	an atom is the smallest particle; unit that has the properties of an element	nongold
23	substances are made of elements	nongold
24	argon is a kind of element	nongold
25	tungsten is a kind of metal	nongold
26	an electron has a negative charge	nongold
27	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
28	an atom is a kind of object	nongold
29	metal is a kind of substance	nongold
30	the majority of the elements on the periodic table are metals	nongold
31	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
32	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
33	to belong to a group means to be a kind of something	nongold
34	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
35	metals are made of metal	nongold
36	an element is a kind of  substance	nongold
37	an atom is exceptionally small in size	nongold
38	a halogen is a kind of element	nongold
39	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
40	chromium is always nonmagnetic	nongold
41	Beryllium is located in alkaline earth metal family; group 2 on the periodic table	nongold
42	all elements are a kind of pure substance	nongold
43	iron is a kind of element	nongold
44	if something is copied then that something will be the same; similar; identical	nongold
45	to belong to a group means to be classified in that group	nongold
46	an ion with negative charge is formed by atom  gaining electrons	nongold
47	matter; materials; substances are made of atoms; particles	nongold
48	an element is identified by its number of protons	nongold
49	zinc is a kind of metal	nongold
50	helium is a kind of element	nongold
51	a nonmetal is a kind of element	nongold
52	sodium is a kind of metal	nongold
53	alkali metals are located on the left side; first column on the periodic table	nongold
54	iron is a kind of metal	nongold
55	the Periodic Table is a table displays elements	nongold
56	an element is a kind of material	nongold
57	metal is a kind of material	nongold
58	hydrogen is a kind of element	nongold
59	to be made of something means to be formed of that something	nongold
60	coming together means forming a group	nongold
61	an ion has a net positive; net negative charge	nongold
62	a table is a kind of object	nongold
63	the  arrangement of particles is different in different substances	nongold
64	atoms are made of particles	nongold
65	if two things are made from the same objects; material then those two things are similar	nongold
66	atom cannot be divided into smaller substances	nongold
67	can be means able to be	nongold
68	apart is the opposite of together	nongold
69	the periodic table is arranged in rows and columns	nongold
70	arrangement means how something is arranged	nongold
71	nonmetal means nonmetals	nongold
72	zinc is always nonmagnetic	nongold
73	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
74	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
75	sodium is a kind of element	nongold
76	if something is made of something else then that something can be broken down into that something else	nongold
77	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
78	similar means in common	nongold
79	to decompose means to separate	nongold
80	a group; family in the periodic table means a column in the periodic table	nongold
81	alkaline earth metal elements have two valence electrons	nongold
82	an ion with positive charge is formed by atom  losing electrons	nongold
83	magnesium is a kind of alkaline earth metal	nongold
84	same means identical; equal in value; amount; number; quantity	nongold
85	in common is similar to the same	nongold
86	a compound can be chemically separated into the elements that it is made of	nongold
87	noble gases are located on the rightmost side   of the periodic table	nongold
88	classifying is when one sorts something by kind; type	nongold
89	to change means to become different	nongold
90	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
91	composed of means made of	nongold
92	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	nongold
93	nonmetal means not metal	nongold
94	protons are found in the nucleus of an atom	nongold
95	if a substance is made of one element , then the substance is called an element	nongold
96	metalloid is a kind of element	nongold
97	a kind of something is classified as that something	nongold
98	if an object has a negative net charge then that object contains more electrons than protons	nongold
99	form means kind	nongold
