Question	A student sets a block at the top of a wooden ramp. The student pushes the block. As the block slides down the ramp, it slows down and then comes to a stop. What force causes the block to slow down?	question
Answer	the force of friction	answer
0	friction is a kind of force	gold
1	friction causes the speed of an object to decrease	gold
2	friction occurs when two object's surfaces move against each other	nongold
3	friction exerts force on moving objects	nongold
4	friction causes speed to decrease	nongold
5	friction acts to counter the motion of two objects when their surfaces are touching	gold
6	friction is used for stopping a vehicle by brakes	nongold
7	skidding causes friction	nongold
8	as roughness of a surface increases , friction will increase	nongold
9	a block is a kind of object	gold
10	a ramp is a kind of object	gold
11	friction causes an object to lose energy	nongold
12	rolling down a ramp is a kind of rolling	nongold
13	force causes the speed of an object to increase; to decrease	nongold
14	pushing something can cause that something  to move	nongold
15	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	gold
16	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
17	friction converts mechanical energy into heat energy	nongold
18	friction causes the temperature of an object to increase	nongold
19	pushing an object requires force	nongold
20	to slow; to slow down decreases speed	gold
21	rolling is a kind of motion	nongold
22	a surface is a part of an object	gold
23	a force is a kind of push or pull on an object	nongold
24	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	nongold
25	pushing is a kind of motion	nongold
26	stop means not move	nongold
27	a student is a kind of human	nongold
28	a surface is a part of a material	nongold
29	push is a kind of force; application of force	nongold
30	a surface is a kind of object	nongold
31	sliding is a kind of motion	nongold
32	stop; stopped means zero; 0; no speed	nongold
33	if an object slides across another object then those objects are touching	nongold
34	motion; movement means moving; to move	nongold
35	lowering is a kind of motion	nongold
36	counter means reduce; stop; resist	gold
37	an object being pushed across another object causes their surfaces to move against each other	nongold
38	pulling is a kind of motion	nongold
39	sliding is a kind of movement	gold
40	as an object is moving down , the speed of the object  will increase	nongold
41	downward means down	nongold
42	as moisture of an object decreases , the friction of that object against another object will increase	nongold
43	a slide is a kind of object	nongold
44	a wall is a kind of surface	nongold
45	speed up means increase	nongold
46	if someone walks on a surface then that someone touches that surface	nongold
47	a pull is a kind of force	nongold
48	a living thing is a kind of object	nongold
49	speed is a measure of how fast an object is moving	nongold
50	setting is a kind of motion	nongold
51	wood has a smooth surface	nongold
52	low means down	nongold
53	to lower means to decrease	nongold
54	if one surface; one substance; one object touches something then one is exposed to that something	nongold
55	if a wheel travels on a surface then the wheel touches that surface	nongold
56	speed is a property of an object and includes values of slow; fast	nongold
57	a vehicle is a kind of object	nongold
58	as the speed of an object increases , the force that object exerts will increase	nongold
59	rolling down is similar to falling	nongold
60	exerting force on an object means a force acts on an object	nongold
61	increase means more	nongold
62	a human is a kind of animal	nongold
63	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
64	faster means an increase; higher in speed	nongold
65	wheels; gears usually move against other surfaces	nongold
66	to reduce means to decrease	gold
67	to add means to increase	nongold
68	as force exerted on an object increases , distance travelled will increase	nongold
69	distance moved; distance travelled is a measure of how far an object moves	nongold
70	motion is when moves an object; something to a direction	nongold
71	an increase is the opposite of a decrease	nongold
72	being  on something; placed in something; placed over something means touching  that something	nongold
73	felt is high in roughness	nongold
74	high is similar to increase	nongold
75	reducing is similar to slowing	nongold
76	as the power of the force exerted on an object increases , the speed with which that object is moved will increase	nongold
77	as the mass of an object increases , the force required to push that object will increase	nongold
78	material means substance	nongold
79	skidding is a kind of motion	nongold
80	a wall is a kind of object	nongold
81	raising is a kind of motion	nongold
82	falling means moving downward	nongold
83	rising is a kind of motion	nongold
84	an object acting against a force can cause that object to move in the opposite direction	nongold
85	an object exerts an upward force objects that sit on that object	nongold
86	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
87	conductivity is a property of a material; substance	nongold
88	particles in objects are a kind of matter	nongold
89	objects are made of materials; substances; matter	nongold
90	skidding causes speed to decrease	nongold
91	an part of an object is smaller than the entire object	nongold
92	a motion is a kind of event; action	nongold
93	to limit means to decrease	nongold
94	if two balanced forces act on an object in opposite directions then that object will remain stationary	nongold
95	up means upward	nongold
96	a force acting on an object in the opposite direction that the object is moving can cause that object's speed to decrease in a forward motion	nongold
97	slowest means lowest in  speed	nongold
98	rough is the opposite of smooth	nongold
99	rotation is a kind of motion	nongold
