Question	A newborn kangaroo has the ability to crawl into its mother's pouch to drink milk. This is an example of	question
Answer	an instinct.	answer
0	An example of an instinct is the kangaroo's ability to crawl into its mother's pouch to drink milk	gold
1	a kangaroo is a kind of animal	gold
2	animal instinct means instinctive behavior	gold
3	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
4	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
5	an animal knows how to do  instinctive behaviors when it is born	gold
6	milk is a kind of food	nongold
7	milk is a kind of food	nongold
8	a baby is a kind of young animal	nongold
9	a mother is a kind of female parent	nongold
10	an animal is a kind of living thing	nongold
11	a mammal is a kind of animal	nongold
12	mammals birth; give birth to live young	nongold
13	a living thing is a kind of object	nongold
14	an organism is a living thing	nongold
15	a kitten is a young; baby cat	nongold
16	a baby is the offspring of a parent	nongold
17	a baby is the offspring of a parent	nongold
18	an animal is a kind of organism	nongold
19	a kind of something is an example of that something	nongold
20	motion; movement means moving; to move	nongold
21	an animal; living thing requires nutrients for survival	nongold
22	milk is a kind of liquid at room temperature	nongold
23	a beverage is a kind of food	nongold
24	An example of an instinctive behavior is a baby bird pecking at its shell to hatch	nongold
25	a human is a kind of mammal	nongold
26	young means immature	nongold
27	ability    is a property of things and includes ordered values of able; unable; can; cannot	nongold
28	children; young is synonymous with offspring	nongold
29	a human is a kind of animal	nongold
30	a father is a kind of male parent	nongold
31	a belly is a part of an animal	nongold
32	baby is similar to immature	nongold
33	a child is a kind of young human	nongold
34	newborn is similar to baby	nongold
35	animals learn some behaviors from watching their parents	nongold
36	a monkey births; gives birth to live young	nongold
37	can means having the ability to	nongold
38	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
39	a monkey is a kind of mammal	nongold
40	a dog is a kind of animal	nongold
41	baby animals become adult animals	nongold
42	a mother births offspring	nongold
43	reproductive behavior is an inherited characteristic	nongold
44	a rabbit is a kind of mammal	nongold
45	a puppy is a young; baby dog	nongold
46	a cat is a kind of mammal	nongold
47	a cat is a kind of carnivore	nongold
48	an animal needs to eat food for nutrients	nongold
49	a plant; living thing requires food for survival	nongold
50	a behavior is a kind of characteristic	nongold
51	newborn means just born	gold
52	a bird is a kind of living thing	nongold
53	when an animal eats or drinks something , that animal tastes that something	nongold
54	a beverage is a kind of liquid	nongold
55	the ability to do means be able to do	nongold
56	live birth means developing inside the mother instead of an egg	nongold
57	a mouse births; gives birth to live young	nongold
58	cub is a kind of offspring	nongold
59	fur is usually part of a mammal	nongold
60	glands that make milk are parts of only a mammal	nongold
61	a cat is a kind of animal	nongold
62	a hatchling is a kind of newborn; baby; young bird	nongold
63	a mammal usually nurses  its young; its offspring	nongold
64	ability is a kind of characteristic	nongold
65	feeling is when an living thing senses through touch	nongold
66	fur is a part of a monkey	nongold
67	inability is the opposite of ability	nongold
68	actions mean behavior	nongold
69	a rabbit is a kind of herbivore	nongold
70	fur is a covering around the body of an animal	nongold
71	person is synonymous with human	nongold
72	an animal being born; being hatched when food is available has a positive impact on that animal's survival; health	nongold
73	an elephant is a kind of animal	nongold
74	reproduction produces; produce offspring	nongold
75	a jaguar is a kind of big cat	nongold
76	a plant is a kind of organism	nongold
77	a rabbit is a kind of animal	nongold
78	a plant is a kind of living thing	nongold
79	to reproduce means to have; to produce offspring	nongold
80	adaptations are used for survival	nongold
81	panda is a kind of animal	nongold
82	a bird is a kind of animal	nongold
83	trait is synonymous with characteristic	nongold
84	a liquid is a kind of substance	nongold
85	food is a kind of substance	nongold
86	if a living thing requires something then that something has a positive impact on that living thing	nongold
87	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
88	to eat means to consume food	nongold
89	walking is a kind of behavior	nongold
90	if an organism eats something then that something is a source of frood to that organism	nongold
91	a body part is a kind of object	nongold
92	howling is a kind of behavior	nongold
93	an egg is a kind of object	nongold
94	limbs are part of an animal	nongold
95	an animal being born; being hatched when temperatures are warm has a positive impact on that animal's survival; health	nongold
96	trait means property	nongold
97	a skunk is a kind of animal	nongold
98	a chipmunk is a kind of mammal	nongold
99	begging for food is a kind of conditioned behavior	nongold
