Question	Chris left a glass of water on a windowsill. When he looked at the glass a few days later, some of the water had evaporated. Which of the following best describes what happened to the particles of water that evaporated?	question
Answer	They spread out into the air.	answer
0	when a gas in an open container evaporates; boils , that gas spreads out into the air	gold
1	a glass contains water	nongold
2	glass is a kind of solid at room temperature	nongold
3	water is a kind of substance	gold
4	water is a kind of liquid at room temperature	gold
5	matter; materials; substances are made of atoms; particles	gold
6	a particle is a kind of object	nongold
7	air is a kind of gas	nongold
8	particles in objects are a kind of matter	nongold
9	a window is a kind of object	nongold
10	heat means heat energy	nongold
11	glass is a kind of material	nongold
12	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
13	a window is made of glass	nongold
14	glass is a kind of object	nongold
15	air is a kind of matter	nongold
16	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
17	spreading is a kind of motion	nongold
18	the air is a kind of substance	nongold
19	absorbing energy causes objects; materials; substances to heat	nongold
20	liquid is a kind of state of matter	nongold
21	evaporation is when water is drawn back up into the air in the water cycle	nongold
22	gas is a kind of substance	nongold
23	gas is a kind of state of matter	nongold
24	glass is a kind of open container	gold
25	a liquid is a kind of substance	nongold
26	water is a kind of matter	nongold
27	the properties of something are used for describing that something	nongold
28	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
29	water is a kind of object	nongold
30	gas is a kind of material	nongold
31	a molecule is a kind of particle	nongold
32	substances are made of matter	nongold
33	objects are made of materials; substances; matter	nongold
34	a container contains objects; material; substances	nongold
35	gas is a kind of object	nongold
36	evaporating is a kind of phase change	nongold
37	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
38	materials are made of matter	nongold
39	if one surface; one substance; one object touches something then one is exposed to that something	nongold
40	water vapor is found in the atmosphere	nongold
41	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
42	temperature is a measure of heat energy	nongold
43	to add means to increase	nongold
44	evaporation causes amount of water to decrease	nongold
45	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
46	water is a kind of water phase	nongold
47	heat energy is synonymous with thermal energy	nongold
48	a surface is a part of a material	nongold
49	a surface is a part of an object	nongold
50	motion; movement means moving; to move	nongold
51	atmosphere means  air	nongold
52	Matter in the gas phase has variable shape	gold
53	particles in a liquid are close to each other	nongold
54	solid is a kind of state of matter	nongold
55	air is a part of the environment	nongold
56	if an object is made of a material then that object has the properties of that material	nongold
57	a container is a kind of object	nongold
58	glass is a kind of medium	nongold
59	phase means state	nongold
60	an increase is the opposite of a decrease	nongold
61	radiation is when heat is transferred through waves; particles	nongold
62	to reduce means to decrease	nongold
63	material means substance	nongold
64	particles in a liquid are slower than particles in a gas	nongold
65	heat is a kind of energy	nongold
66	if heat is added to a substance then that substance absorbs that heat	nongold
67	high is similar to increase	nongold
68	the location of an object can be used to describe that object	nongold
69	motion is when moves an object; something to a direction	nongold
70	a surface is a kind of object	nongold
71	a photon is a kind of  particles	nongold
72	air is a kind of medium for light	nongold
73	a source of something emits; produces; generates; provides that something	nongold
74	vapor is synonymous with gas	nongold
75	a window is a part of a house	nongold
76	An example of moisture is water vapor in the atmosphere	nongold
77	a liquid is a kind of fluid	nongold
78	if a liquid disappears then that liquid probably evaporated	nongold
79	distance is a property of space and includes ordered values of close; far	nongold
80	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
81	the atmosphere contains matter that reflects blue light	nongold
82	matter is made of molecules	nongold
83	Matter in the gas phase has variable volume	gold
84	glass; objects made of glass cause refraction of light	nongold
85	an increase is a kind of change	nongold
86	a star is a kind of celestial object; celestial body	nongold
87	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
88	low is similar to decrease	nongold
89	if a container contains something then that container touches that something	nongold
90	absorbance is when a wave absorbs at; stops at a surface	nongold
91	hot means high in heat energy; temperature	nongold
92	variable means able to change	nongold
93	something that happens is a kind of event	nongold
94	adding heat means increasing temperature	nongold
95	formation of a state of matter is a kind of process	nongold
96	air is usually a thermal; thermal energy insulator	nongold
97	a living thing is a kind of object	nongold
98	Matter in the liquid phase has variable shape	nongold
99	atoms are made of particles	nongold
