Question	Energy from the Sun reaches Earth by	question
Answer	radiation.	answer
0	the sun is a source of radiation; heat called sunlight	nongold
1	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	gold
2	the sun is a source of light; light energy called sunlight	nongold
3	the sun is the source of solar energy called sunlight	nongold
4	solar radiation means solar energy	nongold
5	the sun is the source of energy for life on Earth	nongold
6	an object; material; substance comes from that object or material's source	nongold
7	Earth is a kind of planet	nongold
8	if something comes from something else then that something else is a source of that something	nongold
9	radiation is when electromagnetic waves transfers heat and light energy	gold
10	the sun  is the source of energy for physical cycles on Earth	nongold
11	light is a kind of electromagnetic radiation	gold
12	emit means send out	nongold
13	where something  comes from is a source of that something	nongold
14	electromagnetic radiation means electromagnetic energy	nongold
15	solar energy is a kind of energy	nongold
16	solar energy is a kind of light	nongold
17	sunlight is a kind of solar energy	nongold
18	a star is a source of light; light energy through nuclear reactions	nongold
19	radiation is when heat is transferred through waves; particles	nongold
20	the Sun is a kind of star	nongold
21	solar energy is a kind of heat energy	nongold
22	if something transfers something else then that something is a source of something else	nongold
23	a star is a kind of celestial object; celestial body	nongold
24	a source of something emits; produces; generates; provides that something	nongold
25	a planet is a kind of celestial object; body	nongold
26	radiation means radiant energy	nongold
27	sunlight is a kind of light	gold
28	heat is a kind of energy	nongold
29	a star requires energy	nongold
30	if something gains something from something else then that something else is a source of that something	nongold
31	if something is a raw material then that something comes directly from a source	nongold
32	the sun is a kind of yellow dwarf	nongold
33	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
34	electromagnetic energy is a kind of energy	nongold
35	to give off means to be the source of	nongold
36	sunlight means solar energy	nongold
37	electromagnetic energy travels as electromagnetic waves	nongold
38	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
39	light is a kind of energy	nongold
40	light is a kind of energy	nongold
41	if something generates energy for something else then that something powers that something else	nongold
42	emit means produce	nongold
43	a star produces light and heat	nongold
44	Earth radiates heat into outer space	nongold
45	all waves transfer; transmit energy from one place to another	nongold
46	if something releases something else then that something is the source of that something else	nongold
47	the Sun transmits light to earth through space	nongold
48	solar power means solar energy	nongold
49	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
50	the sun is made of hydrogen and helium	nongold
51	to send means to transfer	nongold
52	answering questions requires information	nongold
53	to be a source of something means to cause that something	nongold
54	radiation is a kind of process	nongold
55	light is made of photons	nongold
56	Earth is made of rock	nongold
57	if something requires something else then that something requires a source of that something else	nongold
58	heat means heat energy	nongold
59	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
60	an event is a kind of action	nongold
61	to transfer means to bring; to get something to	nongold
62	an energy source is a kind of resource	nongold
63	light means light energy	nongold
64	a photon is a kind of  particles	nongold
65	the sun setting is a kind of event	nongold
66	photosynthesis stores; captures energy	nongold
67	nuclear energy is a kind of energy	nongold
68	to emit means to release	nongold
69	light is a kind of wave	nongold
70	to provide something means to be the source of that something	nongold
71	can be means able to be	nongold
72	events occur at a specific place; at a specific time; with a specific frequency	nongold
73	if something is a source of something else then that something usually contains that something else	nongold
74	electrical energy is a kind of energy	nongold
75	convert is similar to transfer	nongold
76	one can get something from a source	nongold
77	something that happens is a kind of event	nongold
78	the Earth absorbs more energy than it loses	nongold
79	an atom is a kind of object	nongold
80	a moon is a kind of celestial object; body	nongold
81	a hot; warm something is a source of heat	nongold
82	frequency is a property of a wave; a particel of light; an event	nongold
83	matter; materials; substances are made of atoms; particles	nongold
84	ionizing radiation is a kind of electromagnetic wave	nongold
85	the Moon is Earth's moon	nongold
86	sunlight produces heat	nongold
87	to add means to increase	nongold
88	rays of the sun means sunlight	nongold
89	yellow dwarf is a kind of small star	nongold
90	a source of something increases the amount of that something	nongold
91	if an object is a source of something for something else then that something else can obtain that something from that object	nongold
92	food is a source of energy for animals; plants	nongold
93	if something is transported to something else then that something else receives that something	nongold
94	intense means high in intensity	nongold
95	high is similar to increase	nongold
96	the Earth revolves around the sun	nongold
97	radiant energy  is a kind of energy	nongold
98	nuclear reactions in stars causes stars to produce light; energy; nuclear energy	nongold
99	furthest; farthest means greatest; most; highest in distance	nongold
