Question	What kind of energy change occurs when a battery is operating a remote control toy?	question
Answer	Potential energy is changed to kinetic energy.	answer
0	kinetic energy is a kind of mechanical energy	nongold
1	operating a remote-control toy causes that toy to move	gold
2	changes potential energy into kinetic energy through motion	nongold
3	moving changes potential energy; stored energy into kinetic energy and heat energy	gold
4	potential energy is a kind of energy	nongold
5	charging a battery is when energy is converted into potential energy in the battery to store the energy	nongold
6	a battery is a kind of object	nongold
7	stopping a moving object changes kinetic energy into potential energy	nongold
8	potential energy means stored energy	nongold
9	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
10	chemical energy is a kind of potential energy	nongold
11	energy transformation means one kind of energy changes into another kind of energy	nongold
12	to convert means to change	nongold
13	a battery is a source of electrical energy; electricity	gold
14	a battery-operated device is a kind of electrical device	nongold
15	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
16	as kinetic energy increases , the potential energy will decrease	nongold
17	potential is a kind of ability	nongold
18	an increase is a kind of change	nongold
19	gravitational potential energy is a kind of potential energy	nongold
20	motion is a source of kinetic energy in an object	nongold
21	potential energy is a measure of the energy of an object due to position relative to other objects	nongold
22	a  battery  is a kind of electrical power source	nongold
23	battery-powered is similar to battery-operated	nongold
24	affected means changed	nongold
25	if the amount of electricity converted from the potential energy of an object is less than the amount of potential energy in the object , then the  potential energy is converted into other energy other than electricity	nongold
26	to change means to cause a change	nongold
27	a device is a kind of object	nongold
28	variable means able to change	nongold
29	compressing an object increases the potential energy in the object	nongold
30	a human is a kind of animal	nongold
31	temperature is a measure of kinetic energy of molecules	nongold
32	electrical energy is a kind of energy	nongold
33	batteries can be used to power electrical devices	nongold
34	as the mass of an object increases , the potential energy of that object will increase	nongold
35	a battery converts chemical energy into electrical energy for powering electrical devices	nongold
36	adding something is a kind of change	nongold
37	a source of something emits; produces; generates; provides that something	nongold
38	a machine is a kind of  device	nongold
39	action can cause change	nongold
40	a machine is a kind of object	nongold
41	to modify means to change	nongold
42	an animal is a kind of living thing	nongold
43	a battery contains chemical energy	nongold
44	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
45	a device requires energy to operate	nongold
46	change is a kind of impact	nongold
47	movement is a kind of change	nongold
48	if the component of something changed , then the whole thing will change	nongold
49	a decrease is a kind of change	nongold
50	to happen means to occur	nongold
51	heat is a kind of energy	nongold
52	an event is a kind of action	nongold
53	batteries convert chemical energy to electrical energy	nongold
54	a phase change is a kind of physical change	nongold
55	can be means able to be	nongold
56	form means kind	nongold
57	a source of something increases the amount of that something	nongold
58	as an object moves faster , the kinetic energy of that object will increase	nongold
59	powering an electrical device with a battery requires a path for electricity to flow through a closed circuit	nongold
60	to add means to increase	nongold
61	becoming is similar to changing	nongold
62	a change is a kind of event	nongold
63	mechanical energy is a kind of energy	nongold
64	forming something is a kind of change	nongold
65	the function of something is what that something  is used to do	nongold
66	a generator converts kinetic energy into electrical energy; electricity	nongold
67	electricity means electrical energy	nongold
68	replace means change from one thing into  another	nongold
69	device means tool	nongold
70	converting is similar to producing	nongold
71	if something transfers something else then that something is a source of something else	nongold
72	An example of an object with kinetic energy is an object in motion	nongold
73	to transform means to convert	nongold
74	instrument means device	nongold
75	reducing is a kind of change	nongold
76	a living thing is a kind of object	nongold
77	person is synonymous with human	nongold
78	transfer is a kind of change	nongold
79	magnetic energy is a kind of energy	nongold
80	change is a kind of process	nongold
81	an animal is a kind of organism	nongold
82	storing energy in batteries means charging batteries	nongold
83	as an object moves down , potential energy will decrease	nongold
84	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
85	if something generates energy for something else then that something powers that something else	nongold
86	if something emits something else then that something increases the amount of that something else	nongold
87	heat means heat energy	nongold
88	converting is similar to generating	nongold
89	high is similar to increase	nongold
90	when an animal moves , chemical energy is converted to mechanical energy	nongold
91	a toy car is a kind of object	nongold
92	motion; movement means moving; to move	nongold
93	something that happens is a kind of event	nongold
94	an object; material; substance comes from that object or material's source	nongold
95	electrical impulses are a kind of electrical energy	nongold
96	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
97	sound is a kind of energy	nongold
98	increase means more	nongold
99	to change means to have an effect	nongold
