Question	On the periodic table, the elements in group 18	question
Answer	are grouped together because	answer
0	noble gases elements; elements in group 18 on the periodic table usually are the most chemically unreactive	nongold
1	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	gold
2	classifying means grouping objects; materials by their properties	nongold
3	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
4	to belong to a group means to be classified in that group	nongold
5	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	gold
6	a group; family in the periodic table means a column in the periodic table	nongold
7	classifying is when one sorts something by kind; type	nongold
8	to belong to a group means to be a kind of something	nongold
9	together means in a group	nongold
10	the periodic table is arranged in rows and columns	nongold
11	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
12	helium; neon; argon; krypton; xenon; radon is located in noble gases family; group 18 on the periodic table	gold
13	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
14	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
15	the Periodic Table is a table displays elements	nongold
16	gold is located in group 11 on the periodic table	nongold
17	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
18	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
19	to group means to separate	nongold
20	elements in the same group on the Periodic Table of Elements have similar properties	nongold
21	to categorize means to classify	nongold
22	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
23	grouping means putting; placing in different groups	nongold
24	a table is a kind of object	nongold
25	noble gases are located on the rightmost side   of the periodic table	nongold
26	the nitrogen family is a kind of group in periodic table	nongold
27	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
28	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
29	a kind of something is classified as that something	nongold
30	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
31	coming together means forming a group	nongold
32	to be made of means to consist of	nongold
33	apart is the opposite of together	nongold
34	arrangement means how something is arranged	nongold
35	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
36	metals are found on the left side of the periodic table of elements	nongold
37	to tell the difference between things means to classify those things	nongold
38	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
39	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
40	if something is made of something else then that something can be broken down into that something else	nongold
41	an element is made of one kind of atoms	nongold
42	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	nongold
43	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
44	a Periodic Table is a kind of scientific  model	nongold
45	an element is a kind of  substance	nongold
46	to belong to a class means to be a kind of something	nongold
47	substances are made of elements	nongold
48	an  element is a kind of atom	nongold
49	to be made of something means to be formed of that something	nongold
50	hydrogen is located on the left side; first column on the periodic table	nongold
51	classifying requires comparing	nongold
52	if one takes all objects from a group then that group of objects will cease to exist	nongold
53	made up of means contains; made of	nongold
54	the most reactive nonmetals are located on the second column from the right side of the periodic table	nongold
55	an event is a kind of action	nongold
56	alkali metals are located on the left side; first column on the periodic table	nongold
57	an atom is the smallest particle; unit that has the properties of an element	nongold
58	a whole is formed by its parts	nongold
59	a period in the periodic table means a row in the periodic table	nongold
60	break down is the opposite of put together	nongold
61	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
62	a structure of something is synonymous with a part of that something	nongold
63	matter; materials; substances are made of atoms; particles	nongold
64	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
65	composed of means made of	nongold
66	composition is a property of an object; matter	nongold
67	Beryllium is located in alkaline earth metal family; group 2 on the periodic table	nongold
68	a type of something is a kind of property of that something	nongold
69	atomic number is a property of elements	nongold
70	an object is made of its parts	nongold
71	an atom is a kind of object	nongold
72	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
73	both means two	nongold
74	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
75	organizing is sorting something by their properties in order	nongold
76	all elements are a kind of pure substance	nongold
77	the most reactive metals are located on the column at the far left side of the periodic table	nongold
78	particles in objects are a kind of matter	nongold
79	the parts of something make up that something	nongold
80	a cluster of stars is made of stars	nongold
81	atoms are made of particles	nongold
82	if two objects move apart from each other then those two objects separate from each other	nongold
83	a living thing is a kind of object	nongold
84	a type is synonymous with a kind	nongold
85	a physical property is a kind of property	nongold
86	stars can be classified by temperature; color; chemical composition; brightness	nongold
87	atom cannot be divided into smaller substances	nongold
88	nonmetals are found to the right of the zigzag line on the periodic table	nongold
89	can be means able to be	nongold
90	an element is a kind of material	nongold
91	a source of something emits; produces; generates; provides that something	nongold
92	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
93	a compound can be chemically separated into the elements that it is made of	nongold
94	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
95	the majority of the elements on the periodic table are metals	nongold
96	a chemical property is the opposite of a physical property	nongold
97	if a substance is made of one element , then the substance is called an element	nongold
98	a  chemical property is a kind of  property	nongold
99	if something is made of something; a material then that something contains that something; that material	nongold
