Question	A student observes cells in an object by using a microscope. The student thinks that the object was part of a living thing. Which statement explains why cell theory can be used to support the student's thinking?	question
Answer	Cell theory states that all living things are made of cells.	answer
0	all living things are made of cells according to the cell theory	gold
1	a living thing is made of cells	gold
2	to be made of something means to be formed of that something	nongold
3	an object is made of its parts	nongold
4	if an object is made of something then the parts of that object are made of that something	gold
5	to be made of means to consist of	nongold
6	an animal is a kind of living thing	nongold
7	a cell is a kind of object	nongold
8	a living thing is a kind of object	nongold
9	living things can all reproduce	nongold
10	composed of means made of	nongold
11	an animal cell is a kind of cell	nongold
12	made up of means contains; made of	nongold
13	an organism is a living thing	nongold
14	a microscope is a kind of tool for observing small things	nongold
15	microscope is used to see small things; microscopic things; specimens by biologists by making them appear bigger	nongold
16	a student is a kind of human	nongold
17	an animal is a kind of organism	nongold
18	plant parts are made of plants	nongold
19	look at means observe	nongold
20	a plant is made of plant cells	nongold
21	a human is a kind of animal	nongold
22	life means living things	nongold
23	a human cell is a kind of cell	nongold
24	a theory is a kind of idea that has been tested and supported by results repeatedly	nongold
25	a theory is a kind of scientific term	nongold
26	a plant cell is a kind of cell	nongold
27	observe means see	nongold
28	if something is made of something; a material then that something contains that something; that material	nongold
29	objects are made of materials; substances; matter	nongold
30	living things are made of organic molecules	nongold
31	classifying is when one sorts something by kind; type	nongold
32	basic life functions occur in the cells of organisms	nongold
33	a part of a living thing is a natural structure	nongold
34	all living and nonliving materials are made of elements	nongold
35	the parts of something make up that something	nongold
36	the cell is the most basic structural unit of life	nongold
37	can be means able to be	nongold
38	an animal; living thing requires nutrients for survival	nongold
39	if something is made of something else , then that something else will be the component of that something	nongold
40	all living things have life cycles	nongold
41	all the other means the rest of	nongold
42	made of is similar to is built from	nongold
43	a structure of something is synonymous with a part of that something	nongold
44	a mammal is a kind of animal	nongold
45	studying  something usually requires seeing that something	nongold
46	a kind of something is an example of that something	nongold
47	classifying means grouping objects; materials by their properties	nongold
48	if something is made of something else then that something can be broken down into that something else	nongold
49	helping something has a  positive impact on that something	nongold
50	an electron microscope is used for seeing very small objects by making them appear bigger	nongold
51	made of is similar to contains	nongold
52	to make means to form	nongold
53	state means form	nongold
54	make means produce	nongold
55	a cell is very small	nongold
56	a theory is more accepted; tested than a hypothesis	nongold
57	looking is similar to observing	nongold
58	if two things are made from the same objects; material then those two things are similar	nongold
59	viewing means observing light	nongold
60	if something is visible , then that something can be observed	nongold
61	a human is a kind of mammal	nongold
62	if a living thing requires something then that something has a positive impact on that living thing	nongold
63	organisms mean life	nongold
64	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
65	nonliving things are not made of cells	nongold
66	a plant is a kind of living thing	nongold
67	substances are made of molecules	nongold
68	composition is a property of an object; matter	nongold
69	organisms are a part of an environment	nongold
70	matter; materials; substances are made of atoms; particles	nongold
71	not is similar to the opposite of	nongold
72	living things perform biological processes	nongold
73	eyes are a part of a human for seeing	nongold
74	an object has properties	nongold
75	substances are made of elements	nongold
76	a source of something emits; produces; generates; provides that something	nongold
77	if something is made by something else then that something is affected by that something else	nongold
78	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
79	if an object is made of a material then that object has the properties of that material	nongold
80	organs are made of different types of  cellular tissues	nongold
81	eyes are usually part of an animal for seeing	nongold
82	structure is a property of an object; a material; a substance	nongold
83	microscopic means very small in size	nongold
84	a whole is formed by its parts	nongold
85	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
86	a physical property is a kind of property	nongold
87	to be a combination of means to be made of	nongold
88	living things carry out basic life functions	nongold
89	an atom is a kind of object	nongold
90	if a cell can not specialize then that cell must perform all life functions	nongold
91	optical tools are used for observing materials up close; in greater detail	nongold
92	An example of evidence for a scientific theory is observations	nongold
93	a component of something means a part of that something	nongold
94	if something is a part of something else then that something else contains that something	nongold
95	if an object reflects light toward the eye then that object can be seen	nongold
96	to be formed by is similar to being produced by	nongold
97	nonliving; non-living; die is the opposite of living; alive; live	nongold
98	visible means able to be seen	nongold
99	a molecule is a kind of object	nongold
