Question	The spectrum of visible light can be seen in a rainbow because white light is	question
Answer	refracted and dispersed.	answer
0	a rainbow is formed by refraction of light by separating light; splitting light into all different colors	gold
1	a white object reflects all visible light	nongold
2	if an object is white then that object reflects all visible light	nongold
3	refracting sunlight; light causes sunlight; light to split into different colors	nongold
4	refraction is a property of light	nongold
5	white light is made of all colors of visible light combined	gold
6	visible means able to be seen	nongold
7	refraction is when light passes from one medium to another medium	nongold
8	sunlight is made of all colors in the rainbow	nongold
9	the rainbow is made of all different colors in visible light	nongold
10	color is a kind of physical; visual property	nongold
11	visible light is a kind of  light	nongold
12	if something is visible , then that something can be observed	nongold
13	refraction of light can split light into lights of different color	nongold
14	white is a kind of color	nongold
15	color is a property of  an object; a material	nongold
16	to reflect light means to scatter light	nongold
17	visible light is made of lights of different colors including violet, blue, green, yellow, orange, red light	nongold
18	visible light is a part of the electromagnetic spectrum	nongold
19	spectrum means a range of colors	gold
20	light is made of photons	nongold
21	refraction is when light bends	nongold
22	if an object reflects a light of a certain color then the object appears to be that color	nongold
23	if an object reflects light toward the eye then that object can be seen	nongold
24	sunlight is a kind of light	nongold
25	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
26	can be means able to be	nongold
27	light is a kind of wave	nongold
28	refraction causes something to appear; to look different	nongold
29	light reflecting off of an object causes that object to be visible to the observer	nongold
30	an object is made of its parts	nongold
31	glass; objects made of glass cause refraction of light	nongold
32	seeing is used for sensing visual things	nongold
33	to see means to look	nongold
34	to view means to see	nongold
35	wavelength is a property of wave	nongold
36	eyes can sense;detect light energy for seeing	nongold
37	the color of an object can be discovered by looking at that object	nongold
38	objects are made of materials; substances; matter	nongold
39	human eyes can only see light in the range of visible light	nongold
40	not visible means cannot be seen	nongold
41	light means light energy	nongold
42	image means visual depiction of an object	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	refraction is a kind of process	nongold
45	seeing requires light	nongold
46	to be made of something means to be formed of that something	nongold
47	sight means to see	nongold
48	the ability to refract is a property of waves	nongold
49	green is a kind of color	nongold
50	electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength; frequency	nongold
51	reflecting light; sound is the opposite of absorbing light; sound	nongold
52	observable means visible	nongold
53	reflection is when light is reflected from one object; one place to  another object; another place	nongold
54	a wave is a kind of object	nongold
55	to bounce back means to reflect	nongold
56	UV light is a kind of light	nongold
57	an image transmits visual information	nongold
58	stars can be classified by temperature; color; chemical composition; brightness	nongold
59	bright means bright; light in color	nongold
60	invisible means cannot be seen	nongold
61	light is a kind of electromagnetic radiation	nongold
62	if an object is black then that object absorbs all visible light; heat	nongold
63	a blue object reflects only blue light	nongold
64	if an object reflects more light then that object is more easily seen	nongold
65	if an object is translucent , then some light will scatter	nongold
66	visible lights can be divided into smaller ranges of light waves by the range of colors	nongold
67	a part of something is present in that something	nongold
68	made up of means contains; made of	nongold
69	a star is a kind of celestial object; celestial body	nongold
70	if something is made of something; a material then that something contains that something; that material	nongold
71	composed of means made of	nongold
72	coloration means a thing's color	nongold
73	to illuminate means to light up	nongold
74	a photon is a kind of  particles	nongold
75	red is a kind of color	nongold
76	electromagnetic spectrum is bands; ranges of frequencies of light waves	nongold
77	if something transfers something else then that something is a source of something else	nongold
78	emit means produce	nongold
79	dark is the opposite of light	nongold
80	a living thing is a kind of object	nongold
81	reflection is a property of light	nongold
82	radiation is when electromagnetic waves transfers heat and light energy	nongold
83	color is an intensive property	nongold
84	when object is in direct light then that object is not shaded	nongold
85	composition is a property of an object; matter	nongold
86	coloration means a pattern of colors	nongold
87	a landform is a kind of object	nongold
88	brightness is a property of a light source	nongold
89	if an object is in the light then that object is blocking the light	nongold
90	particles in objects are a kind of matter	nongold
91	water causes refraction of light	nongold
92	different types of light have different wavelengths	nongold
93	the properties of something are used for describing that something	nongold
94	sunlight is made of ultraviolet, infrared, and visible light	nongold
95	an part of an object is smaller than the entire object	nongold
96	a surface is a part of an object	nongold
97	where something  comes from is a source of that something	nongold
98	visible  light is the smallest range within the electromagnetic spectrum	nongold
99	painting an object a color causes that object to be that color	nongold
