Question	Growing thicker fur in the winter helps some animals to	question
Answer	keep warm	answer
0	some animals' fur grows thicker for staying warm in the winter	gold
1	staying warm has a positive impact on an animal's survival; health	nongold
2	staying warm means keeping warm	gold
3	keeping warm is the opposite of becoming  cold	nongold
4	keeping means staying	nongold
5	keeping cool means not increasing temperature	nongold
6	helping something has a  positive impact on that something	nongold
7	providing warmth is synonymous with keeping warm	nongold
8	some animals shed fur in warm weather	nongold
9	an animal usually requires a warm body temperature for survival	nongold
10	to keep something occurring means to cause that something to occur	nongold
11	if a living thing becomes too cold then that living thing will die	nongold
12	an animal requires warmth for survival	nongold
13	an increase is the opposite of a decrease	nongold
14	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
15	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
16	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
17	answering questions requires information	nongold
18	when an animal sheds its fur , its fur becomes less dense	nongold
19	winter has cold temperatures;weather	nongold
20	having a positive impact on health; survival is synonymous with helping to keep healthy	nongold
21	fur is often part of an animal	nongold
22	summer is a kind of season	nongold
23	shivering is when an animal creates heat by shaking to keep the body warm	nongold
24	winter is a kind of season	gold
25	an animal is a kind of living thing	nongold
26	hair; fur is  a part of skin for protection; keeping warm	nongold
27	coat means fur coat	nongold
28	to be used  for something means to help to do that something	nongold
29	to reduce means to decrease	nongold
30	warmer means greater; higher in temperature; warmth	nongold
31	an animal is a kind of organism	nongold
32	keeping food cold is used for keeping food fresh	nongold
33	a human is a kind of animal	nongold
34	warm means warm temperature	nongold
35	winter means environmental; outdoor temperature decreases	nongold
36	warm means medium heat energy; temperature	nongold
37	summer has hot temperatures; weather	nongold
38	to help; to benefit means to be of use	nongold
39	winter is a part of the year	nongold
40	staying means not changing	nongold
41	something in a cold place becomes cold	nongold
42	low is similar to decrease	nongold
43	fur is a covering around the body of an animal	nongold
44	cold means low in temperature	nongold
45	temperature is a property of weather	nongold
46	to lower means to decrease	nongold
47	cold temperatures usually have a negative impact on organisms	nongold
48	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
49	to keep a process or event happening is similar to causing that process or event to happen	nongold
50	snow falls during the winter in some environments	nongold
51	the body of a warm-blooded animal is usually warm in temperature	nongold
52	heat has a great impact on weather	nongold
53	increase means more	nongold
54	to help means to aid	nongold
55	winter is the opposite of summer	nongold
56	less is similar to decrease	nongold
57	high is similar to increase	nongold
58	staying cool has a positive impact on a human's comfort	nongold
59	staying cool is the opposite of becoming hot	nongold
60	temperature is a measure of heat energy	nongold
61	requiring is similar to needing help	nongold
62	colder; cooler means lower in temperature	nongold
63	an organism is a living thing	nongold
64	to add means to increase	nongold
65	cold is a kind of weather	nongold
66	an animal requires shelter	nongold
67	warm; becoming warm means heat is added	nongold
68	thick fur; thick feathers can be used for keeping warm	nongold
69	warm is the opposite of cool	nongold
70	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
71	growth means size;number;value;strength increases	nongold
72	an increase is a kind of change	nongold
73	thickness is a property of an object and includes ordered  values of thin; thick	nongold
74	An example of a seasonal change is an animal growing thick fur for keeping warm in the winter	gold
75	the ability to grow is a kind of trait	nongold
76	adding heat means increasing temperature	nongold
77	warm up means increase temperature	nongold
78	a decrease is a kind of change	nongold
79	cooler means colder	nongold
80	an animal requires enough nutrients to maintain good health; survive	nongold
81	little is similar to decrease	nongold
82	growing is when an animal's height;mass;size increase	nongold
83	an animal; living thing requires nutrients for survival	nongold
84	when snow falls in an environment in an environment , that environment will become white	nongold
85	survival means to survive	nongold
86	temperature is a kind of condition	nongold
87	cool means cold	nongold
88	cold environments sometimes are white in color from being covered in snow	nongold
89	dying is the opposite of living; surviving	nongold
90	snowing is when snow fall from clouds to the Earth;ground	nongold
91	snow is cold	nongold
92	trait is synonymous with characteristic	nongold
93	snow is a kind of precipitation	nongold
94	intense heat has a negative impact on an organism	nongold
95	growing means a plant's height;mass;size increase	nongold
96	weather is a property of a environment	nongold
97	a dog is a kind of animal	nongold
98	if a living thing requires something then that something has a positive impact on that living thing	nongold
99	become cold means get cold	nongold
