Question	Blood absorbs oxygen in the	question
Answer	lungs.	answer
0	blood absorbs oxygen in the lungs	gold
1	a lung is a kind of organ for breathing air	nongold
2	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
3	the absorption of oxygen through the blood occurs in the lungs	gold
4	to breathe in means to absorb air	nongold
5	the lungs are a part of the respiratory system	nongold
6	the lungs are a part of the body of an animal used for breathing air	nongold
7	take in means absorb	nongold
8	the respiratory system takes in oxygen from the air	nongold
9	an animal; bacterium requires oxygen for survival; to breathe	nongold
10	blood is a vehicle for carrying oxygen from the lungs to the cells; rest of the body	nongold
11	breathing in is when animals inhale air into their lungs	nongold
12	the respiratory system is a kind of human; organ; body system	nongold
13	if something absorbs something else then that something will contain that something else	nongold
14	exhaling  is when an animal expels air from the lungs	nongold
15	the respiratory system performs respiration	nongold
16	oxygen is a kind of gas at room temperature	nongold
17	air is a kind of gas	nongold
18	lungs are used for breathing air by land animals; birds	nongold
19	all animals breathe	nongold
20	a heart is a kind of organ	nongold
21	breathing out is when animals exhale carbon dioxide from their lungs into the air	nongold
22	a human is a kind of animal	nongold
23	take in oxygen means get oxygen into the blood	nongold
24	oxygenated means having oxygen	nongold
25	to exhale means to release	nongold
26	atmosphere means  air	nongold
27	breath contains water vapor	nongold
28	an animal is a kind of organism	nongold
29	an animal is a kind of living thing	nongold
30	a heart is a part of the body	nongold
31	the air is a kind of substance	nongold
32	gas is a kind of substance	nongold
33	breathing is when animals convert oxygen into carbon dioxide	nongold
34	an organism is a living thing	nongold
35	can be means able to be	nongold
36	a source of something emits; produces; generates; provides that something	nongold
37	to be filled with means to contain	nongold
38	breathing is a kind of process	nongold
39	an animal requires air for survival	nongold
40	breathing is a kind of  function	nongold
41	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
42	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
43	reptiles have lungs	nongold
44	carbon dioxide can be found in the air	nongold
45	a liquid is a kind of substance	nongold
46	taking in something means receiving; absorbing; getting something	nongold
47	person is synonymous with human	nongold
48	absorption is a kind of event	nongold
49	made up of means contains; made of	nongold
50	to contain means to have inside	nongold
51	tightening muscles in the chest can be used to exhale	nongold
52	air is a kind of matter	nongold
53	a person is a kind of animal	nongold
54	human is a kind of organism	nongold
55	a mammal is a kind of animal	nongold
56	if something transfers something else then that something is a source of something else	nongold
57	absorption is a kind of process	nongold
58	nitrogen is a kind of gas	nongold
59	gaseous means of gas	nongold
60	the atmosphere contains gases; liquids; solids	nongold
61	an event is a kind of action	nongold
62	absorbing something from the air decreases the  amount of  that something in the air	nongold
63	air is a kind of nonliving thing	nongold
64	forming is similar to converting	nongold
65	to add means to increase	nongold
66	absorbing something from the air means removing that something from Earth's atmosphere	nongold
67	air pressure is a property of air; the atmosphere	nongold
68	breathing is when a gill converts from oxygen in water into oxygen in blood	nongold
69	the mouth is a part of the respiratory system	nongold
70	if something is made of something; a material then that something contains that something; that material	nongold
71	to give off means to be the source of	nongold
72	if something is a part of something else then that something else contains that something	nongold
73	absorbing is a kind of function	nongold
74	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	nongold
75	the blood vessels are a part of the body	nongold
76	a cell absorbs nutrients	nongold
77	liquid; solid means nongaseous	nongold
78	organ system means body system	nongold
79	a body system is a part of the body; an animal	nongold
80	the body of an animal contains arteries; veins	nongold
81	if something is dissolved , then that something is the solute	nongold
82	state means form	nongold
83	affected means changed	nongold
84	water is a kind of liquid at room temperature	nongold
85	O2 means oxygen	nongold
86	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
87	the body is a part of an organism	nongold
88	if something is a source of something else then that something usually contains that something else	nongold
89	a solid is a kind of substance	nongold
90	made of is similar to contains	nongold
91	a solid is more dense than a gas	nongold
92	carbon dioxide is a kind of gas	nongold
93	the integumentary system is a kind of body; organ system	nongold
94	oxygen rich means a high amount of oxygen	nongold
95	air is a part of the environment	nongold
96	where something  comes from is a source of that something	nongold
97	the air is a kind of mixture	nongold
98	water is a kind of substance	nongold
99	oxygen  is a kind of element	nongold
