Question	A dog gets the energy it needs to run from ___.	question
Answer	food	answer
0	to depend on; to rely on; to need means to require	gold
1	an animal needs to eat food for nutrients	nongold
2	running requires a lot of energy	nongold
3	a dog is a kind of animal	gold
4	receive means get	nongold
5	requiring something means needing that something	nongold
6	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
7	one can get something from a source	gold
8	an animal; living thing requires nutrients for survival	nongold
9	to run on means to use as an energy source	nongold
10	food is a source of energy for animals; plants	gold
11	needing something means depending on that something	nongold
12	a plant; living thing requires food for survival	nongold
13	an animal is a kind of living thing	nongold
14	running is a kind of movement	gold
15	food is a kind of resource	nongold
16	requiring is similar to needing help	nongold
17	a food contains nutrients for living things	nongold
18	a human is a kind of animal	nongold
19	an animal is a kind of consumer	nongold
20	if something gains something from something else then that something else is a source of that something	nongold
21	an animal is a kind of organism	nongold
22	a living thing is a kind of object	nongold
23	living things all require energy for survival	nongold
24	an animal requires energy to move	gold
25	an organism is a living thing	nongold
26	food is what an animal eats	nongold
27	resources sometimes are used for energy	nongold
28	what something needs is a property of that something	nongold
29	an object; material; substance comes from that object or material's source	nongold
30	food is a kind of substance	nongold
31	to eat means to consume food	nongold
32	a mammal is a kind of animal	nongold
33	food is a kind of chemical energy	nongold
34	nutrients are a source of energy for living things	nongold
35	if something comes from something else then that something else is a source of that something	nongold
36	food is a kind of object	nongold
37	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
38	where something  comes from is a source of that something	nongold
39	a source of something emits; produces; generates; provides that something	nongold
40	person is synonymous with human	nongold
41	if something requires something else then that something requires a source of that something else	nongold
42	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
43	a producer is a kind of living thing	nongold
44	fast means quickly	nongold
45	a person is a kind of animal	nongold
46	if something is a raw material then that something comes directly from a source	nongold
47	if a living thing requires something then that something has a positive impact on that living thing	nongold
48	living things eat their food source	nongold
49	a producer is a source of energy for consumers	nongold
50	taking in something means receiving; absorbing; getting something	nongold
51	if something causes a process then that something is required for that process	nongold
52	getting something increases the amount of that something	nongold
53	nutrients are a kind of resource	nongold
54	a cat is a kind of animal	nongold
55	a plant is a kind of living thing	nongold
56	green plants are a kind of producer	nongold
57	to be used for something means to be required by that something	nongold
58	an organism eating is a kind of action	nongold
59	to obtain means to get	nongold
60	resources becoming available has a positive impact on the things that need those resources	nongold
61	sound is a kind of energy	nongold
62	a plant is a kind of organism	nongold
63	a producer produces its own food	nongold
64	prey is a kind of food for predators	nongold
65	a vegetable is a kind of food	nongold
66	a supply of something is a source of that something	nongold
67	fast is the opposite of slow	nongold
68	transferring is similar to giving	nongold
69	a puppy is a young; baby dog	nongold
70	an event is a kind of action	nongold
71	a human is a kind of mammal	nongold
72	a predator eats other animals for food	nongold
73	fastest means greatest in  speed	nongold
74	producer is a kind of role in the food chain process; in an ecosystem	nongold
75	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
76	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
77	a consumer is a kind of organism	nongold
78	a material is a kind of resource	nongold
79	a vegetable is a kind of plant	nongold
80	an organism requires energy for growth; repair	nongold
81	diet means what an animal eats	nongold
82	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
83	provide is similar to give; make	nongold
84	if something generates energy for something else then that something powers that something else	nongold
85	if something is passed down to something else then that something else receives that something	nongold
86	mechanical energy is a kind of energy	nongold
87	nutrients are a kind of substance	nongold
88	an energy source is a kind of resource	nongold
89	animal instinct means instinctive behavior	nongold
90	a cat is a kind of mammal	nongold
91	heat is a kind of energy	nongold
92	animals are a renewable resource	nongold
93	good means positive	nongold
94	obtain is similar to receive	nongold
95	walking is a kind of motion	nongold
96	if an organism eats something then that something is a source of frood to that organism	nongold
97	if something is a raw material in a process then that something is required for that process	nongold
98	a producer is a source of sugar; food energy in an ecosystem	nongold
99	a process is a kind of event	nongold
