Question	Clouds and precipitation moved across western Massachusetts one evening. The temperature changed from 41°F to 28°F. Which of the following changes in precipitation most likely occurred on this evening?	question
Answer	rain changing to sleet	answer
0	sleet is a kind of precipitation	gold
1	sleet is when raindrops freeze as they fall	nongold
2	sleet is a kind of ice	gold
3	sleet is made of ice	nongold
4	Massachusetts is a state located in the United States of America	nongold
5	Massachusetts is not located in an arctic environment	nongold
6	Massachusetts is not located on the boundary of two tectonic plates	nongold
7	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
8	to happen means to occur	nongold
9	a cloud is a kind of weather	nongold
10	an increase is a kind of change	nongold
11	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
12	precipitation is when water falls from the sky	nongold
13	rain is a kind of precipitation	gold
14	temperature is a measure of heat energy	gold
15	rain; snow falls	nongold
16	precipitation is a kind of weather	nongold
17	storm is a kind of weather; weather event	nongold
18	temperature is a property of weather	nongold
19	rainfall means precipitation	nongold
20	hail is a kind of precipitation; ice	nongold
21	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
22	colder; cooler means lower in temperature	nongold
23	a storm is a source of precipitation	nongold
24	motion; movement means moving; to move	nongold
25	high is similar to increase	nongold
26	rainfall means the amount of precipitation	nongold
27	clouds are made of water vapor; rain droplets	nongold
28	air temperature is a kind of temperature	nongold
29	a decrease is a kind of change	gold
30	a thunderstorm is a kind of storm	nongold
31	to lower means to decrease	nongold
32	heat means heat energy	nongold
33	the movement of an air mass over Earth's surface causes sudden local weather changes	nongold
34	warmer means greater; higher in temperature; warmth	nongold
35	the highest temperatures of a day are recorded during afternoon	nongold
36	snow is a kind of precipitation	nongold
37	cloudy means the presence  of clouds in the sky	nongold
38	a cloud is a kind of object	nongold
39	heat means temperature increases	nongold
40	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
41	when clouds become cold , those clouds will condense	nongold
42	rainstorm means rain storm	nongold
43	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
44	the night has cooler temperatures than the day	nongold
45	rain is a kind of water	gold
46	clouds produce precipitation	nongold
47	cloudy is a kind of  weather	nongold
48	an air mass has similar temperature and moisture throughout it	nongold
49	sky conditions are a property of weather	nongold
50	wind means moving air	nongold
51	a change is a kind of event	nongold
52	storms;rain cause bodies of water to increase amount of water they contain	nongold
53	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
54	amount of sunlight causes changing weather patterns	nongold
55	precipitation is a property of weather	nongold
56	wind and rain; storms cause erosion	nongold
57	movement is a kind of change	nongold
58	an increase is the opposite of a decrease	nongold
59	extreme means very high in value	nongold
60	a motion is a kind of event; action	nongold
61	heat has a great impact on weather	nongold
62	cooler means colder	nongold
63	snowstorm is a kind of weather	nongold
64	events occur at a specific place; at a specific time; with a specific frequency	nongold
65	to drop means to fall	nongold
66	cold is a kind of weather	nongold
67	the afternoon is  a part of the day	nongold
68	to turn means to change	nongold
69	low is similar to decrease	nongold
70	clouds are formed by water vapor rising into colder regions of the atmosphere and condensing	nongold
71	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
72	lightning occurs during lightning storms; thunderstorms	nongold
73	increase means more	nongold
74	cold means low in temperature	nongold
75	clouds produce rain	nongold
76	falling means moving downward	nongold
77	clouds are usually found in the sky	nongold
78	the Western Hemisphere is a kind of hemisphere of Earth	nongold
79	greater means higher; more in value	nongold
80	affected means changed	nongold
81	to convert means to change	nongold
82	to change means to cause a change	nongold
83	if a jet stream moves south of a location then that location will experience cold weather	nongold
84	to reduce means to decrease	gold
85	cold fronts cause thunderstorms as they pass by	nongold
86	cloudy conditions cause a low-pressure weather system	nongold
87	to add means to increase	nongold
88	front is a property of weather and includes unordered values of warm front; cold front; stationary front; occluded front	nongold
89	temperature changing can cause phase changes	nongold
90	weather  usually happens in troposphere	nongold
91	sliding is a kind of motion	nongold
92	moisture means liquid; liquid water	nongold
93	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
94	weather is  a measure of the condition of the air in a place at a certain time	nongold
95	if the component of something changed , then the whole thing will change	nongold
96	skidding is a kind of motion	nongold
97	snowfall means the amount of precipitation in snow form	nongold
98	downhill means down	nongold
99	moving is similar to travelling	nongold
