Question	Which plant trait is inherited?	question
Answer	the shape of its leaves	answer
0	a leaf is a kind of plant	nongold
1	trait is synonymous with characteristic	gold
2	trait means property	nongold
3	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
4	a plant is a kind of living thing	nongold
5	a leaf is a part of a  green plant	gold
6	a leaf is a part of a tree	nongold
7	an inherited characteristic is a kind of characteristic	nongold
8	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	nongold
9	species is an inherited characteristic	nongold
10	shape is a kind of characteristic	nongold
11	form means kind	nongold
12	a plant is a kind of organism	nongold
13	a leaf is a kind of object	nongold
14	structure is similar to shape	nongold
15	characteristic means property	nongold
16	shape is a property of the appearance of an object	nongold
17	trees of different species have differently shaped leaves	nongold
18	shape of the parts of something is a property of that something	nongold
19	an animal is a kind of living thing	nongold
20	shape is a property of an object	nongold
21	the colors of parts of an organism are inherited characteristics	nongold
22	the shape of body parts is an inherited characteristic	gold
23	an animal is a kind of organism	nongold
24	a learned characteristic is a kind of acquired characteristic	nongold
25	a living thing is a kind of object	nongold
26	an organism is a living thing	nongold
27	a leaf is often green in color	nongold
28	inherited characteristics can change over several generations	nongold
29	shape is a kind of physical property	nongold
30	an adaptation is a kind of characteristic	nongold
31	to be characterized by  a property means to have that property	nongold
32	a leaf performs photosynthesis; gas exchange	nongold
33	if an organism passes on its traits then future generations will have those traits	nongold
34	feature is synonymous with characteristic	nongold
35	length is a property of the shape of an object	nongold
36	what an object is made of is a kind of characteristic	nongold
37	a part of something means a characteristic of something	nongold
38	traits can be determined by one pair; many pairs of genes in an organism	nongold
39	the condition of parts of an organism are acquired characteristics	nongold
40	a structure of something is synonymous with a part of that something	nongold
41	the shape  of an object can be discovered through feeling that object; touching that object	nongold
42	a type is synonymous with a kind	nongold
43	a leaf is a kind of plant organ	nongold
44	a tree is a kind of plant	nongold
45	a tree is a kind of living thing	nongold
46	unique  is the opposite of diverse	nongold
47	answering questions requires information	nongold
48	the type of seed of a plant is an inherited characteristic	nongold
49	inherited characteristics are a kind of hereditary information	nongold
50	vegetation means plants	nongold
51	a deciduous tree's leaves usually change color in the autumn season	nongold
52	state means form	nongold
53	a human is a kind of animal	nongold
54	leaves changing color is a kind of process	nongold
55	a plant; living thing requires food for survival	nongold
56	the thickness of the parts of an organism is an inherited characteristic	nongold
57	structure is a property of an object; a material; a substance	nongold
58	trait is a kind of genetic information	nongold
59	reproductive behavior is an inherited characteristic	nongold
60	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
61	a structure is a kind of feature	nongold
62	shape is an extensive property	nongold
63	if two things have the same features then those two things are alike	nongold
64	a plant is a member of a plant species	nongold
65	the  property of something is the same for the things of same kind	nongold
66	color is a property of  an object; a material	nongold
67	the size of an organism is an inherited characteristic	nongold
68	a property of something is a feature of that something	nongold
69	straight is a kind of shape	nongold
70	adaptation is when an organism develops a trait over time for survival	nongold
71	width is a property of size; shape and includes ordered values of narrow; wide	nongold
72	genes are able to determine the inherited characteristics of a living thing	nongold
73	system is similar to structure	nongold
74	a tree is a kind of matter	nongold
75	an object is made of its parts	nongold
76	coloration means a thing's color	nongold
77	classifying means grouping objects; materials by their properties	nongold
78	to be formed by is similar to being produced by	nongold
79	a vegetable is a kind of plant	nongold
80	a part of a living thing is a natural structure	nongold
81	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
82	length is a part of size	nongold
83	if two or more organisms have similar characteristics then those organisms might share a common ancestor	nongold
84	can be means able to be	nongold
85	if something is definite in shape then that something will not change shape easily	nongold
86	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
87	classifying is when one sorts something by kind; type	nongold
88	blood type is an inherited characteristic	nongold
89	genetic variation is similar to trait variation	nongold
90	if a living thing requires something then that something has a positive impact on that living thing	nongold
91	a type of something is a kind of property of that something	nongold
92	a component of something means a part of that something	nongold
93	identical means copy	nongold
94	plant parts are made of plants	nongold
95	phenotype of an organism means the visible traits of  an organism	nongold
96	species means a group of like organisms	nongold
97	ability is a kind of characteristic	nongold
98	a leaf is small in size	nongold
99	color is a kind of physical; visual property	nongold
