Question	Which model is used by scientists to determine the properties of elements?	question
Answer	the Periodic Table	answer
0	a Periodic Table is a kind of scientific  model	gold
1	the Periodic Table of Elements can be used for  predicting; determining the properties of an element	gold
2	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
3	determining often requires measuring; observing	nongold
4	an  element is a kind of atom	nongold
5	the order of the elements in periodic table is determined by the atomic number of the elements	nongold
6	elements in the same group on the Periodic Table of Elements have similar properties	nongold
7	an atom is the smallest particle; unit that has the properties of an element	nongold
8	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
9	a scientist is a kind of human	nongold
10	an element is made of one kind of atoms	nongold
11	electron configuration is a property of elements	nongold
12	a table is a kind of object	nongold
13	atomic number is a property of elements	nongold
14	determine is similar to cause	nongold
15	identifying is similar to determining	nongold
16	the nitrogen family is a kind of group in periodic table	nongold
17	a group; family in the periodic table means a column in the periodic table	nongold
18	the Periodic Table is a table displays elements	nongold
19	structure is a property of an object; a material; a substance	nongold
20	according to is similar to be determined by	nongold
21	an object has properties	nongold
22	the properties of something can be used to identify; used to describe that something	nongold
23	if the  elements have similar electron configurations , then the  elements will be grouped into same family; group on the Periodic Table of Elements	nongold
24	the periodic table is arranged in rows and columns	nongold
25	elements on the left side of the Periodic Table of Elements are solids at room temperature	nongold
26	state of matter is a kind of physical property	nongold
27	an element is a kind of  substance	nongold
28	all elements are a kind of pure substance	nongold
29	a period in the periodic table means a row in the periodic table	nongold
30	a nonmetal is a kind of element	nongold
31	the properties of something are used for describing that something	nongold
32	the structure  of an atom can be used for identifying the element	nongold
33	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
34	the outer electron shell is a part of the electron configuration	nongold
35	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
36	an atom is a kind of object	nongold
37	carbon is a kind of element	nongold
38	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
39	oxygen  is a kind of element	nongold
40	substances are made of elements	nongold
41	hydrogen is a kind of element	nongold
42	a physical property is a kind of property	nongold
43	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
44	nonmetal means nonmetals	nongold
45	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
46	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
47	the atomic number of elements increases by 1 from left to right on a row on the periodic table	nongold
48	matter; materials; substances are made of atoms; particles	nongold
49	a  chemical property is a kind of  property	nongold
50	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
51	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
52	metals are found on the left side of the periodic table of elements	nongold
53	particles in objects are a kind of matter	nongold
54	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
55	substances have chemical properties	nongold
56	classifying means grouping objects; materials by their properties	nongold
57	a property is similar to a factor	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	nonmetals are found to the right of the zigzag line on the periodic table	nongold
60	can be means able to be	nongold
61	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
62	increasing is a kind of order	nongold
63	to classify means to decide what class something belongs to	nongold
64	what something needs is a property of that something	nongold
65	organizing is sorting something by their properties in order	nongold
66	state of matter means physical state	nongold
67	determining is similar to learning	nongold
68	to be characterized by  a property means to have that property	nongold
69	if two elements are next to each other  on the Periodic Table , then the two elements will have similar size of atoms	nongold
70	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
71	knowing the properties of something means knowing information about that something	nongold
72	a structure of something is synonymous with a part of that something	nongold
73	a table is hard	nongold
74	a living thing is a kind of object	nongold
75	physical state means state of matter	nongold
76	answering questions requires information	nongold
77	the  property of something is the same for the things of same kind	nongold
78	a chemical property is the opposite of a physical property	nongold
79	characteristic means property	nongold
80	determining is similar to controlling	nongold
81	an event is a kind of action	nongold
82	An example of a chemical property is the elements a compound is made of	nongold
83	the majority of the elements on the periodic table are metals	nongold
84	the basic unit of matter is atom	nongold
85	hydrogen is located on the left side; first column on the periodic table	nongold
86	the function of something is what that something  is used to do	nongold
87	a component of something means a part of that something	nongold
88	atoms are made of particles	nongold
89	a property is a kind of information	nongold
90	chemical composition is a kind of property	nongold
91	state means form	nongold
92	a type is synonymous with a kind	nongold
93	a proton is a part of an atom; an element	nongold
94	the effects of something is a property of that something	nongold
95	a theory is a kind of scientific term	nongold
96	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
97	a component means a part of	nongold
98	variable means able to change	nongold
99	substances are made of matter	nongold
