Question	The range of all forms of radiant energy is called the	question
Answer	electromagnetic spectrum.	answer
0	radiant energy  is a kind of energy	nongold
1	a range of a spectrum means a part of a spectrum	nongold
2	electromagnetic spectrum is bands; ranges of frequencies of light waves	gold
3	radiation means radiant energy	gold
4	light is a kind of electromagnetic radiation	nongold
5	form means kind	nongold
6	electromagnetic energy is a kind of energy	nongold
7	solar energy is a kind of light	nongold
8	the sun is a source of light; light energy called sunlight	nongold
9	spectrum means a range of colors	nongold
10	solar energy is a kind of energy	nongold
11	electromagnetic radiation means electromagnetic energy	nongold
12	a star is a kind of celestial object; celestial body	nongold
13	the Sun is a kind of star	nongold
14	electromagnetic wave is a kind of  wave	nongold
15	electromagnetic radiation is arranged in the electromagnetic spectrum by wavelength; frequency	gold
16	the sun is a source of radiation; heat called sunlight	nongold
17	solar radiation means solar energy	nongold
18	light is a kind of wave	nongold
19	sunlight is a kind of light	nongold
20	light is a kind of energy	nongold
21	light is a kind of energy	nongold
22	the range of visible light approximately is less than 10% in electromagnetic spectrum	nongold
23	light is made of photons	nongold
24	frequency is a property of a wave; a particel of light; an event	nongold
25	a radiator is a source of heat	nongold
26	the sun is the source of solar energy called sunlight	nongold
27	region is similar to range	nongold
28	visible light is a part of the electromagnetic spectrum	nongold
29	visible  light is the smallest range within the electromagnetic spectrum	nongold
30	sunlight is a kind of solar energy	nongold
31	electromagnetic energy travels as electromagnetic waves	nongold
32	astronomy is the study of celestial (objects, bodies)	nongold
33	a wave is a kind of object	nongold
34	solar energy is a kind of heat energy	nongold
35	emit means send out	nongold
36	state means form	nongold
37	light means light energy	nongold
38	the sun is a kind of yellow dwarf	nongold
39	a photon is a kind of  particles	nongold
40	the sun  is the source of energy for physical cycles on Earth	nongold
41	a star produces light and heat	nongold
42	matter; materials; substances are made of atoms; particles	nongold
43	a source of something emits; produces; generates; provides that something	nongold
44	a planet is a kind of celestial object; body	nongold
45	events occur at a specific place; at a specific time; with a specific frequency	nongold
46	objects are made of materials; substances; matter	nongold
47	can be means able to be	nongold
48	answering questions requires information	nongold
49	a star requires energy	nongold
50	a type is synonymous with a kind	nongold
51	all waves transfer; transmit energy from one place to another	nongold
52	stars can be classified by temperature; color; chemical composition; brightness	nongold
53	classifying is when one sorts something by kind; type	nongold
54	emit means produce	nongold
55	Earth is a kind of planet	nongold
56	wavelength is a property of wave	nongold
57	sunlight is made of ultraviolet, infrared, and visible light	nongold
58	to be made of something means to be formed of that something	nongold
59	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
60	form is similar to body	nongold
61	radiation is when electromagnetic waves transfers heat and light energy	nongold
62	refraction is when light passes from one medium to another medium	nongold
63	ionizing radiation is a kind of electromagnetic wave	nongold
64	to be in the sun means to be in the sunlight	nongold
65	a white dwarf is a kind of star	nongold
66	phase means state	nongold
67	electromagnetic radiation distorts the frequency of the radio waves	nongold
68	affected means changed	nongold
69	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
70	heat is a kind of energy	nongold
71	a galaxy is a kind of celestial body; celestial object	nongold
72	the sun is the source of energy for life on Earth	nongold
73	yellow dwarf is a kind of small star	nongold
74	radiation is when heat is transferred through waves; particles	nongold
75	classifying means grouping objects; materials by their properties	nongold
76	the properties of something are used for describing that something	nongold
77	variable means able to change	nongold
78	visible lights can be divided into smaller ranges of light waves by the range of colors	nongold
79	visible light is a kind of  light	nongold
80	composed of means made of	nongold
81	intense means high in intensity	nongold
82	sunlight is made of all colors in the rainbow	nongold
83	a moon is a kind of celestial object; body	nongold
84	electrical energy is a kind of energy	nongold
85	particles in objects are a kind of matter	nongold
86	an atom is a kind of object	nongold
87	all elements are a kind of pure substance	nongold
88	made up of means contains; made of	nongold
89	the sun setting is a kind of event	nongold
90	the photosphere is a kind of region of the sun	nongold
91	a particle is a kind of object	nongold
92	high is similar to increase	nongold
93	refraction is a property of light	nongold
94	radio wave is a kind of electromagnetic wave	nongold
95	being in the sun is synonymous with being in the sunlight	nongold
96	brightness is a property of a light source	nongold
97	if something is made of something; a material then that something contains that something; that material	nongold
98	an event is a kind of action	nongold
99	sunlight means solar energy	nongold
