Question	As the human population increases, more fossil fuels are being used. The burning of fossil fuels produces greenhouse gases. How might humans reduce greenhouse gases?	question
Answer	Use renewable resources to generate power.	answer
0	using renewable resources to generate power reduces greenhouse gases	gold
1	generating power is a kind of positive impact	nongold
2	generate means produce	nongold
3	to power means to provide energy for	nongold
4	as the use of renewable resources use of renewable resources increases , use of nonrenewable resources will decrease	nongold
5	using resources decreases those resources	nongold
6	a source of something emits; produces; generates; provides that something	nongold
7	producing renewable electric energy requires renewable resources	nongold
8	renewable resources are often available for many years	nongold
9	to generate means to create	nongold
10	fossil fuels are a kind of energy resource	nongold
11	burning fossil fuels increases the carbon in the atmosphere	nongold
12	greenhouse gases are a part of the atmosphere	nongold
13	resources sometimes are used for energy	nongold
14	increase means more	nongold
15	as a population of organisms increases , the resources used by those organisms will decrease	nongold
16	as a population of organisms decreases , the resources used by those organisms will increase	nongold
17	renewable is the opposite of nonrenewable	nongold
18	carbon dioxide is a kind of greenhouse gas	nongold
19	fossil fuels burning causes pollution	nongold
20	greenhouse gases building up can cause global warming	nongold
21	fossil fuels are a nonrenewable resource	nongold
22	a human is a kind of animal	nongold
23	as available resources increases , the population of an organism that uses those resources will increase	nongold
24	gases released during the use of fossil fuels causes global warming	nongold
25	a renewable resource is a kind of natural resource	nongold
26	producing electricity sometimes requires burning oil	nongold
27	if something is powered by something else then that something requires a source of that something else	nongold
28	an energy source is a kind of resource	nongold
29	natural gas is used for generating electricity by burning in a power plant	nongold
30	oil is a kind of energy resource	nongold
31	renewable resources can be used over again	nongold
32	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
33	burning is a kind of action	nongold
34	to be used for something means to be required by that something	nongold
35	a producer is a kind of living thing	nongold
36	solar power means solar energy	nongold
37	a fossil fuel is a kind of natural resource	nongold
38	negative impact is the opposite of positive impact	nongold
39	as a resource required by an organism decreases , the population of that organism will decrease	nongold
40	reducing is a kind of change	nongold
41	converting is similar to generating	nongold
42	an increase is a kind of change	nongold
43	a power plant converts chemical energy from energy source into electricity	nongold
44	oil is a kind of fossil fuel	nongold
45	if something generates energy for something else then that something powers that something else	nongold
46	fossil fuels release carbon dioxide into the atmosphere	nongold
47	to produce means to create	nongold
48	renewable resources are replenished more quickly than they are used	nongold
49	to generate means to form	nongold
50	if something causes a process then that something is required for that process	nongold
51	if an organism dies then the population of that organism will decrease	nongold
52	biofuel is used to produce electricity by burning	nongold
53	oil is a nonrenewable resource	nongold
54	a renewable resource can be replaced	nongold
55	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
56	as the use of something decreases , the use of the source of that something will decrease	nongold
57	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
58	converting is similar to producing	nongold
59	population increase means more survive	nongold
60	as the population of plants decreases , carbon in the atmosphere will increase	nongold
61	resources becoming available has a positive impact on the things that need those resources	nongold
62	to reduce means to decrease	nongold
63	humans cause pollution	nongold
64	oil is used for producing electricity	nongold
65	plants are a kind of resource	nongold
66	a source of something increases the amount of that something	nongold
67	green plants are a kind of producer	nongold
68	human is a kind of organism	nongold
69	causing is similar to generating	nongold
70	petroleum is a kind of fossil fuel	nongold
71	producing is a kind of process	nongold
72	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
73	a decrease is a kind of change	nongold
74	to increase is similar to to create	nongold
75	if something is required for a process then that something positively impacts that process	nongold
76	a renewable resource can be renewed	nongold
77	carbon dioxide is a kind of gas	nongold
78	if something is a raw material in a process then that something is required for that process	nongold
79	harming something has a  negative impact on; effect on that something	nongold
80	as the amount of a source of something decreases , the amount of that something will decrease	nongold
81	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
82	water vapor is a kind of greenhouse gas	nongold
83	society is made of humans	nongold
84	as the cause of something decreases , that something will decrease	nongold
85	if something emits something else then that something increases the amount of that something else	nongold
86	if something causes an increase in something else then that something produces that something else	nongold
87	fossil fuels have high potential energy	nongold
88	less is similar to decrease	nongold
89	to use means to utilize	nongold
90	using biomass to produce energy is a source of pollution	nongold
91	to depend on; to rely on; to need means to require	nongold
92	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
93	good means positive	nongold
94	automobiles; industrialization are a source of carbon dioxide	nongold
95	decreasing something negative has a positive impact on a thing	nongold
96	emit means produce	nongold
97	as the use of a resource decreases , the length of time that resource will be available increases	nongold
98	fire causes burning	nongold
99	organisms are a part of an environment	nongold
