Question	Which of the following factors would most likely cause a hurricane to decrease in strength?	question
Answer	moving over a continent.	answer
0	when a hurricane moves over land , that hurricane will decrease in strength	gold
1	a hurricane is a kind of storm	nongold
2	a factor impacts something	nongold
3	as heat and moisture  increases , the strength of a hurricane will increase	nongold
4	a hurricane has high wind speeds	nongold
5	a continent is a kind of large land mass	gold
6	motion; movement means moving; to move	nongold
7	a continent is a kind of location	nongold
8	storm is a kind of weather; weather event	nongold
9	to reduce means to decrease	nongold
10	an increase is the opposite of a decrease	nongold
11	to lower means to decrease	nongold
12	strong means high in strength	nongold
13	storms;rain cause bodies of water to increase amount of water they contain	nongold
14	as the cause of something decreases , that something will decrease	nongold
15	weak means low in strength	nongold
16	a decrease is a kind of change	nongold
17	a storm is usually a source of strong winds	nongold
18	increase means more	nongold
19	as the temperature of the ocean decreases below 80 degrees F , the strength of the hurricane will decrease	nongold
20	a hurricane has large amounts of rain	nongold
21	hurricanes cause harm to living things; to buildings	nongold
22	impact means effect	nongold
23	an increase is a kind of change	nongold
24	to impact means to affect	nongold
25	Africa is a kind of continent	nongold
26	moving is similar to travelling	nongold
27	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
28	high is similar to increase	nongold
29	movement is a kind of change	nongold
30	a motion is a kind of event; action	nongold
31	an ocean is a source of heat and moisture for a hurricane	nongold
32	as distance from a source of something increases , that something will decrease	nongold
33	low is similar to decrease	nongold
34	change is a kind of impact	nongold
35	to cause means to have an effect	nongold
36	to cause means to result in	nongold
37	strength is a property of an object; a material	nongold
38	travel means to move	nongold
39	a hurricane is a kind of heat engine	nongold
40	causing means influencing	nongold
41	less is similar to decrease	nongold
42	as the amount of a source of something decreases , the amount of that something will decrease	nongold
43	often is similar to likely	nongold
44	an ocean is a kind of body of water	nongold
45	to change means to have an effect	nongold
46	throughout means over	nongold
47	An example of heat transfer from atmosphere to lithosphere is a hurricane moving from ocean to land	nongold
48	causing is a kind of affecting	nongold
49	a source of something increases the amount of that something	nongold
50	an event is a kind of action	nongold
51	closer means lower; less; a decrease in distance	nongold
52	to change means to cause a change	nongold
53	answering questions requires information	nongold
54	rising is a kind of motion	nongold
55	to limit means to decrease	nongold
56	to cause an event means to make that event more likely	nongold
57	to be a source of something means to cause that something	nongold
58	to add means to increase	nongold
59	extreme means very high in value	nongold
60	to cause is similar to bring	nongold
61	moving away from the source increases the distance	nongold
62	if two or more continents seem to fit together like pieces of a puzzle then those continents probably once were a single landmass	nongold
63	faster means an increase; higher in speed	nongold
64	motion is when moves an object; something to a direction	nongold
65	if there is a loss of something then that something decreases	nongold
66	due to means caused by	nongold
67	variable means able to change	nongold
68	events occur at a specific place; at a specific time; with a specific frequency	nongold
69	affected means changed	nongold
70	to slow; to slow down decreases speed	nongold
71	if the component of something changed , then the whole thing will change	nongold
72	tornado is a kind of weather	nongold
73	a type is synonymous with a kind	nongold
74	a storm is a source of precipitation	nongold
75	an environment means an area	nongold
76	less means a reduced amount	nongold
77	a component means a part of	nongold
78	a component of something means a part of that something	nongold
79	intense means high in intensity	nongold
80	to depend on; to rely on; to need means to require	nongold
81	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
82	windy means high wind speeds	nongold
83	far means great in distance	nongold
84	a process is a kind of event	nongold
85	intense means extreme	nongold
86	setting is a kind of motion	nongold
87	to cause an event is similar to being involved in that event	nongold
88	if something releases something else then that something else decreases in that something	nongold
89	if something weakens , then that something is weaker	nongold
90	pulling is a kind of motion	nongold
91	strength is a kind of property	nongold
92	distance moved; distance travelled is a measure of how far an object moves	nongold
93	shift means move	nongold
94	South America is a kind of continent	nongold
95	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
96	to give is similar to to cause	nongold
97	to happen means to occur	nongold
98	if something emits something else then that something increases the amount of that something else	nongold
99	a region is similar to an environment	nongold
